ID	gene
"comp10017_c0_seq2_m.32596"	"lbd38_arath ame: full=lob domain-containing protein 38 ame: full=asymmetric leaves 2-like protein 40 short=as2-like protein 40"
"comp10017_c0_seq4_m.32598"	"lbd38_arath ame: full=lob domain-containing protein 38 ame: full=asymmetric leaves 2-like protein 40 short=as2-like protein 40"
"comp10019_c0_seq1_m.21888"	"cipk5_arath ame: full=cbl-interacting serine threonine-protein kinase 5 ame: full=snf1-related kinase ame: full=sos2-like protein kinase pks19"
"comp10019_c1_seq1_m.21889"	"cipkp_arath ame: full=cbl-interacting serine threonine-protein kinase 25 ame: full=snf1-related kinase ame: full=sos2-like protein kinase pks25"
"comp1001_c0_seq1_m.22220"	"plda1_orysj ame: full=phospholipase d alpha 1 short=pld alpha 1 ame: full=choline phosphatase 1 ame: full=phosphatidylcholine-hydrolyzing phospholipase d 1 flags: precursor"
"comp10020_c0_seq1_m.4509"	"pdcb3_arath ame: full=plasmodesmata callose-binding protein 3 short= 3 flags: precursor"
"comp10022_c0_seq1_m.38766"	"b561i_arath ame: full=cytochrome b561 and domon domain-containing protein at3g61750 ame: full=protein flags: precursor"
"comp10022_c0_seq2_m.38767"	"b561i_arath ame: full=cytochrome b561 and domon domain-containing protein at3g61750 ame: full=protein flags: precursor"
"comp10022_c0_seq3_m.38768"	"b561i_arath ame: full=cytochrome b561 and domon domain-containing protein at3g61750 ame: full=protein flags: precursor"
"comp10022_c0_seq4_m.38769"	"b561i_arath ame: full=cytochrome b561 and domon domain-containing protein at3g61750 ame: full=protein flags: precursor"
"comp10025_c0_seq1_m.4513"	"scl3_arath ame: full=scarecrow-like protein 3 short= 3 ame: full=gras family protein 5 short= -5"
"comp10026_c0_seq1_m.4514"	"hsp7h_arath ame: full=heat shock 70 kda protein 8 ame: full=heat shock protein 70-8 short= sp70-8 ame: full=heat-shock protein 70t-2"
"comp10028_c0_seq1_m.4515"	"wrk47_arath ame: full=probable wrky transcription factor 47 ame: full=wrky dna-binding protein 47"
"comp10029_c0_seq1_m.4516"	"sce1_arath ame: full=sumo-conjugating enzyme sce1 ame: full=protein embryo defective 1637 ame: full=protein hus5 homolog ame: full=sumo-conjugating enzyme 1 short= 1"
"comp10029_c0_seq1_m.4517"	"sce1_arath ame: full=sumo-conjugating enzyme sce1 ame: full=protein embryo defective 1637 ame: full=protein hus5 homolog ame: full=sumo-conjugating enzyme 1 short= 1"
"comp1002_c0_seq1_m.271"	"sd16_arath ame: full=receptor-like serine threonine-protein kinase sd1-6 ame: full=arabidopsis thaliana receptor kinase 2 ame: full=s-domain-1 receptor kinase 6 short=sd1-6 flags: precursor"
"comp10030_c0_seq1_m.4518"	"gdpd5_arath ame: full=glycerophosphodiester phosphodiesterase gdpd5 ame: full=glycerophosphodiester phosphodiesterase 5 short=atgdpd5 flags: precursor"
"comp100314_c0_seq1_m.12845"	"bebt_tobac ame: full=benzyl alcohol o-benzoyltransferase ame: full=benzoyl coenzyme a:benzyl alcohol benzoyl transferase"
"comp10031_c0_seq1_m.38930"	"hat31_arath ame: full=homeobox protein"
"comp10031_c0_seq1_m.38931"	"prh_petcr ame: full=pathogenesis-related homeodomain protein short=prhp"
"comp10031_c0_seq1_m.38932"	"hox1a_maize ame: full=homeobox protein hox1a"
"comp10031_c0_seq2_m.38934"	"hat31_arath ame: full=homeobox protein"
"comp10031_c0_seq2_m.38935"	"hox1a_maize ame: full=homeobox protein hox1a"
"comp10032_c0_seq1_m.38859"	"cdr1_arath ame: full=aspartic proteinase cdr1 ame: full=protein constitutive disease resistance 1 flags: precursor"
"comp10032_c0_seq1_m.38860"	"tm208_danre ame: full=transmembrane protein 208"
"comp10032_c0_seq2_m.38861"	"cdr1_arath ame: full=aspartic proteinase cdr1 ame: full=protein constitutive disease resistance 1 flags: precursor"
"comp10032_c0_seq2_m.38862"	"tm208_danre ame: full=transmembrane protein 208"
"comp10033_c0_seq1_m.35593"	"atg1c_arath ame: full=serine threonine-protein kinase atg1c ame: full=autophagy-related protein 1c short= 1c"
"comp10033_c1_seq1_m.35594"	"atg1c_arath ame: full=serine threonine-protein kinase atg1c ame: full=autophagy-related protein 1c short= 1c"
"comp10033_c1_seq1_m.35595"	"atg1b_arath ame: full=serine threonine-protein kinase atg1b ame: full=autophagy-related protein 1b short= 1b"
"comp10033_c1_seq2_m.35596"	"atg1b_arath ame: full=serine threonine-protein kinase atg1b ame: full=autophagy-related protein 1b short= 1b"
"comp10034_c0_seq1_m.4519"	"aug4_arath ame: full=augmin subunit 4"
"comp10035_c1_seq1_m.17307"	"gis2_yeast ame: full=zinc finger protein gis2"
"comp100380_c0_seq1_m.12846"	"ab7c_arath ame: full=abc transporter c family member 7 short=abc transporter short= 7 ame: full=atp-energized glutathione s-conjugate pump 7 ame: full=glutathione s-conjugate-transporting atpase 7 ame: full=multidrug resistance-associated protein 7"
"comp100393_c0_seq1_m.12847"	"pdcb3_arath ame: full=plasmodesmata callose-binding protein 3 short= 3 flags: precursor"
"comp10039_c0_seq1_m.27784"	"otu_arath ame: full=otu domain-containing protein at3g57810"
"comp10040_c0_seq1_m.20887"	"zfp4_arath ame: full=zinc finger protein 4"
"comp10041_c0_seq1_m.22296"	"crlk2_arath ame: full=calcium calmodulin-regulated receptor-like kinase 2 short= 2"
"comp10041_c0_seq2_m.22297"	"crlk2_arath ame: full=calcium calmodulin-regulated receptor-like kinase 2 short= 2"
"comp100420_c0_seq1_m.12849"	"pr5_arath ame: full=pathogenesis-related protein 5 short=pr-5 flags: precursor"
"comp100427_c0_seq1_m.12850"	"pp268_arath ame: full= pentatricopeptide repeat-containing protein at3g47840"
"comp10042_c0_seq1_m.4522"	"no93_soybn ame: full=early nodulin-93 short=n-93"
"comp10045_c0_seq1_m.4524"	"inp1_arath ame: full=protein inaperturate pollen1"
"comp10046_c0_seq1_m.21064"	"arsb_dicdi ame: full= transporter arsb"
"comp10047_c0_seq1_m.4525"	"tbl38_arath ame: full=protein trichome birefringence-like 38"
"comp10048_c0_seq1_m.4526"	"clpr2_arath ame: full=atp-dependent clp protease proteolytic subunit-related protein chloroplastic short= 2 short=n 2 flags: precursor"
"comp10049_c0_seq1_m.4527"	"clcc_arath ame: full=chloride channel protein clc-c short= -c ame: full=cbs domain-containing protein cbsclc4"
"comp100518_c0_seq1_m.12851"	"elf3_arath ame: full=protein early flowering 3 ame: full=nematode-responsive protein"
"comp10051_c0_seq1_m.4528"	"pp230_arath ame: full=pentatricopeptide repeat-containing protein mitochondrial flags: precursor"
"comp10052_c0_seq1_m.4529"	"aleu_arath ame: full=thiol protease aleurain short= ame: full=senescence-associated gene product 2 flags: precursor"
"comp10053_c0_seq1_m.4530"	"chm1a_arath ame: full=escrt-related protein chmp1a ame: full=protein charged multivesicular body protein 1a ame: full=protein chromatin modifying protein 1a ame: full=vacuolar protein-sorting-associated protein"
"comp10055_c1_seq1_m.38517"	"elf4_arath ame: full=protein early flowering 4 ame: full=protein arrhythmic 44"
"comp10056_c0_seq1_m.30770"	"elmoa_dicdi ame: full=elmo domain-containing protein a"
"comp10057_c0_seq1_m.36149"	"pmtk_arath ame: full=probable methyltransferase pmt20"
"comp10057_c0_seq1_m.36150"	"pmtl_arath ame: full=probable methyltransferase pmt21 ame: full=protein early-responsive to dehydration 3"
"comp10057_c0_seq3_m.36151"	"pmtk_arath ame: full=probable methyltransferase pmt20"
"comp10057_c0_seq3_m.36152"	"pmtl_arath ame: full=probable methyltransferase pmt21 ame: full=protein early-responsive to dehydration 3"
"comp10058_c0_seq1_m.4531"	"rst1_arath ame: full=protein rst1 ame: full=protein resurrection 1"
"comp100608_c0_seq1_m.12853"	"g3ox_pea ame: full=gibberellin 3-beta-dioxygenase 1 ame: full=ga 3-oxidase 1 ame: full=gibberellin 3 beta-hydroxylase 1"
"comp10060_c0_seq1_m.4533"	"pdc2_orysi ame: full=pyruvate decarboxylase 2 short=pdc"
"comp10061_c0_seq1_m.15859"	"rbl1_arath ame: full=rhomboid-like protein 1 short= 1"
"comp10061_c1_seq1_m.15860"	"rbl1_arath ame: full=rhomboid-like protein 1 short= 1"
"comp10063_c0_seq1_m.4535"	"dus1l_rat ame: full=trna-dihydrouridine(16 17) synthase"
"comp10064_c0_seq1_m.4536"	"phi_mycgs ame: full=3-hexulose-6-phosphate isomerase ame: full=6-phospho-3-hexuloisomerase short=phi"
"comp10065_c0_seq1_m.29087"	"ski2_arath ame: full=d -box atp-dependent rna helicase d 11 ame: full= ame: full=protein ski2 homolog short= 2"
"comp10065_c0_seq1_m.29088"	"ski2_arath ame: full=d -box atp-dependent rna helicase d 11 ame: full= ame: full=protein ski2 homolog short= 2"
"comp10066_c0_seq1_m.4537"	"rer1b_arath ame: full=protein rer1b short= 1b"
"comp10067_c0_seq1_m.4538"	"pma4_nicpl ame: full=plasma membrane atpase 4 ame: full=proton pump 4"
"comp10067_c0_seq1_m.4539"	"pma1_orysj ame: full=plasma membrane atpase ame: full=proton pump"
"comp10067_c0_seq1_m.4540"	"pma2_arath ame: full=atpase plasma membrane-type ame: full=proton pump 2"
"comp10067_c0_seq1_m.4541"	"pma4_nicpl ame: full=plasma membrane atpase 4 ame: full=proton pump 4"
"comp10067_c0_seq1_m.4542"	"pma4_nicpl ame: full=plasma membrane atpase 4 ame: full=proton pump 4"
"comp10070_c0_seq1_m.38542"	"amsh1_arath ame: full=amsh-like ubiquitin thioesterase 1 ame: full=deubiquitinating enzyme amsh1"
"comp10070_c0_seq2_m.38543"	"amsh1_arath ame: full=amsh-like ubiquitin thioesterase 1 ame: full=deubiquitinating enzyme amsh1"
"comp10071_c0_seq1_m.19809"	"pum24_arath ame: full=pumilio homolog 24 short=apum-24 short= 24"
"comp10071_c0_seq1_m.19810"	"pum24_arath ame: full=pumilio homolog 24 short=apum-24 short= 24"
"comp10072_c0_seq1_m.4543"	"dir1_arath ame: full=dirigent protein 1 short= 1 flags: precursor"
"comp10074_c0_seq1_m.31089"	"pub44_arath ame: full=u-box domain-containing protein 44 ame: full=plant u-box protein 44 ame: full=protein senescence-associated e3 ubiquitin ligase 1 ame: full=ring-type e3 ubiquitin transferase pub44"
"comp100752_c0_seq1_m.12854"	"ab9b_arath ame: full=abc transporter b family member 9 short=abc transporter short= 9 ame: full=multidrug resistance protein 9 ame: full=p-glycoprotein 9"
"comp100754_c0_seq1_m.12855"	"c7a52_pangi ame: full=beta-amyrin 28-oxidase ame: full=cytochrome p450 cyp716a52v2"
"comp100754_c0_seq1_m.12856"	"c7a52_pangi ame: full=beta-amyrin 28-oxidase ame: full=cytochrome p450 cyp716a52v2"
"comp10077_c0_seq1_m.20627"	"y2104_arath ame: full=uncharacterized methyltransferase chloroplastic flags: precursor"
"comp10077_c0_seq2_m.20628"	"y2104_arath ame: full=uncharacterized methyltransferase chloroplastic flags: precursor"
"comp10078_c0_seq1_m.4544"	"pp264_arath ame: full=pentatricopeptide repeat-containing protein at3g46610"
"comp10079_c0_seq1_m.4545"	"hhp4_arath ame: full=heptahelical transmembrane protein 4 ame: full=paqr family protein hhp4"
"comp10079_c0_seq1_m.4546"	"hhp4_arath ame: full=heptahelical transmembrane protein 4 ame: full=paqr family protein hhp4"
"comp10080_c0_seq1_m.4547"	"wdr44_xenla ame: full=wd repeat-containing protein 44"
"comp10083_c0_seq1_m.4548"	"pds_arath ame: full=15-cis-phytoene chloroplastic chromoplastic ame: full=phytoene dehydrogenase flags: precursor"
"comp10084_c0_seq1_m.4549"	"c87a3_orysj ame: full=cytochrome p450 87a3"
"comp10085_c0_seq1_m.19678"	"kinb3_arath ame: full=snf1-related protein kinase regulatory subunit beta-3 short=akin subunit beta-3 short=akinb3 short=akinbeta3"
"comp10086_c0_seq1_m.37609"	"myo16_arath ame: full=myosin-16 ame: full= 3 ame: full= 3 ame: full=myosin xi j short="
"comp10086_c1_seq1_m.37610"	"myo11_arath ame: full=myosin-11 ame: full=myosin xi e short="
"comp10086_c1_seq1_m.37612"	"myo16_arath ame: full=myosin-16 ame: full= 3 ame: full= 3 ame: full=myosin xi j short="
"comp10088_c0_seq1_m.25597"	"edr1_arath ame: full=serine threonine-protein kinase edr1 ame: full=mapkk kinase edr1 ame: full=protein enhanced disease resistance 1 short= 1 ame: full=serine threonine tyrosine-protein kinase 10"
"comp10088_c0_seq1_m.25598"	"edr1_arath ame: full=serine threonine-protein kinase edr1 ame: full=mapkk kinase edr1 ame: full=protein enhanced disease resistance 1 short= 1 ame: full=serine threonine tyrosine-protein kinase 10"
"comp10088_c0_seq1_m.25599"	"edr1_arath ame: full=serine threonine-protein kinase edr1 ame: full=mapkk kinase edr1 ame: full=protein enhanced disease resistance 1 short= 1 ame: full=serine threonine tyrosine-protein kinase 10"
"comp10088_c0_seq2_m.25600"	"edr1_arath ame: full=serine threonine-protein kinase edr1 ame: full=mapkk kinase edr1 ame: full=protein enhanced disease resistance 1 short= 1 ame: full=serine threonine tyrosine-protein kinase 10"
"comp10088_c0_seq2_m.25601"	"edr1_arath ame: full=serine threonine-protein kinase edr1 ame: full=mapkk kinase edr1 ame: full=protein enhanced disease resistance 1 short= 1 ame: full=serine threonine tyrosine-protein kinase 10"
"comp10089_c0_seq1_m.4551"	"yab1_arath ame: full=axial regulator yabby 1 ame: full=fl-54 ame: full=protein abnormal floral organs ame: full=protein filamentous flower ame: full=protein antherless"
"comp10089_c0_seq1_m.4552"	"yab1_arath ame: full=axial regulator yabby 1 ame: full=fl-54 ame: full=protein abnormal floral organs ame: full=protein filamentous flower ame: full=protein antherless"
"comp10091_c0_seq1_m.4553"	"y1561_arath ame: full=probable lrr receptor-like serine threonine-protein kinase at1g56130 flags: precursor"
"comp10091_c0_seq1_m.4554"	"y5614_arath ame: full=probable lrr receptor-like serine threonine-protein kinase at1g56140 flags: precursor"
"comp10092_c0_seq1_m.34118"	"gcp5_macfa ame: full=gamma-tubulin complex component 5 short=gcp-5"
"comp10094_c0_seq1_m.4556"	"cor2_papso ame: full=non-functional nadph-dependent codeinone reductase 2"
"comp10096_c0_seq1_m.4558"	"chx11_arath ame: full=cation h(+) antiporter 11 ame: full=protein cation h+ exchanger 11 short= 11"
"comp10096_c0_seq1_m.4559"	"chx11_arath ame: full=cation h(+) antiporter 11 ame: full=protein cation h+ exchanger 11 short= 11"
"comp10097_c0_seq1_m.39275"	"akr1_soybn ame: full=probable aldo-keto reductase 1 short= 1"
"comp100_c0_seq1_m.19"	"pskr1_arath ame: full=phytosulfokine receptor 1 short= 1 ame: full=guanylate cyclase ame: full=phytosulfokine lrr receptor kinase 1 ame: full=protein serine-threonine kinase flags: precursor"
"comp100_c0_seq1_m.20"	"pskr1_arath ame: full=phytosulfokine receptor 1 short= 1 ame: full=guanylate cyclase ame: full=phytosulfokine lrr receptor kinase 1 ame: full=protein serine-threonine kinase flags: precursor"
"comp10100_c0_seq1_m.4560"	"spl6_arath ame: full=squamosa promoter-binding-like protein 6"
"comp10101_c0_seq1_m.4561"	"chr19_arath ame: full=protein chromatin remodeling 19 short= 19 ame: full= 54-like protein"
"comp10102_c0_seq1_m.17938"	"h33_arath ame: full=histone ame: full=histone"
"comp10102_c0_seq1_m.17939"	"h33_arath ame: full=histone ame: full=histone"
"comp10102_c0_seq2_m.17940"	"h33_arath ame: full=histone ame: full=histone"
"comp10102_c0_seq2_m.17941"	"h33_arath ame: full=histone ame: full=histone"
"comp10103_c0_seq1_m.4562"	"maf1_sollc ame: full=mfp1 attachment factor 1"
"comp10106_c0_seq1_m.34942"	"lto1_arath ame: full=thiol-disulfide oxidoreductase lto1 ame: full=protein lumen thiol oxidoreductase 1 ame: full=vitamin k reductase flags: precursor"
"comp10106_c0_seq2_m.34944"	"lto1_arath ame: full=thiol-disulfide oxidoreductase lto1 ame: full=protein lumen thiol oxidoreductase 1 ame: full=vitamin k reductase flags: precursor"
"comp10106_c0_seq2_m.34945"	"lto1_arath ame: full=thiol-disulfide oxidoreductase lto1 ame: full=protein lumen thiol oxidoreductase 1 ame: full=vitamin k reductase flags: precursor"
"comp10108_c0_seq1_m.4566"	"bbx32_arath ame: full=b-box zinc finger protein 32 ame: full= emf1-interacting protein 6"
"comp10110_c0_seq1_m.16115"	"y3037_arath ame: full=probable inactive leucine-rich repeat receptor-like protein kinase at3g03770 flags: precursor"
"comp10110_c0_seq2_m.16116"	"y3037_arath ame: full=probable inactive leucine-rich repeat receptor-like protein kinase at3g03770 flags: precursor"
"comp10111_c0_seq1_m.23410"	"abah3_orysi ame: full=abscisic acid 8 -hydroxylase 3 short=aba 8 -hydroxylase 3 ame: full=cytochrome p450 707a7 ame: full= 8ox3"
"comp10111_c0_seq2_m.23411"	"abah2_arath ame: full=abscisic acid 8 -hydroxylase 2 short=aba 8 -hydroxylase 2 ame: full=cytochrome p450 707a2"
"comp10113_c0_seq1_m.4568"	"caat1_arath ame: full=cationic amino acid transporter 1 ame: full=amino acid transporter 1"
"comp10114_c0_seq1_m.23841"	"vps50_chick ame: full=syndetin ame: full=coiled-coil domain-containing protein 132 ame: full=earp garpii complex subunit vps50"
"comp10114_c0_seq2_m.23842"	"vps50_chick ame: full=syndetin ame: full=coiled-coil domain-containing protein 132 ame: full=earp garpii complex subunit vps50"
"comp10115_c0_seq1_m.4569"	"tiprl_dicdi ame: full=tip41-like protein"
"comp10115_c0_seq1_m.4570"	"tiprl_xentr ame: full=tip41-like protein"
"comp10116_c0_seq1_m.4571"	"pp150_arath ame: full=pentatricopeptide repeat-containing protein mitochondrial flags: precursor"
"comp10117_c0_seq1_m.4573"	"lrk44_arath ame: full=l-type lectin-domain containing receptor kinase short= - flags: precursor"
"comp1011_c0_seq1_m.273"	"pp279_arath ame: full=pentatricopeptide repeat-containing protein at3g53170"
"comp10120_c0_seq1_m.39210"	"glo2d_arath ame: full=probable hydroxyacylglutathione hydrolase chloroplastic ame: full=glyoxalase 2-4 ame: full=glyoxalase ii short=glx ii flags: precursor"
"comp10120_c0_seq1_m.39211"	"glo2m_arath ame: full=hydroxyacylglutathione hydrolase mitochondrial ame: full=glyoxalase ii short=glx ii flags: precursor"
"comp10120_c0_seq3_m.39212"	"glo2d_arath ame: full=probable hydroxyacylglutathione hydrolase chloroplastic ame: full=glyoxalase 2-4 ame: full=glyoxalase ii short=glx ii flags: precursor"
"comp10120_c0_seq5_m.39213"	"glo2m_arath ame: full=hydroxyacylglutathione hydrolase mitochondrial ame: full=glyoxalase ii short=glx ii flags: precursor"
"comp10120_c0_seq5_m.39214"	"glo2d_arath ame: full=probable hydroxyacylglutathione hydrolase chloroplastic ame: full=glyoxalase 2-4 ame: full=glyoxalase ii short=glx ii flags: precursor"
"comp10120_c0_seq7_m.39215"	"glo2d_arath ame: full=probable hydroxyacylglutathione hydrolase chloroplastic ame: full=glyoxalase 2-4 ame: full=glyoxalase ii short=glx ii flags: precursor"
"comp10121_c0_seq1_m.34677"	"at18c_arath ame: full=autophagy-related protein 18c short= 18c"
"comp10121_c0_seq3_m.34678"	"at18c_arath ame: full=autophagy-related protein 18c short= 18c"
"comp10124_c0_seq1_m.4574"	"kiwi_arath ame: full=rna polymerase ii transcriptional coactivator kiwi"
"comp10127_c0_seq1_m.4577"	"urt1_fraan ame: full= udp-rhamnose:rhamnosyltransferase 1 short= 1 ame: full=glycosyltransferase 4 short= 4"
"comp10130_c0_seq1_m.4578"	"cx5b2_arath ame: full=cytochrome c oxidase subunit 5b- mitochondrial short= 5b-2 flags: precursor"
"comp10130_c0_seq1_m.4579"	"cx5b2_arath ame: full=cytochrome c oxidase subunit 5b- mitochondrial short= 5b-2 flags: precursor"
"comp10132_c0_seq1_m.37030"	"apk3_arath ame: full=adenylyl-sulfate kinase 3 ame: full=atp adenosine-5 -phosphosulfate 3 -phosphotransferase 3 ame: full=adenosine-5 -phosphosulfate kinase 3 short=aps kinase 3"
"comp10133_c0_seq1_m.4580"	"ml328_arath ame: full=mlp-like protein 328"
"comp10134_c0_seq1_m.32649"	"glo4_arath ame: full=peroxisomal -2-hydroxy-acid oxidase glo4 ame: full=glycolate oxidase 4 short= 4 short=gox 4 ame: full=short chain alpha-hydroxy acid oxidase glo4"
"comp10134_c1_seq1_m.32650"	"glo4_arath ame: full=peroxisomal -2-hydroxy-acid oxidase glo4 ame: full=glycolate oxidase 4 short= 4 short=gox 4 ame: full=short chain alpha-hydroxy acid oxidase glo4"
"comp10134_c1_seq1_m.32651"	"glo4_arath ame: full=peroxisomal -2-hydroxy-acid oxidase glo4 ame: full=glycolate oxidase 4 short= 4 short=gox 4 ame: full=short chain alpha-hydroxy acid oxidase glo4"
"comp10135_c0_seq1_m.4581"	"mppa_soltu ame: full=mitochondrial-processing peptidase subunit alpha ame: full=alpha-mpp ame: full=ubiquinol-cytochrome-c reductase subunit ii flags: precursor"
"comp10136_c0_seq1_m.33791"	"yipl7_arath ame: full=protein yippee-like at5g53940"
"comp10136_c0_seq1_m.33792"	"yipl7_arath ame: full=protein yippee-like at5g53940"
"comp10138_c0_seq1_m.36683"	"u1135_arath ame: full=u11 u12 small nuclear ribonucleoprotein 35 kda protein short=u11 u12 snrnp 35 kda protein short=u11 u12-35k"
"comp10138_c0_seq1_m.36686"	"u1135_arath ame: full=u11 u12 small nuclear ribonucleoprotein 35 kda protein short=u11 u12 snrnp 35 kda protein short=u11 u12-35k"
"comp10138_c0_seq2_m.36687"	"u1135_arath ame: full=u11 u12 small nuclear ribonucleoprotein 35 kda protein short=u11 u12 snrnp 35 kda protein short=u11 u12-35k"
"comp10138_c0_seq2_m.36688"	"u1135_arath ame: full=u11 u12 small nuclear ribonucleoprotein 35 kda protein short=u11 u12 snrnp 35 kda protein short=u11 u12-35k"
"comp10139_c0_seq1_m.18885"	"cysep_ricco ame: full=vignain ame: full=cysteine endopeptidase flags: precursor"
"comp10139_c0_seq2_m.18886"	"cysep_ricco ame: full=vignain ame: full=cysteine endopeptidase flags: precursor"
"comp101403_c0_seq1_m.12858"	"suvr4_arath ame: full=histone-lysine n-methyltransferase suvr4 ame: full=protein set domain group 31 ame: full=suppressor of variegation 3-9-related protein 4 short=su 3-9-related protein 4"
"comp101403_c0_seq1_m.12859"	"suvr4_arath ame: full=histone-lysine n-methyltransferase suvr4 ame: full=protein set domain group 31 ame: full=suppressor of variegation 3-9-related protein 4 short=su 3-9-related protein 4"
"comp10140_c0_seq1_m.4583"	"cp19d_arath ame: full=peptidyl-prolyl cis-trans isomerase cyp19-4 short=ppiase cyp19-4 ame: full=cyclophilin of 19 kda 4 ame: full=cyclophilin-5 ame: full=rotamase cyp19-4 flags: precursor"
"comp10141_c0_seq1_m.28939"	"gae4_arath ame: full=udp-glucuronate 4-epimerase 4 ame: full=udp-glucuronic acid epimerase 4 short= lcae1"
"comp10141_c1_seq1_m.28940"	"gae3_arath ame: full=udp-glucuronate 4-epimerase 3 ame: full=udp-glucuronic acid epimerase 3"
"comp10144_c0_seq1_m.30385"	"cng20_arath ame: full=probable cyclic nucleotide-gated ion channel chloroplastic ame: full=cyclic nucleotide-binding transporter 1 flags: precursor"
"comp10144_c0_seq1_m.30386"	"cng19_arath ame: full= cyclic nucleotide-gated ion channel 19 ame: full=cyclic nucleotide-binding transporter 2"
"comp10144_c0_seq2_m.30387"	"cng20_arath ame: full=probable cyclic nucleotide-gated ion channel chloroplastic ame: full=cyclic nucleotide-binding transporter 1 flags: precursor"
"comp10145_c0_seq1_m.4584"	"ppr76_arath ame: full=pentatricopeptide repeat-containing protein mitochondrial flags: precursor"
"comp10146_c0_seq1_m.27687"	"lsh1_arath ame: full=protein light-dependent short hypocotyls 1 ame: full=protein organ boundary 2"
"comp10147_c0_seq1_m.4585"	"chx19_arath ame: full=cation h(+) antiporter 19 ame: full=protein cation h+ exchanger 19 short= 19"
"comp10147_c0_seq1_m.4586"	"chx19_arath ame: full=cation h(+) antiporter 19 ame: full=protein cation h+ exchanger 19 short= 19"
"comp10148_c0_seq1_m.4587"	"fla11_arath ame: full=fasciclin-like arabinogalactan protein 11 flags: precursor"
"comp10150_c0_seq1_m.4589"	"gt14a_arath ame: full=beta-glucuronosyltransferase 14a ame: full=gt14 family glucuronic acid transferase 1 short= lcat14a"
"comp10151_c0_seq1_m.30262"	"int9_nemve ame: full=integrator complex subunit 9 homolog"
