id	go
comp10011_c0_seq1_m.4504	GO:0005768,GO:0005802,GO:0016021,GO:0032580,GO:0050378,GO:0050662,GO:0009225,GO:0033481,GO:0050829,GO:0050832
comp10014_c0_seq1_m.4506	GO:0005730,GO:0005886,GO:0005925,GO:0009506,GO:0022625,GO:0003729,GO:0003735,GO:0005515,GO:0070180,GO:1990932,GO:0000184,GO:0002181,GO:0006364,GO:0006413,GO:0006614,GO:0009793,GO:0019083,GO:0051298,GO:0097421
comp10016_c0_seq1_m.4507	GO:0005730,GO:0003723,GO:0003968,GO:0005515,GO:0001172,GO:0009615,GO:0009751,GO:0010025,GO:0010495,GO:0030422,GO:0050832,GO:0060148,GO:0070919
comp10016_c0_seq1_m.4508	GO:0031981,GO:0003676,GO:0006952,GO:0009615,GO:0009751,GO:0010025,GO:0030422,GO:0060148
comp10017_c0_seq1_m.32593	GO:0016811
comp10017_c0_seq2_m.32595	GO:0016811
comp10017_c0_seq2_m.32596	GO:0005634,GO:0006355,GO:0006807,GO:0009739,GO:0060776
comp10017_c0_seq4_m.32598	GO:0005634,GO:0006355,GO:0006807,GO:0009739,GO:0060776
comp10019_c0_seq1_m.21888	GO:0005829,GO:0005886,GO:0004674,GO:0005524,GO:0006814,GO:0009737,GO:0018105,GO:0018107,GO:0035556,GO:0042538,GO:0050832
comp10019_c1_seq1_m.21889	GO:0005783,GO:0005886,GO:0004674,GO:0005515,GO:0005524,GO:0007275,GO:0009414,GO:0010540,GO:0018105,GO:0018107,GO:0035556,GO:0042538,GO:0050832
comp1001_c0_seq1_m.22220	GO:0005773,GO:0005783,GO:0005886,GO:0009536,GO:0004630,GO:0005509,GO:0070290,GO:0006643,GO:0016042,GO:0046470
comp10020_c0_seq1_m.4509	GO:0009505,GO:0009506,GO:0043227,GO:0043229,GO:0044444,GO:0046658,GO:0001872,GO:0004553,GO:0009408,GO:0052543
comp10022_c0_seq1_m.38766	GO:0005576,GO:0005886,GO:0009506,GO:0044699
comp10022_c0_seq2_m.38767	GO:0005576,GO:0005886,GO:0009506,GO:0044699
comp10022_c0_seq3_m.38768	GO:0005576,GO:0016020,GO:0044464
comp10022_c0_seq4_m.38769	GO:0005576,GO:0016020,GO:0044464
comp10025_c0_seq1_m.4513	GO:0005634,GO:0009507,GO:0003700,GO:0043565,GO:0006355,GO:0009739,GO:0016070,GO:0018130,GO:0019438,GO:0044271,GO:1901362
comp10026_c0_seq1_m.4514	GO:0005615,GO:0005618,GO:0009507,GO:0030529,GO:0043234,GO:0044428,GO:0070013,GO:0098590,GO:0003824,GO:0005524,GO:0019899,GO:0006457,GO:0009408,GO:0009615,GO:0009644,GO:0009968,GO:0010033,GO:0010468,GO:0010821,GO:0019538,GO:0030182,GO:0032269,GO:0042542,GO:0043066,GO:0044260,GO:0044702,GO:0050778,GO:0051050,GO:0051130,GO:0051240,GO:0051252,GO:0051276,GO:0051336,GO:0051716,GO:0065008,GO:0080135,GO:0090304,GO:2000112
comp10028_c0_seq1_m.4515	GO:0005634,GO:0003700,GO:0005515,GO:0043565,GO:0044212,GO:0006351,GO:0010200,GO:0016036,GO:0045892,GO:0080169
comp10029_c0_seq1_m.4516	GO:0000795,GO:0001650,GO:0005635,GO:0005829,GO:0016605,GO:0030425,GO:0045202,GO:1990234,GO:1990356,GO:0003723,GO:0005524,GO:0008022,GO:0031625,GO:0043398,GO:0043425,GO:0061630,GO:0061656,GO:0070735,GO:0070739,GO:0071535,GO:0000122,GO:0007049,GO:0007088,GO:0009737,GO:0009793,GO:0010469,GO:0016925,GO:0031099,GO:0033145,GO:0043123,GO:0043161,GO:0051091,GO:0060216,GO:0061484,GO:0070911,GO:1903755
comp10029_c0_seq1_m.4517	GO:0000795,GO:0001650,GO:0005635,GO:0005829,GO:0016605,GO:0030425,GO:0045202,GO:1990234,GO:1990356,GO:0003723,GO:0005524,GO:0008022,GO:0031625,GO:0043398,GO:0043425,GO:0061630,GO:0061656,GO:0070735,GO:0070739,GO:0071535,GO:0000122,GO:0007088,GO:0009737,GO:0009793,GO:0010469,GO:0016925,GO:0031099,GO:0033145,GO:0043123,GO:0043161,GO:0044763,GO:0051091,GO:0060216,GO:0061484,GO:0070911,GO:1903755
comp1002_c0_seq1_m.271	GO:0005576,GO:0005634,GO:0005773,GO:0005829,GO:0005886,GO:0009506,GO:0004675,GO:0031625,GO:0000302,GO:0007178,GO:0009875,GO:0034613,GO:0042742,GO:0046777,GO:0071215
comp10030_c0_seq1_m.4518	GO:0005576,GO:0005618,GO:0005773,GO:0005886,GO:0008889,GO:0006071,GO:0006629
comp100314_c0_seq1_m.12845	GO:0010327,GO:0047203,GO:0009821
comp10031_c0_seq1_m.38930	GO:0005634,GO:0003700,GO:0005515,GO:0008270,GO:0043565,GO:0006351,GO:0006952,GO:0009733,GO:0045893
comp10031_c0_seq1_m.38931	GO:0005634,GO:0003700,GO:0043565,GO:0046872,GO:0045893
comp10031_c0_seq1_m.38932	GO:0005634,GO:0003700,GO:0008270,GO:0043565,GO:0006351,GO:0045893
comp10031_c0_seq2_m.38934	GO:0005634,GO:0003700,GO:0005515,GO:0008270,GO:0043565,GO:0006351,GO:0006952,GO:0009733,GO:0045893
comp10031_c0_seq2_m.38935	GO:0005634,GO:0003700,GO:0008270,GO:0043565,GO:0006351,GO:0045893
comp10032_c0_seq1_m.38859	GO:0005576,GO:0008233,GO:0031323
comp10032_c0_seq1_m.38860	GO:0009987
comp10032_c0_seq2_m.38861	GO:0005576,GO:0008233,GO:0031323
comp10032_c0_seq2_m.38862	GO:0009987
comp10033_c0_seq1_m.35593	GO:0005776,GO:0004672,GO:0005515,GO:0006914
comp10033_c1_seq1_m.35594	GO:0005634,GO:0005776,GO:0016020,GO:0000166,GO:0004674,GO:0005515,GO:0006468,GO:0006914,GO:0009405,GO:0009847,GO:0015031,GO:0044409,GO:0048102
comp10033_c1_seq1_m.35595	GO:0005737,GO:0043231,GO:0016301
comp10033_c1_seq2_m.35596	GO:0005634,GO:0005776,GO:0016020,GO:0000166,GO:0004674,GO:0005515,GO:0006468,GO:0006914,GO:0009405,GO:0009847,GO:0015031,GO:0044409,GO:0048102
comp10034_c0_seq1_m.4519	GO:0005634,GO:0005876,GO:0009524,GO:0070652,GO:0051011,GO:0007067,GO:0051225,GO:0051301
comp10035_c1_seq1_m.17307	GO:0036464,GO:0003677,GO:0003723,GO:0006950,GO:0009628,GO:0010468,GO:0051171,GO:0080090,GO:2000112
comp100380_c0_seq1_m.12846	GO:0005774,GO:0051707
comp100393_c0_seq1_m.12847	GO:0009505,GO:0009506,GO:0046658,GO:0001872,GO:0004553,GO:0009408,GO:0052543
comp10039_c0_seq1_m.27784	GO:0009507,GO:0008234
comp10040_c0_seq1_m.20887	GO:0005634,GO:0003700,GO:0008270,GO:0043565,GO:0044212,GO:0006355,GO:0009640,GO:0019760
comp10041_c0_seq1_m.22296	GO:0005886,GO:0004675,GO:0005524,GO:0007166,GO:0009611,GO:0009620,GO:0046777
comp10041_c0_seq2_m.22297	GO:0005576,GO:0005886,GO:0004674,GO:0005524,GO:0007169,GO:0046777
comp100420_c0_seq1_m.12849	GO:0005618,GO:0005773,GO:0048046,GO:0009615,GO:0009627,GO:0010224,GO:0031540,GO:0031640,GO:0046686,GO:0050832
comp100427_c0_seq1_m.12850	GO:0005739,GO:0009507,GO:0010087,GO:0010305,GO:0010588,GO:1900865
comp10042_c0_seq1_m.4522	GO:0016021,GO:0009877
comp10045_c0_seq1_m.4524	GO:0005634,GO:0010584
comp10046_c0_seq1_m.21064	GO:0006810
comp10047_c0_seq1_m.4525	GO:0005576,GO:0005773,GO:0005794,GO:0009506,GO:0009507,GO:0016413,GO:0071554
comp10048_c0_seq1_m.4526	GO:0009534,GO:0009840,GO:0009941,GO:0010287,GO:0004252,GO:0006508,GO:0009658
comp10049_c0_seq1_m.4527	GO:0005634,GO:0005802,GO:0009705,GO:0034707,GO:0005247,GO:0005515,GO:0009671,GO:0031404,GO:0009826,GO:0010038,GO:0010167,GO:0015706,GO:0030002,GO:1902476
comp100518_c0_seq1_m.12851	GO:0005634,GO:0003700,GO:0008022,GO:0007623,GO:0009409,GO:0009585,GO:0009733,GO:0009737,GO:0009826,GO:0009909,GO:0010031,GO:0010119,GO:0048573
comp10051_c0_seq1_m.4528	GO:0005739,GO:0016020
comp10052_c0_seq1_m.4529	GO:0005615,GO:0005764,GO:0005829,GO:0004197,GO:0006955,GO:0007568,GO:0009723,GO:0051603
comp10053_c0_seq1_m.4530	GO:0009507,GO:0010008,GO:0098796,GO:0005515,GO:0000578,GO:0006914,GO:0006996,GO:0007034,GO:0009793,GO:0010564,GO:0015031,GO:0016192,GO:0032509,GO:0040007,GO:0051301,GO:0070507
comp10055_c1_seq1_m.38517	GO:0005634,GO:0042803,GO:0009585,GO:0009649,GO:0009908,GO:0009909,GO:0010114,GO:0042753,GO:0048511,GO:0048573,GO:0080167
comp10056_c0_seq1_m.30770	GO:0043234,GO:0005096,GO:0065007
comp10057_c0_seq1_m.36149	GO:0000139,GO:0005768,GO:0005774,GO:0005789,GO:0005802,GO:0016021,GO:0008757,GO:0032259
comp10057_c0_seq1_m.36150	GO:0000139,GO:0005768,GO:0005774,GO:0005789,GO:0005802,GO:0016021,GO:0008757,GO:0032259
comp10057_c0_seq3_m.36151	GO:0000139,GO:0005768,GO:0005774,GO:0005789,GO:0005802,GO:0016021,GO:0008757,GO:0032259
comp10057_c0_seq3_m.36152	GO:0000139,GO:0005768,GO:0005774,GO:0005789,GO:0005802,GO:0016021,GO:0008757,GO:0032259
comp10058_c0_seq1_m.4531	GO:0009507,GO:0006723,GO:0009793
comp100608_c0_seq1_m.12853	GO:0005737,GO:0008134,GO:0016707,GO:0009686,GO:0009740,GO:0009845,GO:0010114,GO:0055114
comp10060_c0_seq1_m.4533	GO:0005829,GO:0009507,GO:0016020,GO:0004737,GO:0046872,GO:0001666,GO:0034059
comp10061_c0_seq1_m.15859	GO:0000139,GO:0005634,GO:0005739,GO:0005886,GO:0009506,GO:0016021,GO:0004252,GO:0016485
comp10061_c1_seq1_m.15860	GO:0000139,GO:0005634,GO:0005739,GO:0005886,GO:0009506,GO:0016021,GO:0004252,GO:0016485
comp10063_c0_seq1_m.4535	GO:0005634,GO:0017150,GO:0006400
comp10064_c0_seq1_m.4536	GO:0071704
comp10065_c0_seq1_m.29087	GO:0005654,GO:0005730,GO:0005773,GO:0031499,GO:0055087,GO:0003729,GO:0005524,GO:0008143,GO:0034459,GO:0000467,GO:0006351,GO:0006355,GO:0006813,GO:0016441,GO:0016973,GO:0034475,GO:0034476,GO:0035864,GO:0043629,GO:0070478,GO:0070481,GO:0071035,GO:0071038,GO:0071042,GO:0071049,GO:0071051,GO:1904278
comp10065_c0_seq1_m.29088	GO:0005654,GO:0005773,GO:0055087,GO:0000166,GO:0003729,GO:0004004,GO:0006813,GO:0016441,GO:0035864,GO:0051171,GO:0070478,GO:0070481,GO:0080090,GO:1904278,GO:2000112
comp10066_c0_seq1_m.4537	GO:0005739,GO:0005783,GO:0005794,GO:0005801,GO:0005886,GO:0016021,GO:0006890,GO:0045185
comp10067_c0_seq1_m.4538	GO:0005634,GO:0005774,GO:0005794,GO:0005829,GO:0005887,GO:0009506,GO:0000287,GO:0005515,GO:0005524,GO:0008553,GO:0006754,GO:0009414,GO:0009737,GO:0010119,GO:0015991,GO:0051453,GO:1990069
comp10067_c0_seq1_m.4539	GO:0005634,GO:0005773,GO:0005794,GO:0005887,GO:0009506,GO:0000287,GO:0005515,GO:0005524,GO:0008553,GO:0006754,GO:0009414,GO:0009737,GO:0010119,GO:0015991,GO:0051453,GO:1990069
comp10067_c0_seq1_m.4540	GO:0005634,GO:0005774,GO:0005794,GO:0005829,GO:0005887,GO:0009506,GO:0000287,GO:0005515,GO:0005524,GO:0008553,GO:0006754,GO:0009414,GO:0009737,GO:0010119,GO:0015991,GO:0051453,GO:1990069
comp10067_c0_seq1_m.4541	GO:0005634,GO:0005774,GO:0005794,GO:0005829,GO:0005887,GO:0009506,GO:0000287,GO:0005515,GO:0005524,GO:0008553,GO:0006754,GO:0009414,GO:0009737,GO:0010119,GO:0015991,GO:0051453,GO:1990069
comp10067_c0_seq1_m.4542	GO:0005774,GO:0005794,GO:0005829,GO:0005887,GO:0009506,GO:0000287,GO:0005515,GO:0005524,GO:0008553,GO:0006754,GO:0015991,GO:0051453
comp10070_c0_seq1_m.38542	GO:0005634,GO:0005739,GO:0006511
comp10070_c0_seq2_m.38543	GO:0005634,GO:0005739,GO:0008237,GO:0046872,GO:0006511
comp10071_c0_seq1_m.19809	GO:0005730,GO:0005829,GO:0003729,GO:0006417
comp10071_c0_seq1_m.19810	GO:0005730,GO:0003723
comp10072_c0_seq1_m.4543	GO:0005576,GO:0005618,GO:0006952,GO:0009807
comp10074_c0_seq1_m.31089	GO:0005737,GO:0009506,GO:0004842,GO:0070696,GO:0010115,GO:0010200,GO:0016567,GO:0048523,GO:0090056
comp100752_c0_seq1_m.12854	GO:0005634,GO:0005774,GO:0005886,GO:0009506,GO:0016021,GO:0005524,GO:0008559,GO:0010328,GO:0010329,GO:0009630,GO:0009733,GO:0009735,GO:0010315,GO:0010540,GO:0048767,GO:0055085,GO:0060919
comp100754_c0_seq1_m.12855	GO:0005488,GO:0016491
comp100754_c0_seq1_m.12856	GO:0016020,GO:0004497,GO:0016705,GO:0046872,GO:0044710
comp10077_c0_seq1_m.20627	GO:0010287,GO:0080167
comp10077_c0_seq2_m.20628	GO:0010287,GO:0080167
comp10078_c0_seq1_m.4544	GO:0005739
comp10079_c0_seq1_m.4545	GO:0005739,GO:0016020,GO:0004872,GO:0009725,GO:0009744
comp10079_c0_seq1_m.4546	GO:0005739,GO:0016021,GO:0004872,GO:0009651,GO:0009725,GO:0009744,GO:0009788
comp10080_c0_seq1_m.4547	GO:0005794,GO:0044446
comp10083_c0_seq1_m.4548	GO:0009509,GO:0009534,GO:0009941,GO:0016020,GO:0016166,GO:0016705,GO:0009635,GO:0016117,GO:0016120,GO:0055114
comp10084_c0_seq1_m.4549	GO:0016020,GO:0043231,GO:0044444,GO:0004497,GO:0005488,GO:0008202,GO:0009753,GO:0032989,GO:0048366,GO:0048646,GO:0050789,GO:0065008,GO:1901615,GO:1905392
comp10085_c0_seq1_m.19678	GO:0005634,GO:0005737,GO:0005952,GO:0016324,GO:0031588,GO:0016301,GO:0019887,GO:0019901,GO:0005975,GO:0006629,GO:0009744,GO:0031323,GO:0043436,GO:0043562,GO:0080090
comp10086_c0_seq1_m.37609	GO:0005634,GO:0005773,GO:0009506,GO:0016459,GO:0030133,GO:0035619,GO:0000146,GO:0003779,GO:0005516,GO:0005524,GO:0042802,GO:0007015,GO:0009860,GO:0010091,GO:0010154,GO:0030048,GO:0048467,GO:0048768,GO:0051301,GO:0051645,GO:0051646,GO:0060151,GO:0090436
comp10086_c1_seq1_m.37610	GO:0005634,GO:0005773,GO:0009506,GO:0016459,GO:0030133,GO:0035619,GO:0000146,GO:0042802,GO:0007015,GO:0009860,GO:0010091,GO:0010154,GO:0030048,GO:0048467,GO:0048768,GO:0051301,GO:0051645,GO:0051646,GO:0060151,GO:0090436
comp10086_c1_seq1_m.37612	GO:0005773,GO:0016459,GO:0003774,GO:0005515,GO:0030048
comp10088_c0_seq1_m.25597	GO:0005730,GO:0005769,GO:0005789,GO:0005802,GO:0005829,GO:0005886,GO:0012510,GO:0004709,GO:0004712,GO:0005515,GO:0005524,GO:0000165,GO:0001666,GO:0002229,GO:0008219,GO:0009414,GO:0009617,GO:0009620,GO:0009658,GO:0009686,GO:0009738,GO:0009744,GO:0009750,GO:0009788,GO:0009873,GO:0010105,GO:0010182,GO:0046777,GO:0048510,GO:0071281,GO:1900150,GO:1900424,GO:2000031,GO:2000035,GO:2000069
comp10088_c0_seq1_m.25598	GO:0005730,GO:0005769,GO:0005783,GO:0005802,GO:0005829,GO:0005886,GO:0012510,GO:0004709,GO:0005515,GO:0002229,GO:0007165,GO:0008219,GO:0009414,GO:0009617,GO:0009620,GO:0009723,GO:0009788,GO:0046777,GO:1900150,GO:1900424,GO:2000031
comp10088_c0_seq1_m.25599	GO:0005730,GO:0005769,GO:0005789,GO:0005802,GO:0005829,GO:0005886,GO:0012510,GO:0004709,GO:0004712,GO:0005515,GO:0005524,GO:0000165,GO:0001666,GO:0002229,GO:0008219,GO:0009414,GO:0009617,GO:0009620,GO:0009686,GO:0009738,GO:0009744,GO:0009750,GO:0009788,GO:0009873,GO:0010105,GO:0010182,GO:0046777,GO:0048510,GO:0071281,GO:1900150,GO:1900424,GO:2000031,GO:2000035,GO:2000069
comp10088_c0_seq2_m.25600	GO:0005730,GO:0005769,GO:0005789,GO:0005802,GO:0005829,GO:0005886,GO:0012510,GO:0004709,GO:0004712,GO:0005515,GO:0005524,GO:0000165,GO:0001666,GO:0002229,GO:0008219,GO:0009414,GO:0009617,GO:0009620,GO:0009658,GO:0009686,GO:0009738,GO:0009744,GO:0009750,GO:0009788,GO:0009873,GO:0010105,GO:0010182,GO:0046777,GO:0048510,GO:0071281,GO:1900150,GO:1900424,GO:2000031,GO:2000035,GO:2000069
comp10088_c0_seq2_m.25601	GO:0005730,GO:0005769,GO:0005789,GO:0005802,GO:0005829,GO:0005886,GO:0012510,GO:0004709,GO:0004712,GO:0005515,GO:0005524,GO:0000165,GO:0001666,GO:0002229,GO:0008219,GO:0009414,GO:0009617,GO:0009620,GO:0009686,GO:0009738,GO:0009744,GO:0009750,GO:0009788,GO:0009873,GO:0010105,GO:0010182,GO:0046777,GO:0048510,GO:0071281,GO:1900150,GO:1900424,GO:2000031,GO:2000035,GO:2000069
comp10089_c0_seq1_m.4551	GO:0005634,GO:0003700,GO:0005515,GO:0006355,GO:0009909,GO:0009933,GO:0009944,GO:0010093,GO:0010154,GO:0010158,GO:0010450,GO:0090706,GO:1902183,GO:2000024
comp10089_c0_seq1_m.4552	GO:0005634,GO:0003677,GO:0003700,GO:0005515,GO:0046872,GO:0006355,GO:0009909,GO:0009933,GO:0009944,GO:0010093,GO:0010154,GO:0010158,GO:0010450,GO:0090706,GO:1902183,GO:2000024
comp10091_c0_seq1_m.4553	GO:0005886,GO:0004672,GO:0009987
comp10091_c0_seq1_m.4554	GO:0005886,GO:0009506,GO:0004672,GO:0005515,GO:0005524,GO:0009861,GO:0045088
comp10092_c0_seq1_m.34118	GO:0005815,GO:0044444,GO:0015631,GO:0000226,GO:0006461,GO:0097435,GO:1902589
comp10094_c0_seq1_m.4556	GO:0005829,GO:0047036,GO:0055114
comp10096_c0_seq1_m.4558	GO:0005739,GO:0005451,GO:0006812
comp10096_c0_seq1_m.4559	GO:0005886,GO:0005451,GO:0015079,GO:0071805
comp10097_c0_seq1_m.39275	GO:0005634,GO:0005829,GO:0003677,GO:0003700,GO:0016491,GO:0046982,GO:0006355,GO:0009744,GO:0009820,GO:0046686,GO:0055114,GO:0080149
comp100_c0_seq1_m.19	GO:0005886,GO:0001653,GO:0004383,GO:0004674,GO:0005515,GO:0005524,GO:0006468,GO:0007169,GO:0009611,GO:0031347,GO:0044763,GO:0045087
comp100_c0_seq1_m.20	GO:0009507,GO:0016020,GO:0071944,GO:0000166,GO:0001653,GO:0004383,GO:0004674,GO:0005515,GO:0006468,GO:0007165,GO:0009611,GO:0010070,GO:0031347,GO:0045087
comp10100_c0_seq1_m.4560	GO:0005634,GO:0003677,GO:0003700,GO:0046872,GO:0006351,GO:0006355,GO:0042742,GO:0048653
comp10101_c0_seq1_m.4561	GO:0005634,GO:0044427,GO:0003677,GO:0004386,GO:0005515,GO:0005524,GO:0006281,GO:0006351,GO:0006355,GO:0016569,GO:0031047,GO:0045089,GO:0050829,GO:0071494
comp10102_c0_seq1_m.17938	GO:0000784,GO:0000788,GO:0005654,GO:0005913,GO:0016020,GO:0043234,GO:0070062,GO:0031492,GO:0042393,GO:0046982,GO:0098641,GO:0000183,GO:0002230,GO:0006335,GO:0007596,GO:0031047,GO:0032200,GO:0044267,GO:0045815,GO:0051290,GO:0060968,GO:0098609,GO:0098792
comp10102_c0_seq1_m.17939	GO:0000784,GO:0000788,GO:0005654,GO:0043234,GO:0070062,GO:0000979,GO:0000980,GO:0031492,GO:0042393,GO:0046982,GO:0000183,GO:0001649,GO:0002119,GO:0006336,GO:0006974,GO:0006997,GO:0007140,GO:0007286,GO:0007338,GO:0007420,GO:0007566,GO:0007596,GO:0008283,GO:0008340,GO:0008584,GO:0009725,GO:0009792,GO:0010171,GO:0030307,GO:0031047,GO:0031508,GO:0031509,GO:0035264,GO:0040035,GO:0042692,GO:0044267,GO:0045815,GO:0048477,GO:0090230,GO:1902340
comp10102_c0_seq2_m.17940	GO:0000784,GO:0000788,GO:0005654,GO:0005913,GO:0009536,GO:0016020,GO:0043234,GO:0070062,GO:0031492,GO:0042393,GO:0046982,GO:0098641,GO:0000183,GO:0002230,GO:0006335,GO:0007596,GO:0031047,GO:0032200,GO:0044267,GO:0045815,GO:0051290,GO:0060968,GO:0098609,GO:0098792
comp10102_c0_seq2_m.17941	GO:0000784,GO:0000788,GO:0005654,GO:0005913,GO:0009536,GO:0016020,GO:0043234,GO:0070062,GO:0031492,GO:0042393,GO:0046982,GO:0098641,GO:0000183,GO:0002230,GO:0006335,GO:0007596,GO:0031047,GO:0032200,GO:0044267,GO:0045815,GO:0051290,GO:0060968,GO:0098609,GO:0098792
comp10103_c0_seq1_m.4562	GO:0005640,GO:0005794,GO:0005829,GO:0005886,GO:0009504,GO:0009507,GO:0016363,GO:0032153,GO:0005515,GO:0000911,GO:0007067,GO:0048527
comp10106_c0_seq1_m.34942	GO:0009507,GO:0016020,GO:0003955,GO:0005515,GO:0010207
comp10106_c0_seq2_m.34944	GO:0009535,GO:0016021,GO:0003955,GO:0005515,GO:0048038,GO:0010207,GO:0055114
comp10106_c0_seq2_m.34945	GO:0009507,GO:0016020,GO:0003955,GO:0005515,GO:0010207
comp10108_c0_seq1_m.4566	GO:0005634,GO:0005737,GO:0030674,GO:0007623,GO:0009640,GO:0009658,GO:0009785,GO:0009909,GO:0010017,GO:0010200,GO:0010224,GO:0045892
comp10110_c0_seq1_m.16115	GO:0005886,GO:0009506,GO:0016021,GO:0004674,GO:0005524,GO:0007169,GO:0009742,GO:0009791,GO:0009826,GO:0046777,GO:0051510
comp10110_c0_seq2_m.16116	GO:0005886,GO:0016021,GO:0004674,GO:0005524,GO:0006468,GO:0007169,GO:0044763
comp10111_c0_seq1_m.23410	GO:0005576,GO:0016021,GO:0005506,GO:0010295,GO:0019825,GO:0020037,GO:0007275,GO:0010268,GO:0016125,GO:0016132,GO:0046345,GO:0055114
comp10111_c0_seq2_m.23411	GO:0005576,GO:0005789,GO:0009507,GO:0016021,GO:0005506,GO:0010295,GO:0019825,GO:0020037,GO:0009414,GO:0010114,GO:0010268,GO:0016125,GO:0016132,GO:0046345,GO:0048838,GO:0050832,GO:0055114
comp10113_c0_seq1_m.4568	GO:0005774,GO:0005887,GO:0005313,GO:0015181,GO:0015189,GO:0015297,GO:0009624,GO:0043091,GO:0051938,GO:1903401
comp10114_c0_seq1_m.23841	GO:0005768,GO:0006810
comp10114_c0_seq2_m.23842	GO:0031982,GO:0044444,GO:0006810
comp10115_c0_seq1_m.4569	GO:0044424,GO:0048523
comp10115_c0_seq1_m.4570	GO:0005737,GO:0043231,GO:0005515,GO:0000077,GO:0032515
comp10116_c0_seq1_m.4571	GO:0043231,GO:0044444,GO:0050789
comp10117_c0_seq1_m.4573	GO:0016020
comp1011_c0_seq1_m.273	GO:0005730,GO:0005739,GO:0009295,GO:0009507,GO:0019843,GO:0009451,GO:0009553,GO:0009555,GO:0009793,GO:0009845,GO:0010467,GO:0016071,GO:0048868
comp10120_c0_seq1_m.39210	GO:0005739,GO:0009507,GO:0004416,GO:0005506,GO:0008270,GO:0008800,GO:0009651,GO:0017001,GO:0019243,GO:0034059,GO:0043200
comp10120_c0_seq1_m.39211	GO:0005739,GO:0009507,GO:0004416,GO:0008800,GO:0046872,GO:0009651,GO:0019243,GO:0034059,GO:0043200
comp10120_c0_seq3_m.39212	GO:0005739,GO:0009507,GO:0004416,GO:0005506,GO:0008270,GO:0008800,GO:0009651,GO:0017001,GO:0019243,GO:0034059,GO:0043200
comp10120_c0_seq5_m.39213	GO:0005739,GO:0009507,GO:0004416,GO:0008800,GO:0046872,GO:0009651,GO:0019243,GO:0034059,GO:0043200
comp10120_c0_seq5_m.39214	GO:0005739,GO:0009507,GO:0004416,GO:0005506,GO:0008270,GO:0008800,GO:0009651,GO:0017001,GO:0019243,GO:0034059,GO:0043200
