Transcript	meanFST	WeightFST	Transcript2	Scaffold	Start	End	Length	Sex.Linkage	LG	cm_male	cf_female
comp11183_c0_seq4_m.33167	 -0.0065581	 -0.0056962	comp11183_c0_seq4_m.33167	scaffold_2109	62444	63950	1506	Au	6	13.26	7.48
comp4970_c0_seq1_m.1586	 0.011839	 0.00012561	comp4970_c0_seq1_m.1586	scaffold_1893	1547	3613	2066	SL	1	53.85	46.44
comp39803_c0_seq1_m.11324	 0.004393	 0.0035595	comp39803_c0_seq1_m.11324	scaffold2160_1_size27760	1335	3401	2066	Au	7	31.49	52.38
comp18839_c0_seq1_m.34027	 1.1276e-16	 1.1276e-16	comp18839_c0_seq1_m.34027	scaffold_3399	1	1068	1067	PAR	1	31.63	18.59
comp8478_c1_seq1_m.3517	 -0.023302	 -0.029902	comp8478_c1_seq1_m.3517	scaffold_1525	5546	6696	1150	PAR	1	7.55	7.48
comp9946_c0_seq1_m.4453	 -0.024033	 -0.032061	comp9946_c0_seq1_m.4453	scaffold_1249	558	988	430	Au	3	53.78	78.24
comp9229_c0_seq1_m.37228	 -0.012105	 -0.016889	comp9229_c0_seq1_m.37228	scaffold10872_1_size8510	3367	4928	1561	Au	3	50.08	67.13
comp12669_c0_seq1_m.37059	 -0.019629	 -0.029065	comp12669_c0_seq1_m.37059	scaffold5682_1_size15046	1084	6694	5610	Au	3	40.82	56.01
comp54473_c0_seq1_m.11667	 -0.0032202	 -0.012566	comp54473_c0_seq1_m.11667	scaffold3558_1_size20737	14457	18691	4234	Au	2	67.58	74.3
comp11665_c0_seq1_m.5615	 -0.0099631	 -0.01259	comp11665_c0_seq1_m.5615	scaffold_3838	6644	10812	4168	Au	3	87.12	100.46
comp8855_c0_seq2_m.23585	 -nan	 -nan	comp8855_c0_seq2_m.23585	scaffold5655_1_size15096	10013	10413	400	Au	8	41.81	39.18
comp12718_c0_seq1_m.6383	 -0.032294	 -0.034802	comp12718_c0_seq1_m.6383	scaffold6945_1_size12778	5029	7359	2330	Au	4	57.63	52.3
comp15004_c0_seq1_m.7987	 -0.01085	 -0.017685	comp15004_c0_seq1_m.7987	scaffold16_1_size161623	123298	134671	11373	PAR	1	48.3	39.04
comp11562_c0_seq1_m.5528	 -0.037332	 -0.037332	comp11562_c0_seq1_m.5528	scaffold741_1_size46625	7895	8154	259	Au	3	79.71	91.2
comp6906_c0_seq2_m.18226	 -0.010265	 -0.009861	comp6906_c0_seq2_m.18226	scaffold2164_1_size27724	3732	4101	369	Au	3	37.11	46.75
comp4861_c0_seq1_m.30360	 -0.006156	 0.0024143	comp4861_c0_seq1_m.30360	scaffold_1610	91871	94790	2919	PAR	1	98.3	83.49
comp7580_c0_seq1_m.3018	 -0.024458	 -0.032285	comp7580_c0_seq1_m.3018	scaffold5714_1_size14988	7059	9834	2775	Au	8	64.03	68.81
comp4358_c0_seq1_m.1096	 0.001229	 0.0039615	comp4358_c0_seq1_m.1096	scaffold718_1_size47032	33633	34424	791	Au	7	25.93	37.56
comp4037_c0_seq1_m.902	 -nan	 -nan	comp4037_c0_seq1_m.902	scaffold_2549	22456	26802	4346	Au	7	18.52	35.71
comp18628_c1_seq1_m.22107	 -0.0052918	 -0.011428	comp18628_c1_seq1_m.22107	scaffold_2418	2505	39140	36635	Au	6	33.63	33.41
comp13511_c0_seq1_m.19652	 -0.020416	 -0.027826	comp13511_c0_seq1_m.19652	scaffold_3163	927	1841	914	Au	6	50.3	57.49
comp48430_c0_seq1_m.11519	 -0.021068	 -0.028518	comp48430_c0_seq1_m.11519	scaffold167_1_size79298	5906	10464	4558	Au	2	49.06	48.37
comp12643_c0_seq1_m.6324	 -0.019652	 -0.022734	comp12643_c0_seq1_m.6324	scaffold2005_1_size28999	26503	28805	2302	Au	5	55.63	46.74
comp10848_c1_seq1_m.16105	 -0.018385	 -0.02372	comp10848_c1_seq1_m.16105	scaffold_2989	16816	20997	4181	Au	5	55.63	59.7
comp12339_c0_seq1_m.17894	 -0.013954	 -0.01486	comp12339_c0_seq1_m.17894	scaffold15731_1_size6378	1383	1868	485	Au	8	21.44	16.95
comp16097_c0_seq1_m.8734	 -0.026166	 -0.032485	comp16097_c0_seq1_m.8734	scaffold818_1_size44952	390	1478	1088	PAR	1	77.93	77.93
comp4846_c0_seq1_m.1497	 -0.007843	 -0.011365	comp4846_c0_seq1_m.1497	scaffold731_1_size46809	8842	10708	1866	Au	4	16.89	22.66
comp9934_c1_seq2_m.17419	 -0.025559	 -0.031895	comp9934_c1_seq2_m.17419	scaffold1394_1_size34959	19808	24235	4427	SL	1	53.85	59.41
comp38039_c0_seq1_m.11280	 -0.019194	 -0.030597	comp38039_c0_seq1_m.11280	scaffold1410_1_size34801	17557	19065	1508	SL	1	53.85	48.3
comp6711_c0_seq1_m.29667	 -0.013779	 -0.032812	comp6711_c0_seq1_m.29667	scaffold286_1_size67132	35960	36239	279	Au	5	35.26	20.81
comp15754_c0_seq1_m.8515	 -2.6516e-05	 -0.003672	comp15754_c0_seq1_m.8515	scaffold3306_1_size21757	13553	16991	3438	Au	3	87.12	102.31
comp4140_c0_seq1_m.976	 -0.0036825	 0.0049099	comp4140_c0_seq1_m.976	scaffold2160_1_size27760	10919	14035	3116	Au	7	31.49	52.38
comp11271_c0_seq1_m.17374	 -0.024823	 -0.023896	comp11271_c0_seq1_m.17374	scaffold_2643	171	20829	20658	Au	4	61.34	68.97
comp9742_c0_seq1_m.36410	 -0.012658	 -0.022147	comp9742_c0_seq1_m.36410	scaffold1075_1_size39500	990	2956	1966	Au	5	29.7	20.81
comp15244_c0_seq1_m.31274	 -0.024589	 -0.031222	comp15244_c0_seq1_m.31274	scaffold16412_1_size6186	3514	5932	2418	Au	2	34.24	22.44
comp15437_c0_seq1_m.16510	 -0.022407	 -0.025624	comp15437_c0_seq1_m.16510	scaffold2584_1_size25062	8455	15149	6694	Au	2	71.28	87.27
comp11869_c0_seq1_m.26296	 -nan	 -nan	comp11869_c0_seq1_m.26296	scaffold_4131	351	2202	1851	PAR	1	50.15	42.74
comp15161_c0_seq1_m.8105	 -0.015586	 -0.023266	comp15161_c0_seq1_m.8105	scaffold_498	377	11744	11367	Au	8	52.92	55.85
comp12842_c0_seq1_m.6460	 -0.012682	 -0.017807	comp12842_c0_seq1_m.6460	scaffold_1716	116420	128117	11697	Au	3	53.78	78.24
comp13069_c0_seq1_m.6639	 -0.0076316	 -0.0054367	comp13069_c0_seq1_m.6639	scaffold_2203	179	1895	1716	Au	2	49.06	40.96
comp11885_c0_seq1_m.5773	 -0.0047837	 -0.010746	comp11885_c0_seq1_m.5773	scaffold_79	5372	9588	4216	Au	7	31.49	43.12
comp10431_c0_seq1_m.4768	 -nan	 -nan	comp10431_c0_seq1_m.4768	scaffold_1555	730	3456	2726	Au	4	46.52	43.04
comp217262_c0_seq1_m.14921	 -0.0063771	 -0.011358	comp217262_c0_seq1_m.14921	scaffold_1522	130098	139902	9804	Au	6	26.22	24.15
comp8498_c0_seq1_m.3529	 -0.0091842	 -0.0059775	comp8498_c0_seq1_m.3529	scaffold1500_1_size33783	27918	28214	296	Au	2	45.35	33.56
comp13333_c0_seq1_m.6826	 -0.012888	 -0.022753	comp13333_c0_seq1_m.6826	scaffold_3392	5208	7079	1871	Au	4	22.44	28.22
comp12520_c0_seq5_m.28603	 -0.0087425	 -0.020451	comp12520_c0_seq5_m.28603	scaffold_2398	27493	31477	3984	Au	2	26.83	15.04
comp53699_c0_seq1_m.11658	 -0.01168	 -0.023638	comp53699_c0_seq1_m.11658	scaffold_1810	10492	14688	4196	Au	4	44.67	43.04
comp125350_c0_seq1_m.13524	 -0.016583	 -0.016583	comp125350_c0_seq1_m.13524	scaffold228_1_size72482	14808	15482	674	Au	6	26.22	20.44
comp6063_c0_seq1_m.2097	 0.0063914	 0.0080285	comp6063_c0_seq1_m.2097	scaffold_3862	18397	21076	2679	Au	5	53.78	43.04
comp7977_c0_seq1_m.36076	 -0.016334	 -0.016334	comp7977_c0_seq1_m.36076	scaffold1173_1_size37956	4427	5677	1250	Au	5	44.52	30.07
comp16552_c0_seq1_m.9025	 0.0064268	 -0.0071475	comp16552_c0_seq1_m.9025	scaffold5820_1_size14749	8521	10386	1865	Au	5	53.78	44.89
comp25645_c0_seq1_m.10946	 -nan	 -nan	comp25645_c0_seq1_m.10946	scaffold10110_1_size9289	7596	7919	323	Au	4	16.89	24.52
comp12867_c0_seq1_m.6474	 -0.0053266	 -0.0026124	comp12867_c0_seq1_m.6474	scaffold_2556	79544	83734	4190	Au	7	35.19	56.08
comp12802_c0_seq1_m.36669	 -0.0046601	 -0.015697	comp12802_c0_seq1_m.36669	scaffold_1960	11393	15475	4082	PAR	1	77.93	77.93
comp16651_c0_seq1_m.9090	 -0.00073837	 -0.0098093	comp16651_c0_seq1_m.9090	scaffold12947_1_size7302	732	3160	2428	Au	4	44.67	43.04
comp15843_c1_seq12_m.39134	 -nan	 -nan	comp15843_c1_seq12_m.39134	scaffold2560_1_size25198	8979	10973	1994	Au	6	20.66	13.04
comp14575_c0_seq3_m.22813	 -0.026422	 -0.026337	comp14575_c0_seq3_m.22813	scaffold_970	4140	4559	419	Au	5	29.7	20.81
comp7837_c0_seq1_m.3169	 -0.022354	 -0.02912	comp7837_c0_seq1_m.3169	scaffold214_1_size73509	24449	25444	995	Au	6	41.04	46.37
comp10178_c0_seq1_m.4612	 -0.0024039	 -0.012648	comp10178_c0_seq1_m.4612	scaffold160_1_size80813	26250	27015	765	Au	7	14.82	33.86
comp10580_c0_seq1_m.22632	 0.0051526	 0.00079204	comp10580_c0_seq1_m.22632	scaffold_4117	4225	17052	12827	Au	7	44.45	76.46
comp16978_c0_seq1_m.34487	 -0.015195	 -0.013352	comp16978_c0_seq1_m.34487	scaffold_206	20289	39015	18726	Au	2	26.83	15.04
comp25020_c0_seq1_m.10911	 -0.015994	 -0.026588	comp25020_c0_seq1_m.10911	scaffold524_1_size53417	10915	12452	1537	Au	2	52.76	59.49
comp13419_c0_seq1_m.6886	 -0.0032532	 -0.0078051	comp13419_c0_seq1_m.6886	scaffold4546_1_size17565	3060	3452	392	Au	4	29.85	33.78
comp17923_c0_seq1_m.36505	 -0.015233	 -0.021334	comp17923_c0_seq1_m.36505	scaffold1205_1_size37518	35718	36760	1042	Au	4	28	33.78
comp8917_c0_seq1_m.3794	 -0.015893	 -0.023338	comp8917_c0_seq1_m.3794	scaffold15239_1_size6527	281	928	647	Au	3	5.63	13.42
comp4498_c0_seq1_m.1194	 -0.014773	 -0.017616	comp4498_c0_seq1_m.1194	scaffold1495_1_size33809	9626	10658	1032	Au	8	58.48	59.55
comp15209_c1_seq1_m.8144	 -0.0041764	 -0.0051444	comp15209_c1_seq1_m.8144	scaffold5075_1_size16272	6411	8747	2336	Au	5	29.7	20.81
comp16356_c0_seq1_m.37581	 -nan	 -nan	comp16356_c0_seq1_m.37581	scaffold_332	9518	10753	1235	Au	2	71.28	90.97
comp7024_c0_seq2_m.21720	 -0.022284	 -0.02565	comp7024_c0_seq2_m.21720	scaffold741_1_size46625	28435	29046	611	Au	3	79.71	91.2
comp9185_c0_seq1_m.26430	 -0.016909	 -0.023404	comp9185_c0_seq1_m.26430	scaffold1730_1_size31254	20330	22162	1832	SL	1	53.85	61.26
comp11653_c0_seq1_m.5599	 -0.0045424	 0.00057378	comp11653_c0_seq1_m.5599	scaffold_2640	27927	29970	2043	Au	7	38.89	72.75
comp140739_c0_seq1_m.13816	 -0.023649	 -0.032584	comp140739_c0_seq1_m.13816	scaffold_3228	107	38160	38053	Au	8	64.03	68.81
comp15668_c0_seq1_m.8462	 -0.028888	 -0.028888	comp15668_c0_seq1_m.8462	scaffold_383	17290	17467	177	Au	4	22.44	31.92
comp7485_c0_seq2_m.19661	 -0.0058825	 -0.021469	comp7485_c0_seq2_m.19661	scaffold456_1_size56061	31259	33063	1804	Au	3	57.49	78.24
comp5978_c0_seq1_m.2060	 -0.0036673	 -0.008751	comp5978_c0_seq1_m.2060	scaffold_180	1450	46488	45038	Au	6	61.41	57.49
comp16888_c0_seq1_m.9228	 0.01719	 0.016065	comp16888_c0_seq1_m.9228	scaffold9901_1_size9541	306	6334	6028	Au	6	13.26	7.48
comp13729_c0_seq1_m.29115	 -0.017404	 -0.02924	comp13729_c0_seq1_m.29115	scaffold10727_1_size8638	325	3266	2941	Au	7	29.63	41.27
comp8219_c0_seq1_m.3359	 -0.017334	 -0.016034	comp8219_c0_seq1_m.3359	scaffold62494_1_size1218	406	1218	812	Au	7	7.41	15.34
comp16430_c0_seq1_m.8939	 -0.0050133	 -0.0041035	comp16430_c0_seq1_m.8939	scaffold_2553	470	10215	9745	PAR	1	13.11	9.33
comp6163_c0_seq1_m.2149	 -0.013311	 -0.01704	comp6163_c0_seq1_m.2149	scaffold2179_1_size27593	6184	7696	1512	Au	5	40.82	26.37
comp6722_c0_seq1_m.2490	 -0.0026758	 -0.0086168	comp6722_c0_seq1_m.2490	scaffold_3242	529	4741	4212	Au	2	49.06	50.23
comp25006_c0_seq1_m.10909	 -0.012653	 -0.015818	comp25006_c0_seq1_m.10909	scaffold40_1_size126885	112176	114005	1829	Au	4	26.15	31.92
comp17632_c0_seq1_m.17349	 -0.0070196	 -0.010368	comp17632_c0_seq1_m.17349	scaffold4996_1_size16489	7201	15959	8758	Au	4	55.78	50.44
comp6360_c0_seq1_m.2279	 0.023585	 0.014237	comp6360_c0_seq1_m.2279	scaffold10842_1_size8534	1118	3425	2307	PAR	1	100.15	83.49
comp16493_c0_seq1_m.8979	 -0.0035696	 -0.0078587	comp16493_c0_seq1_m.8979	scaffold_3962	2728	70368	67640	Au	7	38.89	74.6
comp174439_c0_seq1_m.14481	 -0.014188	 -0.014527	comp174439_c0_seq1_m.14481	scaffold266_1_size69161	10760	11257	497	Au	2	39.8	33.56
comp18998_c0_seq8_m.30329	 -0.001437	 -0.0026777	comp18998_c0_seq8_m.30329	scaffold7044_1_size12666	10372	11993	1621	Au	5	57.49	59.7
comp8018_c0_seq1_m.3271	 -0.0067123	 -0.019058	comp8018_c0_seq1_m.3271	scaffold10288_1_size9096	4195	6434	2239	Au	2	37.94	31.7
comp17146_c0_seq1_m.21427	 -0.013428	 -0.023863	comp17146_c0_seq1_m.21427	scaffold3402_1_size21354	193	7820	7627	Au	2	49.06	40.96
comp18378_c0_seq1_m.15283	 -0.014616	 -0.019311	comp18378_c0_seq1_m.15283	scaffold2378_1_size26293	20358	25573	5215	Au	5	55.63	52.3
comp13226_c0_seq1_m.6747	 -0.016629	 -0.026634	comp13226_c0_seq1_m.6747	scaffold1157_1_size38218	21784	24360	2576	PAR	1	79.78	79.78
comp14198_c0_seq1_m.37632	 1.1276e-16	 1.1276e-16	comp14198_c0_seq1_m.37632	scaffold26941_1_size2836	531	2689	2158	Au	7	24.08	37.56
comp6410_c0_seq1_m.15777	 -0.0184	 -0.0184	comp6410_c0_seq1_m.15777	scaffold9705_1_size9772	7404	8919	1515	PAR	1	92.75	83.49
comp15735_c0_seq1_m.8503	 -nan	 -nan	comp15735_c0_seq1_m.8503	scaffold_2937	4335	12376	8041	Au	5	13.04	15.26
comp5319_c0_seq1_m.1787	 -2.6201e-05	 -0.0046547	comp5319_c0_seq1_m.1787	scaffold9123_1_size10437	1184	2305	1121	Au	3	44.52	65.27
comp11194_c0_seq1_m.5292	 -0.0078798	 -0.013957	comp11194_c0_seq1_m.5292	scaffold11967_1_size7767	231	7640	7409	SL	1	53.85	57.56
comp7175_c0_seq1_m.2776	 -0.011234	 0.03496	comp7175_c0_seq1_m.2776	scaffold255_1_size70174	41414	43573	2159	Au	5	13.04	13.4
comp111515_c0_seq1_m.13128	 -0.014175	 -0.020981	comp111515_c0_seq1_m.13128	scaffold_2603	8459	9346	887	Au	2	34.24	22.44
comp11443_c0_seq1_m.17298	 -0.0098415	 -0.010032	comp11443_c0_seq1_m.17298	scaffold1597_1_size32606	20154	21809	1655	PAR	1	72.37	77.93
comp13012_c1_seq1_m.31023	 -0.013992	 -0.016512	comp13012_c1_seq1_m.31023	scaffold11108_1_size8344	6964	7863	899	Au	7	51.86	82.01
comp20932_c0_seq1_m.10686	 -0.0052471	 -0.0028063	comp20932_c0_seq1_m.10686	scaffold_1194	28901	32237	3336	Au	3	33.41	28.23
comp12414_c0_seq1_m.6146	 0.0024125	 -0.005909	comp12414_c0_seq1_m.6146	scaffold2428_1_size25981	3816	4364	548	Au	2	58.32	66.89
comp105049_c0_seq1_m.13020	 -0.011623	 -0.015009	comp105049_c0_seq1_m.13020	scaffold523_1_size53421	28022	28451	429	Au	2	49.06	48.37
comp106317_c0_seq1_m.13052	 -0.0203	 -0.029661	comp106317_c0_seq1_m.13052	scaffold_1297	27206	27541	335	Au	5	59.34	59.7
comp11758_c0_seq1_m.32600	 -0.012056	 -0.025545	comp11758_c0_seq1_m.32600	scaffold888_1_size43080	28639	30113	1474	Au	6	28.07	26
comp10395_c0_seq1_m.4749	 -0.026146	 -0.03338	comp10395_c0_seq1_m.4749	scaffold_1030	5363	16881	11518	Au	6	48.44	55.63
comp16751_c0_seq1_m.9161	 0.00057438	 -0.0070783	comp16751_c0_seq1_m.9161	scaffold20749_1_size4361	232	4256	4024	PAR	1	103.93	85.34
comp116032_c0_seq1_m.13323	 -0.0049169	 -0.006006	comp116032_c0_seq1_m.13323	scaffold128_1_size86352	41707	42294	587	Au	8	34.4	31.77
comp6658_c0_seq1_m.2447	 0.0037685	 0.00032202	comp6658_c0_seq1_m.2447	scaffold43631_1_size1708	209	1393	1184	Au	4	42.82	41.18
comp18465_c0_seq2_m.32318	 -0.024585	 -0.02284	comp18465_c0_seq2_m.32318	scaffold1345_1_size35570	30000	32015	2015	PAR	1	39.04	26
comp15596_c0_seq1_m.8406	 -0.012257	 -0.024628	comp15596_c0_seq1_m.8406	scaffold15743_1_size6374	1926	6374	4448	Au	2	49.06	48.37
comp36181_c0_seq1_m.11237	 -0.015434	 -0.024504	comp36181_c0_seq1_m.11237	scaffold_3711	3601	12727	9126	Au	8	30.7	29.92
comp9269_c0_seq1_m.26020	 -0.018749	 -0.018821	comp9269_c0_seq1_m.26020	scaffold915_1_size42621	11069	15361	4292	Au	7	31.49	41.27
comp8957_c0_seq1_m.3823	 -0.01387	 -0.021219	comp8957_c0_seq1_m.3823	scaffold_3022	8663	35131	26468	Au	7	35.19	63.49
comp18854_c0_seq1_m.33740	 0.092703	 0.14375	comp18854_c0_seq1_m.33740	scaffold_2859	5422	11836	6414	SL	1	53.85	57.56
comp14331_c0_seq1_m.7537	 0.0097382	 0.011397	comp14331_c0_seq1_m.7537	scaffold_113	15827	19294	3467	Au	4	5.78	18.96
comp7061_c1_seq2_m.28485	 -nan	 -nan	comp7061_c1_seq2_m.28485	scaffold_1522	53963	55699	1736	Au	6	26.22	24.15
comp18253_c1_seq1_m.31222	 -nan	 -nan	comp18253_c1_seq1_m.31222	scaffold_2827	154	5120	4966	Au	8	39.96	37.33
comp12266_c0_seq1_m.6037	 -0.0068137	 -0.0047155	comp12266_c0_seq1_m.6037	scaffold8509_1_size11053	1718	5118	3400	Au	3	35.26	31.94
comp6709_c0_seq1_m.23515	 -nan	 -nan	comp6709_c0_seq1_m.23515	scaffold2034_1_size28820	121	2365	2244	Au	8	41.81	37.33
comp11435_c0_seq5_m.35034	 -0.01552	 -0.01552	comp11435_c0_seq5_m.35034	scaffold4121_1_size18758	11312	12995	1683	Au	2	37.94	28
comp17188_c0_seq2_m.15272	 -0.0097186	 0.0017869	comp17188_c0_seq2_m.15272	scaffold_682	7921	12414	4493	Au	3	29.7	28.23
comp16985_c0_seq1_m.9285	 0.012161	 0.0014344	comp16985_c0_seq1_m.9285	scaffold1139_1_size38475	27363	30930	3567	Au	3	76.01	87.5
comp17629_c0_seq1_m.15403	 -0.0079558	 -0.010891	comp17629_c0_seq1_m.15403	scaffold_127	202	45155	44953	Au	3	13.04	20.82
comp8828_c0_seq1_m.16111	 -0.0075939	 -0.021717	comp8828_c0_seq1_m.16111	scaffold_3114	5098	10352	5254	Au	3	13.04	20.82
comp18588_c0_seq5_m.28784	 -0.011255	 -0.024408	comp18588_c0_seq5_m.28784	scaffold_4094	6298	10025	3727	Au	5	74.15	67.11
comp16320_c0_seq1_m.27079	 -nan	 -nan	comp16320_c0_seq1_m.27079	scaffold648_1_size49324	30611	31125	514	Au	3	42.67	57.86
comp17360_c0_seq1_m.29217	 0.0030911	 0.0096767	comp17360_c0_seq1_m.29217	scaffold1051_1_size39920	17288	19726	2438	Au	8	49.22	42.88
comp16003_c0_seq1_m.17089	 -0.033317	 -0.033317	comp16003_c0_seq1_m.17089	scaffold41243_1_size1801	335	1754	1419	Au	3	87.12	102.31
comp16320_c0_seq1_m.27080	 -0.0027087	 0.0065674	comp16320_c0_seq1_m.27080	scaffold648_1_size49324	2469	6495	4026	Au	3	42.67	57.86
comp18678_c1_seq1_m.36188	 -0.011177	 -0.018228	comp18678_c1_seq1_m.36188	scaffold_383	9734	13002	3268	Au	4	22.44	31.92
comp11991_c0_seq2_m.21441	 -0.010857	 -0.015388	comp11991_c0_seq2_m.21441	scaffold_1214	58121	62088	3967	PAR	1	52	44.59
comp9449_c0_seq1_m.4145	 -0.021229	 -0.028412	comp9449_c0_seq1_m.4145	scaffold3729_1_size20040	17728	19235	1507	PAR	1	46.44	37.18
