query	target	target_begin	target_end	AlignmentLength
comp15500_c0_seq1_m.27911	scaffold_1009	3179	8574	5395
comp15500_c0_seq1_m.27910	scaffold_1009	8513	27734	19221
comp10759_c0_seq1_m.5012	scaffold_101	443	1409	966
comp10759_c0_seq1_m.5011	scaffold_101	2363	17333	14970
comp16088_c0_seq2_m.29627	scaffold_101	12597	15815	3218
comp14719_c0_seq1_m.7783	scaffold_1010	2747	6947	4200
comp18311_c0_seq1_m.10075	scaffold_1012	6347	13558	7211
comp13149_c0_seq1_m.24351	scaffold_1013	1335	16549	15214
comp2405_c0_seq1_m.487	scaffold_1014	898	6442	5544
comp16906_c0_seq1_m.9238	scaffold_1015	967	6104	5137
comp16861_c0_seq4_m.26104	scaffold_1016	6016	15094	9078
comp15796_c0_seq1_m.8538	scaffold_1017	4938	8687	3749
comp18972_c0_seq1_m.10424	scaffold_1018	751	25091	24340
comp167907_c0_seq1_m.14354	scaffold_1018	5108	5813	705
comp169523_c0_seq1_m.14403	scaffold_1018	6268	6775	507
comp18609_c3_seq1_m.28970	scaffold_1018	11755	17052	5297
comp18972_c0_seq1_m.10425	scaffold_1018	23764	24120	356
comp73683_c0_seq1_m.12127	scaffold_1019	6195	7370	1175
comp15561_c0_seq1_m.24295	scaffold_1019	10888	12497	1609
comp16035_c0_seq2_m.20374	scaffold_102	1335	2542	1207
comp16592_c0_seq1_m.9057	scaffold_102	15141	15407	266
comp13019_c0_seq1_m.6606	scaffold_1021	2090	4086	1996
comp9721_c1_seq1_m.17243	scaffold_1022	2335	15611	13276
comp17366_c0_seq1_m.9518	scaffold_1024	3619	4270	651
comp12720_c0_seq1_m.6386	scaffold_1026	235	5407	5172
comp12391_c0_seq1_m.6139	scaffold_1026	10081	10283	202
comp17057_c0_seq1_m.22922	scaffold_1026	18248	19284	1036
comp17057_c0_seq1_m.22923	scaffold_1026	20263	20980	717
comp12094_c0_seq1_m.5919	scaffold_1026	22003	26046	4043
comp17892_c0_seq1_m.35485	scaffold_1027	378	1456	1078
comp16976_c0_seq3_m.19387	scaffold_1028	124	3338	3214
comp305_c0_seq1_m.77	scaffold_103	99	675	576
comp10395_c0_seq1_m.4749	scaffold_1030	5363	16881	11518
comp18115_c0_seq1_m.9953	scaffold_1031	355	586	231
comp91529_c0_seq1_m.12624	scaffold_1031	9648	10010	362
comp10697_c0_seq1_m.25085	scaffold_1031	23247	23968	721
comp18115_c0_seq1_m.9951	scaffold_1031	42607	46707	4100
comp15643_c0_seq1_m.8443	scaffold_1031	55560	58166	2606
comp5074_c0_seq1_m.1670	scaffold_1031	58775	61109	2334
comp232018_c0_seq1_m.14999	scaffold_1032	5975	6358	383
comp18020_c0_seq1_m.9879	scaffold_1033	5718	10983	5265
comp17163_c0_seq1_m.9388	scaffold_1035	10145	13987	3842
comp9162_c0_seq1_m.3949	scaffold_1036	14980	16360	1380
comp4770_c0_seq1_m.1438	scaffold_1036	17658	18110	452
comp15330_c0_seq1_m.8217	scaffold_1037	4757	15568	10811
comp11719_c0_seq1_m.5653	scaffold_1038	1009	2530	1521
comp10827_c0_seq1_m.33861	scaffold_1039	4059	5076	1017
comp10827_c0_seq1_m.33862	scaffold_1039	5158	5450	292
comp16771_c0_seq1_m.9171	scaffold_1039	13798	16317	2519
comp16597_c0_seq1_m.9060	scaffold_104	1025	3362	2337
comp18174_c1_seq22_m.16861	scaffold_1041	3043	3900	857
comp22883_c0_seq1_m.10805	scaffold_1041	15117	17082	1965
comp16220_c0_seq1_m.36589	scaffold_1041	17351	18715	1364
comp13522_c0_seq1_m.17684	scaffold_1044	744	11721	10977
comp15288_c0_seq1_m.8193	scaffold_1044	3204	28586	25382
comp16758_c2_seq3_m.36075	scaffold_1044	19862	21406	1544
comp547_c0_seq1_m.161	scaffold_1044	25801	26130	329
comp547_c0_seq1_m.160	scaffold_1044	26146	26607	461
comp102686_c0_seq1_m.12915	scaffold_1045	1368	1640	272
comp15133_c0_seq2_m.15373	scaffold_1046	341	634	293
comp11832_c0_seq1_m.5736	scaffold_1047	1	2398	2397
comp11034_c1_seq1_m.31034	scaffold_1047	5037	6902	1865
comp11165_c0_seq3_m.35035	scaffold_1047	11272	11997	725
comp14514_c0_seq1_m.20566	scaffold_1047	15680	16581	901
comp8019_c0_seq1_m.3272	scaffold_1048	872	1709	837
comp15372_c0_seq1_m.34456	scaffold_1048	12214	13761	1547
comp12235_c0_seq1_m.34019	scaffold_1049	4873	9623	4750
comp13159_c0_seq2_m.30044	scaffold_105	1	160	159
comp14002_c0_seq1_m.7269	scaffold_1050	13	1468	1455
comp17219_c0_seq1_m.9425	scaffold_1050	2798	4041	1243
comp1299_c0_seq1_m.347	scaffold_1051	16948	18149	1201
comp76915_c0_seq1_m.12220	scaffold_1051	18730	19167	437
comp16929_c0_seq1_m.38920	scaffold_1051	21097	22190	1093
comp6802_c0_seq1_m.2558	scaffold_1052	1017	1325	308
comp15314_c0_seq1_m.32825	scaffold_1053	3352	12212	8860
comp14051_c0_seq1_m.37738	scaffold_1054	233	1615	1382
comp17992_c0_seq1_m.31619	scaffold_1055	1	4769	4768
comp18935_c0_seq14_m.32676	scaffold_1056	1	529	528
comp17181_c0_seq1_m.9395	scaffold_1057	1213	3190	1977
comp16608_c0_seq2_m.20162	scaffold_1058	23	4959	4936
comp18711_c0_seq1_m.38994	scaffold_1059	3570	7482	3912
comp18711_c0_seq5_m.39002	scaffold_1059	8583	11045	2462
comp17180_c0_seq1_m.21411	scaffold_1059	16425	18604	2179
comp17180_c0_seq1_m.21410	scaffold_1059	20869	27113	6244
comp17180_c0_seq1_m.21413	scaffold_1059	23547	26964	3417
comp15876_c0_seq1_m.25705	scaffold_106	476	18902	18426
comp15876_c0_seq1_m.25706	scaffold_106	18586	18898	312
comp17241_c0_seq1_m.9444	scaffold_1060	1813	2102	289
comp18598_c0_seq2_m.16312	scaffold_1061	5353	9127	3774
comp9973_c0_seq1_m.31057	scaffold_1061	11517	17225	5708
comp7747_c0_seq1_m.21180	scaffold_1061	18842	31988	13146
comp20293_c0_seq1_m.10628	scaffold_1061	25286	27930	2644
comp5242_c0_seq1_m.15248	scaffold_1062	6334	7124	790
comp14537_c0_seq1_m.15322	scaffold_1062	7902	13082	5180
comp13104_c0_seq1_m.6658	scaffold_1064	766	2382	1616
comp18586_c0_seq2_m.25072	scaffold_1065	449	6907	6458
comp18586_c0_seq2_m.25073	scaffold_1065	6621	6907	286
comp9870_c0_seq5_m.31279	scaffold_1067	744	1052	308
comp14017_c0_seq1_m.7276	scaffold_1068	2980	3244	264
comp15231_c1_seq2_m.28740	scaffold_1068	16844	18331	1487
comp15385_c0_seq1_m.26276	scaffold_1069	206	1189	983
comp10407_c0_seq1_m.4753	scaffold_107	864	1481	617
comp17898_c0_seq1_m.38655	scaffold_107	26327	26398	71
comp17226_c0_seq1_m.25202	scaffold_1071	409	3394	2985
comp155685_c0_seq1_m.14161	scaffold_1073	1	492	491
comp8078_c0_seq1_m.3297	scaffold_1074	22749	34364	11615
comp16151_c0_seq1_m.8772	scaffold_1074	29493	29917	424
comp18150_c0_seq1_m.9979	scaffold_1075	665	7217	6552
comp15468_c0_seq1_m.8313	scaffold_1077	137	8404	8267
comp12913_c0_seq1_m.6523	scaffold_1079	340	18214	17874
comp16523_c0_seq1_m.9002	scaffold_1079	11197	17228	6031
comp18930_c1_seq1_m.34963	scaffold_1079	22816	31649	8833
comp13016_c0_seq1_m.6605	scaffold_108	967	1676	709
comp15406_c0_seq1_m.23423	scaffold_1080	146	5970	5824
comp17486_c0_seq1_m.18155	scaffold_1082	17736	18475	739
comp17486_c1_seq1_m.18154	scaffold_1082	18453	18786	333
comp10204_c0_seq1_m.4624	scaffold_1082	36802	37446	644
comp17486_c0_seq2_m.18152	scaffold_1082	39216	39992	776
comp200639_c0_seq1_m.14652	scaffold_1083	4372	4699	327
comp14101_c0_seq2_m.17462	scaffold_1084	1816	2800	984
comp15211_c0_seq1_m.19965	scaffold_1086	584	877	293
comp18660_c0_seq1_m.10270	scaffold_1087	4314	18850	14536
comp18660_c0_seq1_m.10271	scaffold_1087	11656	12067	411
comp50938_c0_seq1_m.11581	scaffold_1088	212	6444	6232
comp9145_c0_seq1_m.3941	scaffold_1088	12550	16511	3961
comp7597_c0_seq1_m.37796	scaffold_1088	26163	26727	564
comp14297_c0_seq1_m.17829	scaffold_1089	262	25314	25052
comp11720_c0_seq1_m.34679	scaffold_1089	18112	18670	558
comp14297_c0_seq7_m.17835	scaffold_1089	29044	29470	426
comp25893_c0_seq1_m.10963	scaffold_109	26710	31065	4355
comp67426_c0_seq1_m.11963	scaffold_109	31375	31681	306
comp67426_c0_seq1_m.11962	scaffold_109	31809	34483	2674
comp67426_c0_seq1_m.11965	scaffold_109	32841	33132	291
comp145693_c0_seq1_m.14018	scaffold_109	34601	35074	473
comp13079_c0_seq1_m.26525	scaffold_109	37680	40333	2653
comp14307_c0_seq3_m.30170	scaffold_109	46342	47758	1416
comp9446_c0_seq1_m.17895	scaffold_109	56795	59749	2954
comp79985_c0_seq1_m.12269	scaffold_109	61799	64292	2493
comp16496_c0_seq1_m.28248	scaffold_1090	504	903	399
comp10740_c0_seq1_m.4993	scaffold_1091	6131	20316	14185
comp7753_c0_seq1_m.32335	scaffold_1092	1308	9698	8390
comp14276_c0_seq1_m.7493	scaffold_1094	1	8792	8791
comp12484_c0_seq1_m.6196	scaffold_1095	692	1268	576
comp14502_c0_seq1_m.29555	scaffold_1096	737	4862	4125
comp15281_c0_seq1_m.8189	scaffold_1097	1	2067	2066
comp10795_c0_seq1_m.5039	scaffold_1098	9188	13827	4639
comp6735_c0_seq1_m.2504	scaffold_1098	17728	19461	1733
comp9688_c0_seq4_m.32348	scaffold_1099	1	9722	9721
comp18488_c0_seq1_m.10162	scaffold_11	1458	5268	3810
comp16818_c0_seq1_m.9200	scaffold_1100	1	15070	15069
comp76846_c0_seq1_m.12215	scaffold_1101	6246	9473	3227
comp16171_c0_seq1_m.8788	scaffold_1102	558	2409	1851
comp10002_c0_seq1_m.21648	scaffold_1103	92	1949	1857
comp11069_c0_seq1_m.26946	scaffold_1105	1927	2380	453
comp14253_c0_seq1_m.23790	scaffold_1105	6580	7318	738
comp10056_c0_seq1_m.30770	scaffold_1106	2249	7714	5465
comp15611_c0_seq1_m.8422	scaffold_1108	598	953	355
comp15611_c0_seq1_m.8423	scaffold_1108	14098	14219	121
comp11214_c0_seq1_m.5308	scaffold_1109	242	782	540
comp10150_c0_seq1_m.4589	scaffold_1109	2307	4068	1761
comp8028_c0_seq1_m.30120	scaffold_1110	12514	15322	2808
comp102859_c0_seq1_m.12928	scaffold_1110	17456	17933	477
comp10316_c0_seq1_m.32839	scaffold_1112	2877	6124	3247
comp10316_c0_seq2_m.32841	scaffold_1112	6437	10877	4440
comp166000_c0_seq1_m.14297	scaffold_1112	14940	15927	987
comp10602_c0_seq1_m.30391	scaffold_1112	17302	18072	770
comp18056_c0_seq3_m.31066	scaffold_1114	1	1508	1507
comp17816_c0_seq1_m.19823	scaffold_1115	23904	25249	1345
comp10153_c0_seq1_m.31093	scaffold_1116	14868	16085	1217
comp4351_c0_seq1_m.30980	scaffold_1116	18568	21773	3205
comp6514_c0_seq1_m.2351	scaffold_1116	27191	27602	411
comp9995_c0_seq1_m.15920	scaffold_1116	34634	35229	595
comp12490_c0_seq1_m.6200	scaffold_1117	6795	7334	539
comp10811_c0_seq1_m.5047	scaffold_1117	9026	9257	231
comp16646_c0_seq1_m.9088	scaffold_1118	488	1245	757
comp16092_c0_seq1_m.29192	scaffold_1119	786	9590	8804
comp15749_c0_seq1_m.19619	scaffold_1119	10670	12482	1812
comp18460_c0_seq1_m.31646	scaffold_112	125	4097	3972
comp15163_c0_seq1_m.21559	scaffold_112	5510	7114	1604
comp17422_c0_seq1_m.32166	scaffold_1121	466	1853	1387
comp18058_c0_seq1_m.32268	scaffold_1124	4253	15240	10987
comp11788_c0_seq1_m.5700	scaffold_1126	629	18526	17897
comp13031_c0_seq1_m.6618	scaffold_1126	18506	19827	1321
comp17497_c0_seq1_m.28827	scaffold_1127	245	11970	11725
comp18058_c0_seq4_m.32274	scaffold_1127	13121	15118	1997
comp18058_c0_seq3_m.32270	scaffold_1127	16182	20100	3918
comp7822_c1_seq1_m.17910	scaffold_1128	10637	10936	299
comp11660_c0_seq1_m.5610	scaffold_1128	16588	17645	1057
comp8427_c0_seq1_m.3488	scaffold_1128	18877	19258	381
comp15925_c1_seq1_m.35467	scaffold_1128	33631	34885	1254
comp15856_c0_seq1_m.8567	scaffold_1129	291	2076	1785
comp10922_c0_seq1_m.28612	scaffold_113	4	3561	3557
comp4270_c0_seq1_m.24267	scaffold_113	4449	7680	3231
comp53272_c0_seq1_m.11634	scaffold_113	8702	11938	3236
comp14331_c0_seq1_m.7537	scaffold_113	15827	19294	3467
comp18982_c0_seq1_m.30215	scaffold_113	20077	22757	2680
comp18982_c0_seq2_m.30217	scaffold_113	23899	24251	352
comp4789_c0_seq1_m.21661	scaffold_113	24253	24571	318
comp14925_c0_seq1_m.7927	scaffold_113	24680	25733	1053
comp4214_c0_seq1_m.1008	scaffold_1133	6530	12905	6375
comp84114_c0_seq1_m.12409	scaffold_1133	15664	17697	2033
comp39_c1_seq1_m.20155	scaffold_1133	17792	19177	1385
comp39_c0_seq1_m.20154	scaffold_1133	19181	19713	532
comp42653_c0_seq1_m.11382	scaffold_1133	28486	30424	1938
comp12469_c0_seq2_m.37114	scaffold_1133	30977	32017	1040
comp11092_c0_seq1_m.35993	scaffold_1133	33698	42757	9059
comp18450_c0_seq1_m.10139	scaffold_1134	1603	6107	4504
comp16391_c0_seq1_m.8915	scaffold_1135	229	21452	21223
comp16391_c0_seq1_m.8916	scaffold_1135	21186	21474	288
comp7044_c0_seq1_m.2698	scaffold_1135	24773	25312	539
comp12038_c0_seq1_m.27496	scaffold_1135	25520	26194	674
comp15219_c0_seq1_m.19621	scaffold_1136	48	20805	20757
comp8451_c0_seq1_m.29379	scaffold_1136	13936	14220	284
comp8720_c0_seq1_m.3650	scaffold_1137	162	7798	7636
comp8426_c1_seq1_m.37148	scaffold_1137	15989	16774	785
comp8426_c0_seq1_m.37147	scaffold_1137	16784	17131	347
comp95053_c0_seq1_m.12695	scaffold_1138	4843	5245	402
comp8565_c0_seq1_m.3566	scaffold_1138	5892	7185	1293
comp18230_c0_seq19_m.27908	scaffold_1139	1251	2422	1171
comp17159_c1_seq3_m.37728	scaffold_114	10754	12287	1533
comp4277_c0_seq1_m.17964	scaffold_1140	42	62844	62802
comp13283_c0_seq2_m.34707	scaffold_1142	27	966	939
comp206582_c0_seq1_m.14789	scaffold_1143	5334	6089	755
comp12398_c0_seq1_m.6141	scaffold_1144	340	1412	1072
comp6472_c0_seq2_m.27369	scaffold_1144	4755	4956	201
comp14640_c0_seq2_m.39102	scaffold_1144	5754	8174	2420
comp17431_c0_seq1_m.24297	scaffold_1145	979	1612	633
comp16883_c0_seq1_m.38582	scaffold_1147	1	31093	31092
comp16160_c2_seq1_m.36876	scaffold_1147	7347	12017	4670
comp18885_c0_seq1_m.32624	scaffold_1147	28187	28612	425
comp12833_c0_seq1_m.31325	scaffold_1149	416	17128	16712
comp7196_c0_seq1_m.18577	scaffold_115	4032	4574	542
comp7620_c0_seq1_m.3038	scaffold_115	19782	20299	517
comp7196_c0_seq1_m.18576	scaffold_115	21585	25388	3803
comp17909_c0_seq4_m.26413	scaffold_115	27103	27661	558
comp17909_c0_seq3_m.26411	scaffold_115	39659	40200	541
comp15902_c1_seq1_m.27255	scaffold_1150	789	2004	1215
comp16114_c0_seq1_m.8747	scaffold_1151	13	4551	4538
comp8742_c0_seq1_m.26341	scaffold_1153	1469	4096	2627
comp21738_c0_seq1_m.10748	scaffold_1153	13457	14628	1171
comp25092_c0_seq1_m.10915	scaffold_1153	16096	17631	1535
comp47563_c0_seq1_m.11506	scaffold_1155	356	1520	1164
comp8367_c0_seq1_m.3442	scaffold_1155	2473	3939	1466
comp8367_c0_seq1_m.3445	scaffold_1155	4425	5924	1499
comp7901_c0_seq2_m.18846	scaffold_1155	11078	11702	624
comp9316_c0_seq1_m.4059	scaffold_1155	32336	35387	3051
comp28391_c0_seq1_m.11054	scaffold_1155	36353	36679	326
comp13072_c0_seq1_m.6641	scaffold_1158	220	9456	9236
comp7851_c0_seq1_m.3174	scaffold_1159	611	976	365
comp12955_c0_seq2_m.16345	scaffold_1159	1136	2921	1785
comp16635_c0_seq1_m.25398	scaffold_116	458	1959	1501
comp12548_c0_seq2_m.16043	scaffold_1160	514	3619	3105
comp15081_c0_seq1_m.8045	scaffold_1161	753	1404	651
comp18330_c0_seq1_m.16639	scaffold_1162	328	25206	24878
comp18330_c0_seq1_m.16640	scaffold_1162	10552	25206	14654
comp16136_c0_seq2_m.38980	scaffold_1164	1	1562	1561
comp15680_c0_seq1_m.8470	scaffold_1165	2740	3548	808
comp219_c0_seq1_m.25315	scaffold_1165	11799	12287	488
comp167664_c0_seq1_m.14350	scaffold_1165	12396	12755	359
comp166008_c0_seq1_m.14298	scaffold_1165	12888	13500	612
comp379_c0_seq1_m.101	scaffold_1165	13618	13926	308
comp18371_c0_seq2_m.23866	scaffold_1166	386	694	308
comp18663_c1_seq1_m.36282	scaffold_1167	2477	2863	386
comp19128_c0_seq1_m.10471	scaffold_1167	13200	13592	392
comp17173_c0_seq1_m.9393	scaffold_1167	18153	22861	4708
comp16484_c0_seq5_m.29584	scaffold_1168	471	53977	53506
comp18817_c0_seq5_m.18685	scaffold_1169	687	5191	4504
comp18817_c0_seq8_m.18668	scaffold_1169	5792	9868	4076
comp18817_c0_seq1_m.18666	scaffold_1169	9720	16856	7136
comp124782_c0_seq1_m.13504	scaffold_1170	195	12314	12119
comp14306_c0_seq2_m.15568	scaffold_1170	3606	4465	859
comp15183_c0_seq1_m.39265	scaffold_1170	15690	17925	2235
comp9235_c0_seq1_m.3994	scaffold_1170	18595	20364	1769
comp15768_c1_seq1_m.23183	scaffold_1171	318	3412	3094
comp15768_c0_seq1_m.23180	scaffold_1171	3404	5296	1892
comp18621_c0_seq1_m.22982	scaffold_1171	43802	45777	1975
comp14891_c0_seq1_m.7907	scaffold_1172	1233	1683	450
comp101993_c0_seq1_m.12862	scaffold_1172	2678	3001	323
comp11964_c0_seq1_m.27721	scaffold_1173	8343	8524	181
comp4788_c0_seq1_m.30782	scaffold_1174	12396	14932	2536
comp14591_c0_seq2_m.33111	scaffold_1174	43329	44200	871
comp17088_c0_seq1_m.9344	scaffold_1176	79	5718	5639
comp15261_c0_seq1_m.8174	scaffold_1176	6412	95678	89266
comp11909_c0_seq2_m.25940	scaffold_1176	15877	25402	9525
comp61017_c0_seq1_m.11813	scaffold_1176	35428	38118	2690
comp85015_c0_seq1_m.12458	scaffold_1176	39792	40272	480
comp4916_c0_seq1_m.17614	scaffold_1176	43953	44369	416
comp73901_c0_seq1_m.12136	scaffold_1176	46131	47426	1295
comp7016_c1_seq1_m.27337	scaffold_1176	50200	50748	548
comp51474_c0_seq1_m.11593	scaffold_1176	58243	58676	433
comp14228_c0_seq3_m.29633	scaffold_1176	60745	71561	10816
comp14228_c0_seq4_m.29634	scaffold_1176	73485	73802	317
comp12678_c0_seq1_m.32546	scaffold_1176	79400	82341	2941
comp12678_c0_seq2_m.32551	scaffold_1176	84017	85038	1021
comp8487_c0_seq1_m.23397	scaffold_1176	86907	87697	790
comp7595_c0_seq1_m.35953	scaffold_1176	90461	90991	530
comp1267_c0_seq1_m.335	scaffold_1177	7723	8510	787
comp14964_c0_seq1_m.30005	scaffold_1180	4857	18290	13433
comp14964_c0_seq2_m.30006	scaffold_1180	16579	18290	1711
comp11638_c0_seq1_m.21790	scaffold_1181	500	2183	1683
comp18901_c0_seq3_m.36341	scaffold_1181	7671	8159	488
comp18901_c0_seq17_m.36346	scaffold_1181	8241	19676	11435
comp18901_c0_seq16_m.36343	scaffold_1181	13864	20392	6528
comp18901_c0_seq16_m.36344	scaffold_1181	14421	20302	5881
comp16241_c0_seq1_m.21098	scaffold_1182	183	3397	3214
comp14917_c0_seq1_m.33721	scaffold_1183	169	1116	947
comp11970_c0_seq1_m.5828	scaffold_1184	284	844	560
comp18836_c0_seq3_m.34353	scaffold_1185	1548	2581	1033
comp19008_c0_seq2_m.23985	scaffold_1186	1	42373	42372
comp18767_c0_seq1_m.10328	scaffold_1187	153	1735	1582
comp6368_c0_seq1_m.30611	scaffold_1187	3088	5368	2280
comp16607_c0_seq1_m.28744	scaffold_1189	400	2249	1849
comp16372_c0_seq1_m.8900	scaffold_1190	7612	14505	6893
comp15362_c0_seq2_m.21321	scaffold_1191	6397	13816	7419
comp7921_c0_seq1_m.3213	scaffold_1192	1	2460	2459
comp6962_c0_seq1_m.2661	scaffold_1192	3172	5320	2148
comp18852_c0_seq6_m.34748	scaffold_1193	1586	2097	511
comp15923_c0_seq1_m.8610	scaffold_1194	26	17445	17419
comp20932_c0_seq1_m.10686	scaffold_1194	28901	32237	3336
comp18611_c0_seq1_m.18283	scaffold_1195	45	918	873
comp17994_c0_seq8_m.25140	scaffold_1198	2126	2376	250
comp143232_c0_seq1_m.13942	scaffold_1199	795	1842	1047
comp18539_c1_seq2_m.17445	scaffold_1199	2871	7601	4730
comp18539_c1_seq1_m.17444	scaffold_1199	7862	8563	701
comp10458_c0_seq1_m.24569	scaffold_12	358	62874	62516
comp24624_c0_seq1_m.10890	scaffold_12	23445	24818	1373
comp137_c0_seq1_m.22814	scaffold_12	26231	26551	320
comp5868_c0_seq1_m.2026	scaffold_12	26693	27325	632
comp26369_c0_seq1_m.10978	scaffold_12	33324	35997	2673
comp26829_c0_seq1_m.10999	scaffold_12	56844	59631	2787
comp10458_c1_seq1_m.24570	scaffold_12	60883	61266	383
comp9949_c0_seq1_m.4458	scaffold_12	63947	67735	3788
comp18169_c0_seq1_m.29205	scaffold_120	1043	8038	6995
comp18724_c0_seq1_m.27270	scaffold_1202	3442	7128	3686
comp18724_c0_seq1_m.27271	scaffold_1202	6685	7128	443
comp18837_c0_seq1_m.25953	scaffold_1203	1169	11972	10803
comp18362_c0_seq1_m.30123	scaffold_1205	197	1323	1126
comp17314_c0_seq1_m.36842	scaffold_1207	2509	3513	1004
comp7256_c0_seq1_m.2822	scaffold_1207	6803	10939	4136
comp9559_c0_seq1_m.4219	scaffold_1207	13800	15288	1488
comp17964_c0_seq2_m.26204	scaffold_1207	17923	18315	392
comp17964_c0_seq1_m.26205	scaffold_1207	18319	20323	2004
comp14748_c0_seq1_m.7801	scaffold_1208	862	7992	7130
comp18346_c0_seq1_m.32539	scaffold_1209	1	1056	1055
comp14129_c0_seq1_m.7373	scaffold_121	864	1227	363
comp11861_c0_seq1_m.5757	scaffold_121	5639	9936	4297
comp18578_c0_seq1_m.25945	scaffold_1210	1	1127	1126
comp18597_c0_seq1_m.10226	scaffold_1211	674	2823	2149
comp16495_c1_seq2_m.21587	scaffold_1213	1152	11886	10734
comp12813_c0_seq1_m.26291	scaffold_1214	6069	8698	2629
comp12813_c0_seq1_m.26290	scaffold_1214	8778	14228	5450
comp12813_c1_seq1_m.26293	scaffold_1214	14232	20826	6594
comp12813_c1_seq1_m.26294	scaffold_1214	17360	18028	668
comp6052_c0_seq2_m.26491	scaffold_1214	23333	25427	2094
comp4528_c0_seq1_m.24289	scaffold_1214	27437	31343	3906
comp8602_c0_seq1_m.3589	scaffold_1214	33213	34586	1373
comp18004_c0_seq1_m.16596	scaffold_1214	36707	39590	2883
comp18004_c0_seq1_m.16595	scaffold_1214	54590	56708	2118
comp11991_c0_seq2_m.21441	scaffold_1214	58121	62088	3967
comp96499_c0_seq1_m.12773	scaffold_1214	62526	62799	273
comp17969_c0_seq1_m.25620	scaffold_1215	1617	12862	11245
comp16393_c0_seq1_m.8917	scaffold_1218	906	15971	15065
comp18541_c0_seq4_m.32210	scaffold_1219	2205	18033	15828
comp18246_c0_seq3_m.21572	scaffold_1220	1	6958	6957
comp12509_c0_seq1_m.6215	scaffold_1221	371	3876	3505
comp17321_c1_seq3_m.26266	scaffold_1222	249	2632	2383
comp13559_c0_seq1_m.6978	scaffold_1223	183	3255	3072
comp12700_c0_seq1_m.36696	scaffold_1224	760	837	77
comp12107_c0_seq1_m.5929	scaffold_1224	1872	3196	1324
comp13314_c0_seq1_m.6814	scaffold_1225	6092	6932	840
comp17743_c0_seq1_m.29357	scaffold_1226	367	5672	5305
comp17743_c0_seq3_m.29363	scaffold_1226	6178	8154	1976
comp7929_c0_seq1_m.3222	scaffold_1226	10350	12174	1824
comp9411_c0_seq1_m.4116	scaffold_1226	13821	22527	8706
comp9411_c0_seq1_m.4118	scaffold_1226	22470	22740	270
comp606_c0_seq1_m.174	scaffold_1226	23669	25342	1673
comp11585_c0_seq1_m.5543	scaffold_1226	28531	29343	812
comp11585_c0_seq1_m.5544	scaffold_1226	30223	30633	410
comp16007_c0_seq3_m.18785	scaffold_1226	31047	33587	2540
comp15733_c0_seq1_m.27203	scaffold_1226	35471	39380	3909
comp14411_c0_seq3_m.30356	scaffold_1226	40215	41413	1198
comp9120_c0_seq2_m.16955	scaffold_1227	4290	6367	2077
comp17984_c0_seq1_m.15972	scaffold_1228	1	6330	6329
comp14963_c0_seq2_m.36556	scaffold_1229	2336	5740	3404
comp14029_c0_seq1_m.7285	scaffold_1230	35481	36531	1050
comp10351_c0_seq1_m.29311	scaffold_1230	43268	44931	1663
comp14572_c0_seq2_m.29630	scaffold_1231	975	2051	1076
