lg	cm	id	sd
1 7.55 comp15534_c0_seq1_m.35886 Au
1 7.55 comp305_c0_seq1_m.77 Au
1 7.55 comp13750_c0_seq1_m.7096 Au
1 7.55 comp4077_c0_seq1_m.925 Au
1 7.55 comp4731_c0_seq1_m.1410 Au
1 7.55 comp2716_c0_seq1_m.549 Au
1 7.55 comp721_c0_seq1_m.206 Au
1 7.55 comp7738_c0_seq1_m.3112 Au
1 7.55 comp9674_c0_seq1_m.32741 Au
1 7.55 comp14356_c0_seq1_m.7556 Au
1 7.55 comp17533_c0_seq1_m.38666 Au
1 7.55 comp16736_c0_seq1_m.9149 Au
1 7.55 comp6537_c0_seq1_m.2369 Au
1 7.55 comp16509_c0_seq1_m.8990 Au
1 7.55 comp53340_c0_seq1_m.11637 Au
1 7.55 comp9008_c0_seq1_m.3858 Au
1 7.55 comp18461_c0_seq1_m.10144 Au
1 7.55 comp8457_c0_seq1_m.3506 Au
1 7.55 comp5150_c0_seq1_m.1721 Au
1 7.55 comp10875_c0_seq1_m.35107 Au
1 7.55 comp12125_c0_seq1_m.5946 Au
1 7.55 comp76892_c0_seq1_m.12218 Au
1 7.55 comp12049_c0_seq1_m.5889 Au
1 7.55 comp14356_c0_seq1_m.7555 Au
1 7.55 comp13104_c0_seq1_m.6658 Au
1 7.55 comp4513_c0_seq1_m.1208 Au
1 9.40 comp12044_c0_seq1_m.5881 Au
1 9.40 comp18399_c0_seq1_m.10107 Au
1 9.40 comp10627_c0_seq1_m.4911 Au
1 9.40 comp15288_c0_seq1_m.8192 Au
1 9.40 comp8522_c0_seq1_m.3539 Au
1 9.40 comp17423_c0_seq1_m.33000 Au
1 9.40 comp14022_c0_seq1_m.7281 Au
1 9.40 comp14383_c0_seq1_m.19640 Au
1 9.40 comp18930_c1_seq38_m.34967 Au
1 9.40 comp15456_c0_seq1_m.8299 Au
1 9.40 comp16424_c0_seq1_m.8938 Au
1 9.40 comp17921_c0_seq1_m.17133 Au
1 9.40 comp13312_c0_seq3_m.34537 Au
1 9.40 comp18548_c0_seq3_m.33425 Au
1 9.40 comp819_c0_seq1_m.226 Au
1 9.40 comp14393_c0_seq1_m.37229 Au
1 9.40 comp14383_c1_seq1_m.19641 Au
1 9.40 comp16424_c0_seq1_m.8936 Au
1 9.40 comp15948_c0_seq1_m.19412 Au
1 9.40 comp18514_c0_seq1_m.32349 Au
1 9.40 comp12906_c0_seq1_m.33707 Au
1 9.40 comp18948_c0_seq1_m.10401 Au
1 9.40 comp10870_c0_seq1_m.5084 Au
1 9.40 comp9263_c0_seq1_m.4019 Au
1 9.40 comp11259_c0_seq1_m.5329 Au
1 9.40 comp13312_c0_seq3_m.34538 Au
1 9.40 comp12560_c0_seq1_m.6251 Au
1 9.40 comp7044_c0_seq1_m.2698 Au
1 9.40 comp14699_c0_seq1_m.7770 Au
1 9.40 comp7674_c0_seq1_m.3071 Au
1 9.40 comp14787_c0_seq1_m.33841 Au
1 9.40 comp9009_c0_seq1_m.3859 Au
1 9.40 comp13500_c0_seq1_m.6942 Au
1 9.40 comp7712_c0_seq1_m.3092 Au
1 9.40 comp16945_c0_seq1_m.9261 Au
1 9.40 comp14841_c0_seq1_m.7861 Au
1 9.40 comp8873_c0_seq1_m.3769 Au
1 9.40 comp18432_c0_seq1_m.16877 Au
1 9.40 comp16192_c0_seq1_m.8798 Au
1 9.40 comp10337_c0_seq1_m.4714 Au
1 9.40 comp11201_c0_seq1_m.29938 Au
1 9.40 comp12593_c0_seq1_m.6283 Au
1 9.40 comp14234_c0_seq1_m.7467 Au
1 9.40 comp17921_c0_seq1_m.17131 Au
1 9.40 comp18006_c0_seq1_m.9873 Au
1 9.40 comp18699_c0_seq1_m.22216 Au
1 9.40 comp16391_c0_seq1_m.8915 Au
1 9.40 comp17842_c0_seq1_m.9795 Au
1 9.40 comp16989_c0_seq1_m.9288 Au
1 9.40 comp11101_c0_seq1_m.25423 Au
1 9.40 comp15703_c0_seq1_m.26711 Au
1 9.40 comp17123_c0_seq1_m.33244 Au
1 9.40 comp16796_c0_seq1_m.28250 Au
1 11.25 comp12481_c0_seq1_m.30717 Au
1 11.25 comp17449_c0_seq1_m.27816 Au
1 11.25 comp15976_c0_seq1_m.8644 Au
1 11.25 comp8806_c1_seq1_m.32804 Au
1 11.25 comp11927_c0_seq1_m.5801 Au
1 11.25 comp10925_c0_seq1_m.27704 Au
1 11.25 comp8866_c0_seq1_m.3760 Au
1 11.25 comp18014_c0_seq1_m.22292 Au
1 11.25 comp9186_c0_seq1_m.3965 Au
1 11.25 comp8596_c0_seq1_m.3583 Au
1 11.25 comp9529_c0_seq1_m.4193 Au
1 11.25 comp6878_c0_seq1_m.2609 Au
1 11.25 comp15734_c0_seq1_m.35760 Au
1 11.25 comp11522_c0_seq1_m.5501 Au
1 11.25 comp6324_c0_seq1_m.2250 Au
1 11.25 comp10168_c0_seq1_m.4603 Au
1 11.25 comp18076_c0_seq1_m.36551 Au
1 11.25 comp15326_c0_seq1_m.8214 Au
1 11.25 comp18014_c0_seq2_m.22295 Au
1 11.25 comp6945_c0_seq1_m.2654 Au
1 11.25 comp18076_c0_seq1_m.36550 Au
1 11.25 comp15544_c0_seq1_m.8363 Au
1 11.25 comp15544_c0_seq1_m.8364 Au
1 11.25 comp6536_c0_seq1_m.2368 Au
1 11.25 comp13704_c0_seq1_m.7062 Au
1 11.25 comp8433_c0_seq1_m.37331 Au
1 11.25 comp11281_c0_seq1_m.37301 Au
1 11.25 comp10444_c0_seq1_m.4780 Au
1 11.25 comp4322_c0_seq1_m.1068 Au
1 11.25 comp12545_c0_seq1_m.17803 Au
1 11.25 comp19338_c0_seq1_m.10508 Au
1 11.25 comp9283_c0_seq1_m.4036 Au
1 11.25 comp9211_c0_seq1_m.3981 Au
1 11.25 comp17759_c0_seq1_m.21562 Au
1 11.25 comp16158_c0_seq1_m.8775 Au
1 11.25 comp8556_c0_seq1_m.3558 Au
1 11.25 comp44700_c0_seq1_m.11421 Au
1 11.25 comp10705_c0_seq1_m.4974 Au
1 11.25 comp4961_c0_seq1_m.1577 Au
1 11.25 comp11640_c0_seq2_m.26457 Au
1 11.25 comp11696_c0_seq1_m.5639 Au
1 11.25 comp3960_c0_seq1_m.843 Au
1 11.25 comp14684_c0_seq3_m.34995 Au
1 11.25 comp1164_c0_seq1_m.303 Au
1 11.25 comp9166_c0_seq1_m.29591 Au
1 11.25 comp10561_c0_seq1_m.4866 Au
1 11.25 comp12906_c0_seq1_m.33706 Au
1 11.25 comp14529_c0_seq1_m.7669 Au
1 13.11 comp12316_c0_seq1_m.17597 Au
1 13.11 comp14361_c0_seq1_m.7558 Au
1 13.11 comp7951_c0_seq1_m.18826 Au
1 13.11 comp7207_c0_seq1_m.25923 Au
1 13.11 comp16716_c0_seq1_m.29845 Au
1 13.11 comp6828_c0_seq1_m.17234 Au
1 13.11 comp16430_c0_seq1_m.8939 Au
1 13.11 comp74172_c0_seq1_m.12149 Au
1 13.11 comp14838_c0_seq1_m.7859 Au
1 13.11 comp11907_c0_seq1_m.5791 Au
1 14.96 comp9110_c0_seq1_m.29618 Au
1 14.96 comp15988_c0_seq1_m.8652 Au
1 14.96 comp7011_c0_seq1_m.2677 Au
1 14.96 comp42221_c0_seq1_m.11375 Au
1 14.96 comp17172_c1_seq3_m.26788 Au
1 14.96 comp14321_c0_seq1_m.7531 Au
1 14.96 comp15705_c0_seq1_m.33088 Au
1 14.96 comp10955_c0_seq1_m.5141 Au
1 14.96 comp16842_c0_seq1_m.9210 Au
1 14.96 comp14708_c0_seq1_m.7775 Au
1 14.96 comp15510_c0_seq2_m.23712 Au
1 14.96 comp6831_c0_seq1_m.2578 Au
1 14.96 comp13083_c0_seq1_m.6650 Au
1 14.96 comp4328_c0_seq1_m.1070 Au
1 14.96 comp17182_c0_seq1_m.9399 Au
1 14.96 comp11877_c0_seq1_m.26345 Au
1 14.96 comp4860_c0_seq1_m.1514 Au
1 16.81 comp9953_c0_seq1_m.4461 Au
1 16.81 comp17775_c0_seq1_m.9755 Au
1 16.81 comp8997_c0_seq1_m.3850 Au
1 16.81 comp13940_c0_seq1_m.7224 Au
1 16.81 comp4132_c0_seq1_m.970 Au
1 16.81 comp13129_c0_seq1_m.6673 Au
1 16.81 comp12497_c0_seq1_m.6204 Au
1 16.81 comp23143_c0_seq1_m.10824 Au
1 16.81 comp16686_c0_seq1_m.18776 Au
1 16.81 comp15739_c0_seq1_m.8504 Au
1 16.81 comp16710_c0_seq1_m.9129 Au
1 16.81 comp15898_c0_seq1_m.8592 Au
1 16.81 comp18547_c0_seq1_m.10195 Au
1 16.81 comp10797_c0_seq2_m.21153 Au
1 16.81 comp103190_c0_seq1_m.12942 Au
1 16.81 comp9923_c0_seq1_m.4439 Au
1 16.81 comp15898_c0_seq1_m.8591 Au
1 16.81 comp17489_c0_seq1_m.9602 Au
1 16.81 comp14292_c0_seq1_m.7512 Au
1 16.81 comp13930_c0_seq1_m.7214 Au
1 16.81 comp17152_c0_seq1_m.38863 Au
1 16.81 comp13106_c1_seq1_m.15588 Au
1 16.81 comp11771_c0_seq1_m.5685 Au
1 16.81 comp13129_c0_seq1_m.6672 Au
1 16.81 comp9181_c1_seq1_m.31048 Au
1 16.81 comp5066_c0_seq1_m.1663 Au
1 16.81 comp14951_c0_seq1_m.16091 Au
1 16.81 comp4183_c0_seq1_m.999 Au
1 16.81 comp12230_c0_seq1_m.6015 Au
1 18.66 comp34544_c0_seq1_m.11182 Au
1 18.66 comp8566_c0_seq1_m.3567 Au
1 18.66 comp10278_c0_seq1_m.17393 Au
1 18.66 comp10349_c0_seq1_m.35096 Au
1 18.66 comp10272_c0_seq1_m.4671 Au
1 18.66 comp15074_c0_seq1_m.8037 Au
1 18.66 comp18721_c0_seq3_m.16811 Au
1 20.52 comp18502_c0_seq1_m.38183 Au
1 20.52 comp13009_c0_seq1_m.6601 Au
1 20.52 comp17376_c0_seq1_m.9522 Au
1 20.52 comp9016_c0_seq1_m.3863 Au
1 20.52 comp11676_c0_seq1_m.5621 Au
1 20.52 comp17545_c0_seq1_m.9623 Au
1 20.52 comp14427_c0_seq1_m.7595 Au
1 20.52 comp17775_c0_seq1_m.9756 Au
1 22.37 comp18274_c0_seq4_m.32276 Au
1 22.37 comp8850_c0_seq1_m.3750 Au
1 22.37 comp70817_c0_seq1_m.12053 Au
1 22.37 comp14496_c0_seq1_m.7642 Au
1 22.37 comp11275_c0_seq1_m.36430 Au
1 24.22 comp13086_c0_seq1_m.6653 Au
1 24.22 comp7240_c0_seq1_m.2811 Au
1 24.22 comp11732_c0_seq2_m.21122 Au
1 24.22 comp7909_c1_seq1_m.26860 Au
1 24.22 comp15647_c0_seq1_m.8447 Au
1 24.22 comp14560_c0_seq5_m.20895 Au
1 24.22 comp16357_c0_seq1_m.30100 Au
1 24.22 comp18456_c0_seq2_m.23646 Au
1 24.22 comp10032_c0_seq1_m.38860 Au
1 24.22 comp17641_c0_seq1_m.9674 Au
1 24.22 comp11637_c0_seq1_m.5589 Au
1 24.22 comp11322_c0_seq2_m.34641 Au
1 26.07 comp9310_c0_seq1_m.4056 Au
1 26.07 comp15476_c0_seq1_m.8320 Au
1 26.07 comp18274_c0_seq7_m.32278 Au
1 26.07 comp9764_c0_seq2_m.29202 Au
1 26.07 comp13294_c0_seq1_m.20453 Au
1 26.07 comp13766_c0_seq2_m.20117 Au
1 26.07 comp17737_c0_seq1_m.24805 Au
1 26.07 comp16047_c0_seq1_m.8700 Au
1 26.07 comp7703_c0_seq1_m.16620 Au
1 26.07 comp13114_c0_seq1_m.6661 Au
1 26.07 comp5396_c0_seq1_m.1829 Au
1 26.07 comp14372_c0_seq1_m.7560 Au
1 27.92 comp12093_c0_seq1_m.5918 Au
1 27.92 comp12949_c0_seq2_m.15292 Au
1 27.92 comp16343_c0_seq1_m.8877 Au
1 27.92 comp18343_c0_seq1_m.25447 Au
1 27.92 comp15362_c0_seq1_m.21320 Au
1 27.92 comp16657_c0_seq1_m.9096 Au
1 27.92 comp15878_c0_seq1_m.15984 Au
1 27.92 comp10642_c0_seq1_m.4923 Au
1 27.92 comp8931_c0_seq1_m.3804 Au
1 29.78 comp13507_c0_seq1_m.6948 Au
1 31.63 comp17681_c0_seq1_m.9698 Au
1 31.63 comp12993_c1_seq1_m.26433 Au
1 31.63 comp14051_c1_seq1_m.37737 Au
1 31.63 comp16357_c0_seq1_m.30099 Au
1 31.63 comp14051_c0_seq1_m.37738 Au
1 31.63 comp16306_c0_seq1_m.29313 Au
1 31.63 comp7922_c0_seq1_m.3214 Au
1 31.63 comp16584_c0_seq1_m.9047 Au
1 31.63 comp14414_c0_seq1_m.30460 Au
1 31.63 comp18839_c0_seq1_m.34027 Au
1 31.63 comp14685_c0_seq1_m.37497 Au
1 33.48 comp6715_c0_seq1_m.2485 Au
1 33.48 comp10951_c0_seq1_m.5138 Au
1 33.48 comp15000_c0_seq1_m.35789 Au
1 33.48 comp12863_c0_seq1_m.6472 Au
1 33.48 comp9280_c0_seq1_m.21490 Au
1 33.48 comp9088_c0_seq1_m.36314 Au
1 33.48 comp18809_c0_seq1_m.33780 Au
1 33.48 comp16900_c0_seq1_m.9236 Au
1 33.48 comp17597_c0_seq1_m.39172 Au
1 35.33 comp9437_c0_seq1_m.4135 Au
1 35.33 comp17017_c1_seq1_m.15735 Au
1 35.33 comp18977_c0_seq1_m.10430 f3m5_SL_f4m6_Au
1 35.33 comp14051_c2_seq1_m.37739 Au
1 35.33 comp11868_c0_seq1_m.34144 f3m5_SL_f4m6_Au
1 35.33 comp7564_c0_seq1_m.26220 Au
1 35.33 comp9437_c0_seq1_m.4136 Au
1 35.33 comp8277_c0_seq1_m.3397 Au
1 35.33 comp6684_c0_seq1_m.2465 Au
1 37.18 comp96370_c0_seq1_m.12770 Au
1 37.18 comp13634_c0_seq1_m.35784 Au
1 37.18 comp15153_c0_seq1_m.16040 Au
1 37.18 comp15077_c0_seq1_m.8040 Au
1 37.18 comp4026_c0_seq1_m.898 Au
1 37.18 comp54136_c0_seq1_m.11662 Au
1 37.18 comp11553_c0_seq1_m.15900 Au
1 37.18 comp17363_c0_seq1_m.33893 Au
1 37.18 comp11314_c0_seq1_m.18756 Au
1 37.18 comp14248_c2_seq1_m.33383 Au
1 37.18 comp27766_c0_seq1_m.11034 Au
1 37.18 comp9913_c0_seq1_m.4431 Au
1 37.18 comp12245_c0_seq1_m.25110 Au
1 37.18 comp14758_c0_seq1_m.36450 Au
1 37.18 comp7296_c0_seq1_m.2850 Au
1 37.18 comp17041_c0_seq1_m.9314 Au
1 37.18 comp18465_c0_seq2_m.32318 Au
1 37.18 comp11923_c0_seq2_m.29510 Au
1 37.18 comp12203_c0_seq1_m.5997 Au
1 37.18 comp25217_c0_seq1_m.10925 Au
1 37.18 comp18319_c0_seq2_m.25348 Au
1 39.04 comp17149_c0_seq1_m.26508 Au
1 39.04 comp10335_c1_seq1_m.37741 Au
1 39.04 comp13021_c0_seq1_m.6609 Au
1 39.04 comp7449_c0_seq1_m.25384 Au
1 39.04 comp17025_c0_seq1_m.9305 Au
1 39.04 comp12127_c0_seq2_m.34205 Au
1 39.04 comp11314_c0_seq2_m.18759 Au
1 39.04 comp10847_c0_seq1_m.24538 f3m5_SL_f4m6_Au
1 39.04 comp8059_c0_seq1_m.3287 Au
1 39.04 comp33663_c0_seq1_m.11158 Au
1 39.04 comp14440_c0_seq1_m.7599 f3m5_SL_NA
1 39.04 comp17025_c0_seq1_m.9304 f3m5_SL_NA
1 39.04 comp15290_c0_seq1_m.8194 Au
1 39.04 comp14527_c0_seq1_m.7666 Au
1 39.04 comp45694_c0_seq1_m.11448 Au
1 39.04 comp30762_c0_seq1_m.11092 Au
1 39.04 comp9683_c0_seq1_m.26730 Au
1 39.04 comp14604_c0_seq1_m.32295 Au
1 39.04 comp14224_c0_seq1_m.27350 Au
1 39.04 comp15483_c0_seq1_m.8325 Au
1 39.04 comp4267_c0_seq1_m.20960 Au
1 39.04 comp17898_c0_seq1_m.38654 Au
1 39.04 comp9418_c0_seq1_m.4122 Au
1 39.04 comp17658_c0_seq1_m.9686 Au
1 40.89 comp17861_c0_seq8_m.36721 Au
1 40.89 comp13342_c0_seq1_m.32096 Au
1 40.89 comp4837_c0_seq1_m.1491 Au
1 40.89 comp17495_c0_seq1_m.21925 Au
1 40.89 comp11604_c0_seq2_m.30728 f3m5_SL_NA
1 40.89 comp6371_c0_seq1_m.2287 Au
1 40.89 comp8835_c0_seq1_m.3740 Au
1 40.89 comp7438_c0_seq1_m.2940 Au
1 40.89 comp13290_c0_seq1_m.28397 Au
1 40.89 comp13935_c0_seq3_m.22594 Au
1 40.89 comp12585_c0_seq1_m.6275 Au
1 40.89 comp12161_c0_seq2_m.18123 Au
1 40.89 comp18329_c0_seq1_m.32733 Au
1 42.74 comp15971_c0_seq1_m.36909 Au
1 42.74 comp12585_c0_seq1_m.6276 Au
1 42.74 comp55977_c0_seq1_m.11695 Au
1 42.74 comp14862_c0_seq1_m.7887 Au
1 42.74 comp11420_c0_seq1_m.5428 f3m5_SL_f4m6_SL
1 42.74 comp4002_c0_seq1_m.877 Au
1 42.74 comp7276_c0_seq1_m.2832 Au
1 42.74 comp5413_c0_seq1_m.1847 Au
1 42.74 comp14377_c0_seq1_m.7565 Au
1 42.74 comp7276_c0_seq1_m.2833 Au
1 42.74 comp17351_c0_seq1_m.9505 Au
1 42.74 comp15993_c0_seq1_m.37628 Au
1 42.74 comp12161_c0_seq1_m.18122 Au
1 42.74 comp11593_c0_seq1_m.5550 Au
1 42.74 comp15333_c0_seq1_m.8218 Au
1 42.74 comp11420_c0_seq1_m.5429 Au
1 42.74 comp13123_c0_seq1_m.6668 Au
1 42.74 comp18507_c0_seq1_m.36649 f3m5_SL_NA
1 42.74 comp6770_c0_seq1_m.2536 Au
1 42.74 comp13071_c0_seq1_m.34861 Au
1 44.59 comp4969_c0_seq1_m.1585 Au
1 44.59 comp10756_c0_seq1_m.5005 Au
1 44.59 comp13108_c0_seq1_m.20873 Au
1 44.59 comp13726_c0_seq1_m.7081 Au
1 44.59 comp12882_c0_seq1_m.6488 Au
1 44.59 comp13394_c0_seq1_m.6866 Au
1 44.59 comp11256_c0_seq1_m.5328 Au
1 44.59 comp13925_c0_seq1_m.21744 Au
1 44.59 comp12251_c0_seq1_m.6025 Au
1 44.59 comp16293_c0_seq2_m.26852 Au
1 44.59 comp11314_c0_seq1_m.18757 Au
1 44.59 comp11514_c0_seq1_m.5494 Au
1 44.59 comp17823_c0_seq1_m.28685 Au
1 46.44 comp8992_c0_seq1_m.31385 Au
1 46.44 comp11011_c2_seq1_m.23392 f3m5_Au_f4m6_SL
1 46.44 comp18186_c0_seq1_m.10006 f3m5_SL_f4m6_SL
1 46.44 comp17456_c0_seq3_m.23876 Au
1 46.44 comp11841_c0_seq1_m.5742 Au
1 46.44 comp10990_c0_seq1_m.5166 Au
1 46.44 comp5116_c0_seq2_m.34857 Au
1 46.44 comp15156_c0_seq1_m.8104 Au
1 46.44 comp10096_c0_seq1_m.4558 Au
1 46.44 comp14510_c0_seq1_m.7654 Au
1 46.44 comp9791_c0_seq1_m.4360 Au
1 46.44 comp15501_c0_seq1_m.22519 Au
1 46.44 comp13334_c0_seq1_m.16347 Au
1 46.44 comp33134_c0_seq1_m.11144 f3m5_SL_f4m6_Au
1 46.44 comp15927_c0_seq1_m.36521 Au
1 46.44 comp10769_c0_seq2_m.17061 Au
1 46.44 comp13223_c0_seq1_m.6743 Au
1 46.44 comp11750_c0_seq1_m.5675 f3m5_SL_NA
1 46.44 comp10233_c1_seq1_m.23937 Au
1 46.44 comp16387_c0_seq1_m.8912 NA_f4m6_SL
1 46.44 comp17885_c0_seq1_m.9819 NA_f4m6_SL
1 46.44 comp11086_c0_seq1_m.15413 Au
1 46.44 comp15351_c0_seq1_m.8233 Au
1 46.44 comp12102_c0_seq1_m.5922 Au
1 46.44 comp16347_c0_seq1_m.8881 Au
1 46.44 comp16244_c0_seq2_m.29257 Au
1 46.44 comp17794_c0_seq1_m.37035 Au
1 46.44 comp13722_c0_seq1_m.7079 Au
1 46.44 comp14583_c0_seq1_m.7701 Au
1 46.44 comp5909_c0_seq2_m.27075 Au
1 46.44 comp14205_c0_seq1_m.7448 Au
1 46.44 comp10769_c0_seq1_m.17059 Au
1 46.44 comp4040_c0_seq1_m.906 Au
1 46.44 comp48623_c0_seq1_m.11529 Au
1 46.44 comp13802_c0_seq1_m.7127 Au
1 46.44 comp13080_c0_seq1_m.31669 Au
1 46.44 comp102678_c0_seq1_m.12913 Au
1 46.44 comp6059_c0_seq1_m.27126 Au
1 46.44 comp60618_c0_seq1_m.11799 Au
1 46.44 comp11938_c0_seq1_m.37461 Au
1 46.44 comp17491_c0_seq1_m.9604 Au
1 46.44 comp14156_c0_seq1_m.26979 Au
1 46.44 comp17689_c0_seq1_m.9702 Au
1 46.44 comp14965_c0_seq2_m.27711 Au
1 46.44 comp6500_c0_seq1_m.16556 Au
1 46.44 comp18186_c0_seq1_m.10007 Au
1 46.44 comp16480_c0_seq1_m.35392 Au
1 46.44 comp9358_c0_seq1_m.21437 Au
1 46.44 comp10843_c0_seq1_m.35085 Au
1 46.44 comp13926_c0_seq2_m.24912 Au
1 46.44 comp6854_c0_seq1_m.2588 Au
1 46.44 comp4586_c0_seq1_m.1268 Au
1 46.44 comp16825_c0_seq2_m.18081 Au
1 46.44 comp9328_c0_seq1_m.4066 Au
1 46.44 comp15169_c0_seq1_m.24915 f3m5_SL_NA
1 46.44 comp4003_c0_seq1_m.878 Au
1 46.44 comp16480_c1_seq1_m.35394 Au
1 46.44 comp14030_c0_seq1_m.7286 Au
1 46.44 comp16480_c0_seq1_m.35393 Au
1 46.44 comp17199_c0_seq1_m.9409 Au
1 46.44 comp6500_c0_seq2_m.16557 f3m5_SL_f4m6_Au
1 46.44 comp9741_c0_seq1_m.30559 Au
1 46.44 comp9550_c0_seq1_m.4213 Au
1 46.44 comp6755_c0_seq1_m.34251 Au
1 46.44 comp71225_c0_seq1_m.12058 Au
1 46.44 comp17502_c0_seq1_m.23583 Au
1 46.44 comp14120_c0_seq1_m.35106 Au
1 46.44 comp12918_c0_seq1_m.6527 f3m5_SL_NA
1 46.44 comp10301_c0_seq1_m.4685 Au
1 46.44 comp10990_c0_seq1_m.5165 Au
1 46.44 comp17266_c0_seq1_m.9454 Au
1 46.44 comp13952_c0_seq1_m.30307 Au
1 46.44 comp44116_c0_seq1_m.11412 Au
1 46.44 comp14680_c0_seq1_m.7759 Au
1 46.44 comp7447_c0_seq1_m.2945 Au
