gene	xy_dn	xy_ds	
comp12278_c0_seq1_m.24834	-0.0000	0.0169
comp12328_c0_seq1_m.6085	-0.0000	0.0135
comp12368_c0_seq1_m.6114	-0.0000	0.0110
comp12369_c0_seq1_m.6116	0.0008	-0.0000
comp12473_c0_seq1_m.29851	0.0012	0.0034
comp12509_c0_seq1_m.6215	-0.0000	0.0079
comp12537_c0_seq1_m.6236	0.0086	0.0158
comp125488_c0_seq1_m.13532	-0.0000	0.0044
comp12557_c2_seq1_m.30698	-0.0000	0.0070
comp12561_c0_seq1_m.6253	0.0020	0.0109
comp12596_c0_seq1_m.16787	-0.0000	0.0022
comp12640_c0_seq1_m.6320	0.0006	0.0016
comp12686_c0_seq1_m.6356	-0.0000	0.0128
comp12747_c0_seq1_m.17539	0.0029	0.0031
comp12890_c0_seq1_m.6499	0.0017	0.0021
comp12918_c0_seq1_m.6527	0.0016	0.0056
comp12990_c2_seq1_m.38163	-0.0000	0.0075
comp13025_c0_seq1_m.6612	0.0020	-0.0000
comp13033_c0_seq1_m.6619	-0.0000	0.1245
comp13048_c0_seq1_m.6629	0.0015	-0.0000
comp13056_c0_seq1_m.6632	0.0007	0.0057
comp13070_c0_seq1_m.6640	-0.0000	0.0037
comp13100_c0_seq1_m.38053	0.0030	0.0041
comp13118_c0_seq1_m.31168	0.0008	0.0045
comp13181_c0_seq1_m.6712	0.0005	0.0013
comp13213_c0_seq1_m.6735	0.0008	0.0075
comp13243_c0_seq1_m.27340	0.0043	-0.0000
comp13243_c0_seq2_m.27341	0.0013	-0.0000
comp13278_c0_seq1_m.17046	-0.0000	0.0080
comp13282_c0_seq3_m.16921	0.0189	0.0207
comp13293_c0_seq1_m.6800	-0.0000	0.0074
comp13300_c0_seq1_m.33267	0.0009	0.0067
comp13447_c0_seq1_m.18158	0.0115	0.0125
comp13452_c0_seq1_m.29857	0.0008	-0.0000
comp13467_c0_seq1_m.16127	0.0019	0.0138
comp13485_c0_seq1_m.6934	0.0006	0.0070
comp13531_c0_seq1_m.6961	0.0011	0.0056
comp13535_c0_seq1_m.6964	0.0007	0.0043
comp13537_c0_seq1_m.6966	0.0017	0.0205
comp13547_c0_seq1_m.6970	-0.0000	0.0044
comp13571_c0_seq1_m.35670	-0.0000	0.0093
comp13585_c0_seq1_m.36388	0.0005	0.0015
comp13601_c0_seq1_m.7003	0.0087	0.0380
comp13612_c0_seq1_m.24808	-0.0000	0.0063
comp13631_c0_seq1_m.7016	0.0012	0.0083
comp13654_c0_seq1_m.17121	0.0007	-0.0000
comp13684_c0_seq1_m.7046	0.0012	0.0033
comp13691_c1_seq1_m.34212	-0.0000	0.0028
comp13703_c0_seq1_m.16491	0.0025	0.0164
comp13770_c0_seq1_m.7109	0.0010	0.0032
comp13844_c0_seq1_m.7152	0.0006	0.0101
comp13847_c0_seq1_m.7154	0.0048	0.0178
comp13854_c0_seq1_m.28281	-0.0000	0.0021
comp13860_c0_seq1_m.7165	0.0019	-0.0000
comp13861_c0_seq1_m.34154	0.0058	0.0114
comp13878_c0_seq1_m.7177	-0.0000	0.0764
comp13907_c0_seq1_m.7196	0.0024	0.0034
comp13917_c0_seq1_m.7205	0.0006	0.0052
comp13952_c0_seq1_m.30306	-0.0000	0.0039
comp14033_c0_seq1_m.38917	0.0027	0.0085
comp14068_c0_seq1_m.7313	0.0022	-0.0000
comp14099_c0_seq1_m.7344	0.0042	0.0156
comp14238_c0_seq1_m.7469	-0.0000	0.0148
comp14243_c0_seq1_m.7471	0.0033	0.0118
comp14245_c1_seq2_m.32292	-0.0000	0.0029
comp14247_c0_seq1_m.33271	0.0014	0.0073
comp14277_c0_seq1_m.7494	-0.0000	0.0018
comp14324_c0_seq1_m.21017	0.0013	0.0018
comp14326_c0_seq3_m.36796	-0.0000	0.0046
comp14339_c0_seq1_m.7544	0.0077	0.0098
comp14342_c0_seq3_m.29538	0.0042	0.1204
comp14391_c1_seq3_m.28728	0.0005	-0.0000
comp14424_c0_seq1_m.26573	-0.0000	0.0189
comp14424_c0_seq1_m.26574	0.0052	0.0421
comp14440_c0_seq1_m.7599	0.0018	0.0026
comp14450_c1_seq1_m.25917	0.0046	0.0088
comp14463_c0_seq1_m.18279	0.0017	0.0329
comp14483_c0_seq1_m.7633	0.0040	0.0591
comp14486_c0_seq1_m.20041	0.0028	-0.0000
comp14497_c0_seq1_m.7644	-0.0000	0.0016
comp14498_c0_seq1_m.26541	-0.0000	0.0078
comp14501_c0_seq1_m.7647	0.0016	0.0042
comp14507_c0_seq1_m.7652	-0.0000	0.0072
comp14520_c0_seq1_m.20822	0.0006	0.0034
comp14547_c0_seq1_m.7682	0.0009	0.0255
comp14595_c0_seq1_m.7707	0.0015	0.0040
comp14596_c1_seq1_m.26545	0.0019	0.0095
comp14702_c0_seq1_m.38904	0.0027	-0.0000
comp14703_c0_seq1_m.21088	0.0035	0.0673
comp14707_c0_seq1_m.7773	0.0008	0.0068
comp14707_c0_seq1_m.7774	0.0094	-0.0000
comp14709_c0_seq2_m.26269	0.0027	-0.0000
comp14719_c0_seq1_m.7782	-0.0000	0.0048
comp14728_c0_seq1_m.37251	-0.0000	0.0070
comp14751_c0_seq1_m.7803	0.0012	-0.0000
comp14825_c0_seq1_m.7848	0.0083	-0.0000
comp14860_c0_seq1_m.7883	0.0011	0.0032
comp14860_c0_seq1_m.7884	-0.0000	0.0096
comp14867_c0_seq1_m.7893	-0.0000	0.0032
comp14909_c0_seq1_m.7917	-0.0000	0.0042
comp14917_c0_seq1_m.33720	0.0009	0.0055
comp14924_c0_seq1_m.7926	0.0055	0.0191
comp14966_c0_seq1_m.37445	-0.0000	0.0061
comp14976_c0_seq1_m.7969	0.0017	0.0045
comp14985_c0_seq1_m.7973	0.0052	0.0247
comp14991_c0_seq1_m.7983	0.0113	0.0254
comp14995_c0_seq1_m.38138	0.0066	0.0024
comp15001_c0_seq1_m.35341	-0.0000	0.0040
comp15009_c0_seq1_m.16814	0.0009	0.0025
comp15016_c0_seq1_m.17678	-0.0000	0.0087
comp15048_c0_seq1_m.35521	-0.0000	0.0202
comp15070_c0_seq1_m.8030	0.0047	-0.0000
comp15144_c0_seq1_m.8091	0.0022	0.0049
comp15169_c0_seq1_m.24915	0.0009	0.0088
comp15268_c0_seq1_m.8182	0.0010	0.0188
comp15320_c0_seq1_m.8204	0.0020	0.0055
comp15342_c0_seq3_m.24573	-0.0000	0.0014
comp15371_c0_seq1_m.18223	0.0010	0.0094
comp15382_c0_seq1_m.8254	-0.0000	0.0088
comp15383_c0_seq1_m.8255	0.0034	0.0195
comp15388_c0_seq1_m.34922	0.0014	0.0035
comp15438_c0_seq1_m.8288	0.0010	0.0057
comp15465_c0_seq1_m.26119	0.0081	0.0475
comp155385_c0_seq1_m.14158	0.0023	-0.0000
comp15540_c0_seq2_m.23036	0.0003	0.0007
comp15560_c0_seq1_m.19846	0.0106	0.0158
comp15581_c0_seq1_m.8393	0.0006	0.0222
comp15591_c0_seq1_m.8403	0.0135	0.0132
comp15600_c0_seq1_m.8412	-0.0000	0.0027
comp15674_c0_seq1_m.8468	0.0009	0.0014
comp15723_c0_seq1_m.8496	0.0012	0.0034
comp15757_c0_seq1_m.8517	-0.0000	0.0148
comp15757_c0_seq1_m.8518	0.0041	-0.0000
comp15780_c0_seq1_m.8526	0.0123	0.0179
comp15795_c0_seq1_m.8536	0.0018	0.0097
comp15839_c0_seq1_m.8561	0.0077	0.0038
comp15856_c0_seq1_m.8567	0.0085	0.0132
comp15893_c0_seq1_m.8589	0.0035	-0.0000
comp15894_c0_seq1_m.17429	0.0015	0.0078
comp15902_c1_seq1_m.27255	-0.0000	0.0175
comp15902_c2_seq1_m.27256	0.0041	0.0167
comp15961_c0_seq1_m.19184	0.0018	0.0026
comp15980_c0_seq1_m.34239	0.0016	0.0232
comp15981_c0_seq1_m.29347	0.0009	0.0062
comp15981_c0_seq1_m.29348	0.0041	-0.0000
comp15985_c0_seq1_m.8649	-0.0000	0.0013
comp15989_c0_seq1_m.8653	0.0055	0.0214
comp16022_c0_seq1_m.30732	0.0041	0.0296
comp16022_c0_seq2_m.30731	0.0137	-0.0000
comp16022_c0_seq3_m.30733	-0.0000	0.0170
comp16039_c1_seq1_m.35112	0.0028	0.0036
comp16062_c0_seq1_m.8719	0.0018	0.0125
comp16062_c0_seq1_m.8720	0.0186	0.0266
comp16096_c0_seq1_m.8733	-0.0000	0.0101
comp16107_c0_seq1_m.8743	-0.0000	0.0047
comp16176_c0_seq1_m.8794	-0.0000	0.0051
comp16203_c0_seq1_m.8804	-0.0000	0.0129
comp16226_c0_seq1_m.16662	0.0011	0.0182
comp16235_c0_seq1_m.8821	0.0007	0.0148
comp16240_c0_seq3_m.38552	0.0037	-0.0000
comp16240_c0_seq3_m.38553	0.0222	0.0196
comp16256_c1_seq2_m.29208	0.0012	-0.0000
comp16271_c0_seq1_m.8842	0.0005	0.0078
comp16292_c0_seq1_m.37344	0.0040	0.0122
comp16299_c0_seq1_m.30226	-0.0000	0.0027
comp162_c0_seq1_m.36628	0.0045	-0.0000
comp16355_c1_seq3_m.32927	-0.0000	0.0085
comp16355_c1_seq3_m.32928	0.0044	0.0110
comp16366_c0_seq1_m.8897	0.0015	0.0332
comp16379_c0_seq1_m.8905	0.0030	-0.0000
comp16387_c0_seq1_m.8912	0.0009	0.0189
comp16393_c0_seq1_m.8917	-0.0000	0.0099
comp16411_c0_seq1_m.8929	0.0004	0.0076
comp16444_c0_seq1_m.8947	0.0015	0.0030
comp16476_c0_seq1_m.32653	0.0070	0.0547
comp16497_c0_seq1_m.8980	-0.0000	0.0026
comp16510_c0_seq1_m.8991	0.0014	0.0071
comp16531_c0_seq1_m.9008	0.0049	0.0118
comp16531_c0_seq1_m.9009	0.0098	0.0104
comp16555_c0_seq1_m.9027	0.0016	0.0078
comp16561_c0_seq1_m.9029	0.0009	-0.0000
comp16617_c0_seq1_m.23567	0.0030	0.0081
comp16652_c0_seq1_m.37651	0.0072	0.0260
comp16656_c0_seq1_m.9093	0.0013	0.0018
comp16667_c0_seq1_m.9100	0.0041	0.0281
comp16678_c0_seq1_m.19751	0.0008	0.0022
comp16680_c0_seq1_m.9113	-0.0000	0.0018
comp16691_c0_seq1_m.9117	0.0019	0.0189
comp16732_c0_seq1_m.9145	0.0009	0.0067
comp16738_c0_seq1_m.37550	0.0067	-0.0000
comp167681_c0_seq1_m.14351	-0.0000	0.0061
comp16783_c0_seq1_m.30984	0.0013	-0.0000
comp16848_c0_seq1_m.35578	0.0025	-0.0000
comp16850_c0_seq1_m.9213	0.0021	-0.0000
comp16861_c0_seq1_m.26106	-0.0000	0.0080
comp16861_c0_seq2_m.26102	0.0073	0.0220
comp16967_c1_seq1_m.26144	0.0108	0.0182
comp16988_c0_seq1_m.26518	-0.0000	0.0020
comp16992_c0_seq2_m.18559	0.0031	-0.0000
comp17025_c0_seq1_m.9304	0.0011	0.0207
comp17034_c0_seq1_m.9311	0.0004	0.0011
comp17101_c0_seq1_m.31500	-0.0000	0.0055
comp17102_c0_seq1_m.28287	0.0010	0.0091
comp17116_c0_seq2_m.21408	0.0011	-0.0000
comp17124_c0_seq1_m.39118	0.0011	0.0083
comp17130_c0_seq1_m.9368	-0.0000	0.0106
comp17150_c0_seq1_m.9381	-0.0000	0.0014
comp17178_c1_seq4_m.35601	0.0027	-0.0000
comp17192_c0_seq1_m.29073	-0.0000	0.0105
comp17213_c0_seq1_m.9417	0.0012	0.0212
comp17271_c0_seq1_m.9458	0.0051	0.0327
comp17277_c0_seq1_m.9462	0.0058	0.0250
comp17315_c0_seq1_m.9488	0.0046	0.0128
comp17334_c0_seq1_m.21089	0.0013	0.0040
comp17347_c0_seq2_m.15321	-0.0000	0.0053
comp17348_c0_seq1_m.18787	0.0003	0.0027
comp17348_c0_seq1_m.18790	0.0042	-0.0000
comp17353_c0_seq1_m.9511	0.0241	0.0180
comp17359_c0_seq1_m.9515	0.0010	0.0054
comp17371_c0_seq1_m.25757	-0.0000	0.0019
comp17387_c0_seq1_m.9531	0.0004	0.0011
comp17413_c0_seq1_m.38184	0.0010	0.0028
comp17451_c0_seq1_m.9570	0.0029	0.0049
comp17462_c0_seq1_m.9579	0.0010	0.0230
comp17470_c0_seq2_m.30785	0.0004	0.0024
comp17492_c2_seq1_m.38126	0.0010	0.0026
comp17492_c2_seq2_m.38132	-0.0000	0.0057
comp17509_c0_seq1_m.9612	-0.0000	0.0132
comp17626_c0_seq1_m.38359	-0.0000	0.0063
comp17626_c1_seq1_m.38358	0.0103	0.0290
comp17661_c0_seq1_m.9689	0.0023	0.0421
comp17678_c0_seq1_m.38225	0.0035	0.0067
comp17692_c0_seq1_m.9703	0.0006	0.0107
comp17694_c0_seq1_m.9705	-0.0000	0.0172
comp17709_c0_seq1_m.9717	0.0011	0.0114
comp17711_c0_seq1_m.9719	0.0024	0.0063
comp17716_c0_seq1_m.36078	-0.0000	0.0012
comp17722_c0_seq1_m.9727	0.0020	0.0109
comp17753_c0_seq1_m.9744	0.0018	0.0137
comp17788_c0_seq1_m.9759	-0.0000	0.0102
comp17788_c0_seq1_m.9760	-0.0000	0.0057
comp17791_c0_seq1_m.19463	-0.0000	0.0025
comp17802_c0_seq1_m.9772	0.0060	0.0075
comp17826_c0_seq1_m.9791	0.0023	-0.0000
comp17836_c0_seq2_m.24194	0.0010	0.0185
comp17850_c0_seq1_m.9797	-0.0000	0.0011
comp17865_c0_seq1_m.27622	0.0002	0.0012
comp17869_c0_seq1_m.9812	0.0029	0.0142
comp17885_c0_seq1_m.9819	0.0092	0.0266
comp17886_c0_seq1_m.20528	0.0019	-0.0000
comp17906_c0_seq1_m.9832	0.0035	0.0035
comp17913_c0_seq1_m.32854	-0.0000	0.0136
comp17913_c0_seq2_m.32856	0.0033	0.0084
comp17926_c0_seq1_m.32436	0.0013	0.0113
comp17948_c0_seq2_m.28833	0.0047	0.0089
comp18025_c0_seq1_m.9884	0.0004	0.0013
comp18047_c0_seq1_m.9901	0.0012	0.0129
comp18047_c0_seq1_m.9903	-0.0000	0.0169
comp18080_c0_seq1_m.9922	-0.0000	0.0038
comp18083_c0_seq1_m.9925	0.0018	0.0082
comp18093_c0_seq2_m.16710	0.0016	0.0029
comp18094_c0_seq2_m.30675	0.0007	0.0099
comp18106_c0_seq1_m.19568	-0.0000	0.0017
comp18119_c0_seq1_m.9956	0.0009	-0.0000
comp18130_c0_seq1_m.9963	0.0050	0.0276
comp18138_c0_seq1_m.9964	0.0002	-0.0000
comp18149_c0_seq2_m.16715	0.0035	0.0169
comp18149_c0_seq2_m.16716	-0.0000	0.0110
comp18156_c0_seq1_m.9982	0.0031	0.0078
comp18172_c0_seq1_m.16667	0.0024	-0.0000
comp18186_c0_seq1_m.10006	0.0027	-0.0000
comp18221_c1_seq1_m.24200	-0.0000	0.0052
comp18232_c1_seq9_m.23122	0.0004	0.0012
comp18335_c0_seq1_m.10079	0.0006	0.0039
comp18373_c0_seq1_m.33347	-0.0000	0.0159
comp18422_c0_seq1_m.17638	0.0061	0.0351
comp18434_c0_seq1_m.10134	0.0012	0.0058
comp18507_c0_seq1_m.36649	0.0010	0.0013
comp18512_c0_seq1_m.10179	-0.0000	0.0056
comp18535_c3_seq3_m.38044	-0.0000	0.0207
comp18543_c0_seq1_m.10193	0.0035	0.0155
comp18630_c0_seq1_m.10248	0.0006	0.0101
comp18666_c0_seq1_m.10283	0.0016	0.0080
comp18691_c0_seq1_m.10293	0.0015	0.0085
comp18710_c0_seq1_m.10302	0.0008	0.0159
comp18769_c0_seq1_m.30088	0.0025	0.0070
comp18797_c0_seq1_m.29884	0.0022	0.0033
comp18798_c0_seq2_m.26159	0.0004	-0.0000
comp18811_c0_seq1_m.10342	0.0005	0.0330
comp18818_c0_seq10_m.36126	0.0043	0.0077
comp18849_c0_seq1_m.25736	0.0047	0.0155
comp18854_c0_seq1_m.33740	0.0038	0.0074
comp18859_c0_seq1_m.24590	-0.0000	0.0040
comp18902_c0_seq32_m.21806	0.0011	0.0226
comp18911_c0_seq15_m.15436	0.0039	0.0093
comp18911_c0_seq5_m.15435	0.0019	-0.0000
comp18934_c0_seq2_m.18616	0.0100	0.0351
comp18958_c0_seq1_m.10410	0.0010	0.0039
comp18977_c0_seq1_m.10430	0.0021	0.0482
comp18986_c0_seq1_m.10434	-0.0000	0.0011
comp19038_c0_seq1_m.10449	0.0030	0.0102
comp19038_c0_seq1_m.10450	0.0042	0.0503
comp19038_c0_seq1_m.10451	0.0272	0.0918
comp19038_c0_seq1_m.10452	0.0086	0.0112
comp19231_c0_seq1_m.10492	0.0014	0.0199
comp19356_c0_seq1_m.10512	-0.0000	0.0070
comp20191_c0_seq1_m.10612	0.0035	0.0091
comp20280_c0_seq1_m.10626	-0.0000	0.0360
comp22042_c0_seq1_m.10760	0.0014	0.0107
comp23207_c0_seq1_m.10829	-0.0000	0.0043
comp24382_c0_seq1_m.10882	-0.0000	0.0013
comp3170_c0_seq1_m.641	0.0013	-0.0000
comp32139_c0_seq1_m.11123	0.0014	0.0371
comp32875_c0_seq1_m.11138	0.0014	0.0025
comp33134_c0_seq1_m.11144	-0.0000	0.0066
comp3863_c0_seq1_m.773	0.0022	0.0034
comp3917_c0_seq2_m.24217	-0.0000	0.0052
comp3975_c0_seq1_m.855	-0.0000	0.0111
comp4001_c0_seq1_m.15992	-0.0000	0.0205
comp4154_c0_seq1_m.986	0.0012	0.0040
comp4297_c0_seq1_m.1051	-0.0000	0.0042
comp43476_c0_seq1_m.11396	-0.0000	0.0060
comp4389_c0_seq1_m.17333	0.0018	-0.0000
comp4392_c0_seq1_m.1126	-0.0000	0.0057
comp4439_c0_seq1_m.1164	0.0056	0.0304
comp4448_c0_seq1_m.1170	0.0043	-0.0000
comp4523_c0_seq1_m.1216	-0.0000	0.0041
comp45735_c0_seq1_m.11450	0.0038	0.0036
comp45957_c0_seq1_m.11456	0.0024	-0.0000
comp4621_c0_seq1_m.1318	-0.0000	0.0119
comp4629_c0_seq1_m.1324	-0.0000	0.0072
comp4638_c0_seq1_m.1333	-0.0000	0.0027
comp4770_c0_seq1_m.1438	-0.0000	0.0155
comp480_c0_seq1_m.137	-0.0000	0.0041
comp4917_c0_seq1_m.1545	0.0042	0.0079
comp499_c0_seq1_m.141	-0.0000	0.0096
comp5048_c0_seq1_m.1649	-0.0000	0.0069
comp5060_c0_seq1_m.1657	-0.0000	0.0013
comp5136_c0_seq1_m.1711	0.0218	0.0100
comp5261_c0_seq1_m.1764	0.0016	0.0153
comp53490_c0_seq1_m.11650	0.0013	0.0337
comp53760_c0_seq1_m.11659	-0.0000	0.0043
comp5528_c0_seq1_m.1887	0.0026	-0.0000
comp5545_c0_seq1_m.1898	0.0047	0.0116
comp5707_c0_seq1_m.1959	0.0027	-0.0000
comp5729_c0_seq1_m.1971	-0.0000	0.0097
comp5914_c0_seq1_m.2043	-0.0000	0.0029
comp5943_c0_seq1_m.17866	-0.0000	0.0087
comp59556_c0_seq1_m.11778	0.0011	0.0140
comp6036_c0_seq1_m.2080	0.0019	0.0069
comp6265_c0_seq1_m.2210	0.0020	-0.0000
comp63697_c0_seq1_m.11884	-0.0000	0.0031
comp6386_c0_seq1_m.2297	0.0013	0.0039
comp6471_c0_seq1_m.2333	-0.0000	0.0024
comp6500_c0_seq2_m.16557	-0.0000	0.0031
comp6544_c0_seq1_m.2373	0.0016	0.0043
comp6625_c0_seq1_m.20720	0.0028	-0.0000
comp66_c0_seq1_m.9	0.0042	0.0212
comp6748_c0_seq1_m.2515	-0.0000	0.0051
comp6756_c0_seq1_m.2522	0.0016	0.0040
comp6921_c0_seq1_m.2638	0.0024	0.0134
comp6958_c1_seq1_m.28384	-0.0000	0.0404
comp7062_c0_seq1_m.2709	-0.0000	0.0024
comp7136_c0_seq1_m.2756	-0.0000	0.0056
comp7163_c0_seq1_m.18448	0.0046	-0.0000
comp7278_c0_seq1_m.2835	0.0009	-0.0000
comp73040_c0_seq1_m.12099	0.0113	0.0555
comp73967_c0_seq1_m.12142	0.0026	0.0164
comp7519_c0_seq1_m.2984	0.0010	0.0027
comp76354_c0_seq1_m.12189	-0.0000	0.0161
comp7637_c0_seq1_m.3052	0.0008	-0.0000
comp7673_c0_seq1_m.3070	0.0008	0.0020
comp7717_c0_seq1_m.3099	-0.0000	0.0044
comp7858_c0_seq1_m.3180	-0.0000	0.0319
comp7884_c0_seq2_m.19474	0.0033	0.0169
comp7934_c0_seq1_m.3227	-0.0000	0.0326
comp7938_c0_seq1_m.3231	0.0057	-0.0000
comp7940_c0_seq1_m.3233	-0.0000	0.0023
comp7949_c0_seq1_m.3238	-0.0000	0.0076
comp8040_c0_seq1_m.20100	0.0010	0.0034
comp8087_c0_seq1_m.3305	-0.0000	0.0024
comp8103_c0_seq1_m.3316	0.0072	0.0070
comp8335_c0_seq1_m.3424	-0.0000	0.0500
comp8451_c0_seq1_m.29379	-0.0000	0.0092
comp8454_c0_seq1_m.3504	-0.0000	0.0062
comp8694_c0_seq1_m.3633	0.0019	0.0050
comp8725_c0_seq1_m.3654	0.0014	0.0166
comp8742_c0_seq2_m.26342	0.0012	0.0094
comp8767_c0_seq1_m.3682	0.0059	0.0150
comp8768_c0_seq1_m.3683	0.0033	-0.0000
comp8842_c0_seq1_m.3741	0.0014	-0.0000
comp8872_c0_seq1_m.3768	0.0014	0.0040
comp8886_c0_seq1_m.3776	0.0082	0.0192
comp8949_c0_seq1_m.31288	0.0027	-0.0000
comp8949_c2_seq1_m.31290	0.0021	-0.0000
comp9002_c0_seq1_m.3853	-0.0000	0.0041
comp9041_c0_seq1_m.34951	0.0013	0.0045
comp9089_c0_seq1_m.3911	0.0021	-0.0000
comp9092_c0_seq1_m.3913	-0.0000	0.0042
comp9156_c0_seq1_m.3944	0.0007	0.0086
comp9162_c0_seq1_m.3949	-0.0000	0.0110
comp9171_c0_seq1_m.3953	0.0011	0.0049
comp9176_c0_seq1_m.29827	0.0008	0.0199
comp9185_c0_seq1_m.26430	-0.0000	0.0040
comp9188_c0_seq1_m.3966	0.0014	0.0162
comp9208_c0_seq1_m.3980	0.0027	-0.0000
comp9220_c0_seq1_m.3988	0.0020	-0.0000
comp9234_c0_seq1_m.3993	0.0018	0.0064
comp9376_c0_seq1_m.4097	0.0026	0.0096
comp9381_c0_seq1_m.4099	0.0030	0.0420
comp9391_c0_seq1_m.4103	0.0040	0.0046
comp9413_c0_seq1_m.17958	-0.0000	0.0111
comp9413_c1_seq1_m.17959	-0.0000	0.0040
comp9449_c0_seq1_m.4145	0.0018	0.0152
comp9456_c0_seq1_m.4151	0.0013	-0.0000
comp9501_c1_seq1_m.36203	-0.0000	0.0088
comp9662_c0_seq1_m.21095	-0.0000	0.0136
comp9662_c0_seq1_m.21097	-0.0000	0.0207
comp9702_c0_seq1_m.4302	-0.0000	0.0095
comp9707_c0_seq1_m.4306	0.0037	0.0520
comp9765_c0_seq1_m.4338	0.0014	-0.0000
comp9765_c0_seq1_m.4340	0.0092	-0.0000
