an_hu	an_hu_dn	an_hu_ds	an_hu_dnds
Mannua_Huetti.1061.nuc	0.0119	0.0367	0.32425068119891
Mannua_Huetti.1062.nuc	0.0278	0.0473	0.587737843551797
Mannua_Huetti.1064.nuc	0.0107	0.1304	0.0820552147239264
Mannua_Huetti.1065.nuc	0.0026	0.1396	0.0186246418338109
Mannua_Huetti.1066.nuc	0.0032	0.1131	0.0282935455349248
Mannua_Huetti.1067.nuc	0.0129	0.1020	0.126470588235294
Mannua_Huetti.1069.nuc	0.0019	0.1114	0.0170556552962298
Mannua_Huetti.107.nuc	0.0450	0.1446	0.311203319502075
Mannua_Huetti.1070.nuc	0.0332	0.0647	0.513137557959815
Mannua_Huetti.1071.nuc	0.0102	0.0971	0.105046343975283
Mannua_Huetti.1072.nuc	0.0043	0.1835	0.023433242506812
Mannua_Huetti.1073.nuc	0.0048	0.0576	0.0833333333333333
Mannua_Huetti.1075.nuc	0.0026	0.0857	0.0303383897316219
Mannua_Huetti.1076.nuc	0.0069	0.0991	0.0696266397578204
Mannua_Huetti.1077.nuc	0.0027	0.0687	0.0393013100436681
Mannua_Huetti.1078.nuc	0.0024	0.0467	0.0513918629550321
Mannua_Huetti.1079.nuc	0.0166	0.1964	0.0845213849287169
Mannua_Huetti.108.nuc	0.0077	0.0367	0.209809264305177
Mannua_Huetti.1080.nuc	0.0036	0.0281	0.128113879003559
Mannua_Huetti.1081.nuc	0.0093	0.0750	0.124
Mannua_Huetti.1082.nuc	0.0152	0.2412	0.0630182421227197
Mannua_Huetti.1083.nuc	0.0205	0.1015	0.201970443349754
Mannua_Huetti.1084.nuc	0.0084	0.0867	0.0968858131487889
Mannua_Huetti.1085.nuc	0.0117	0.0695	0.168345323741007
Mannua_Huetti.1086.nuc	0.0162	0.0756	0.214285714285714
Mannua_Huetti.1087.nuc	0.0075	0.0435	0.172413793103448
Mannua_Huetti.1088.nuc	0.0417	0.0605	0.689256198347107
Mannua_Huetti.1089.nuc	0.0187	0.0849	0.220259128386337
Mannua_Huetti.109.nuc	0.0113	0.0634	0.178233438485804
Mannua_Huetti.1092.nuc	0.0239	0.1171	0.204099060631939
Mannua_Huetti.1093.nuc	0.0073	0.1256	0.0581210191082803
Mannua_Huetti.1094.nuc	0.0470	0.0993	0.473313192346425
Mannua_Huetti.1095.nuc	0.0126	0.1454	0.0866574965612105
Mannua_Huetti.1097.nuc	0.0142	0.0922	0.154013015184382
Mannua_Huetti.1099.nuc	0.0142	0.0522	0.272030651340996
Mannua_Huetti.110.nuc	0.0125	0.0781	0.160051216389245
Mannua_Huetti.1100.nuc	0.0144	0.1126	0.127886323268206
Mannua_Huetti.1102.nuc	0.0081	0.0684	0.118421052631579
Mannua_Huetti.1103.nuc	0.0353	0.1704	0.207159624413146
Mannua_Huetti.1104.nuc	0.0299	0.0636	0.470125786163522
Mannua_Huetti.1105.nuc	0.0122	0.0489	0.249488752556237
Mannua_Huetti.1106.nuc	0.0029	0.0742	0.0390835579514825
Mannua_Huetti.1107.nuc	0.0057	0.0679	0.0839469808541974
Mannua_Huetti.1108.nuc	0.0189	0.1404	0.134615384615385
Mannua_Huetti.1110.nuc	0.0059	0.0564	0.104609929078014
Mannua_Huetti.1111.nuc	0.0426	0.1219	0.349466776045939
Mannua_Huetti.1112.nuc	0.0046	0.0522	0.0881226053639847
Mannua_Huetti.1113.nuc	0.0285	0.1333	0.213803450862716
Mannua_Huetti.1114.nuc	0.0165	0.1210	0.136363636363636
Mannua_Huetti.1115.nuc	0.0018	0.0633	0.028436018957346
Mannua_Huetti.1117.nuc	-0.0000	0.0706	0
Mannua_Huetti.1118.nuc	0.0273	0.1350	0.202222222222222
Mannua_Huetti.1119.nuc	0.0140	0.0673	0.208023774145617
Mannua_Huetti.112.nuc	0.0044	0.0958	0.0459290187891441
Mannua_Huetti.1120.nuc	0.0084	0.0685	0.122627737226277
Mannua_Huetti.1121.nuc	0.0253	0.1593	0.158819836785938
Mannua_Huetti.1122.nuc	0.0731	0.2789	0.262101111509502
Mannua_Huetti.1124.nuc	0.0487	0.1718	0.283469150174622
Mannua_Huetti.1125.nuc	0.0051	0.0826	0.0617433414043584
Mannua_Huetti.1126.nuc	0.0142	0.1907	0.0744625065547981
Mannua_Huetti.1127.nuc	0.0475	0.1281	0.37080405932865
Mannua_Huetti.1128.nuc	0.0195	0.1637	0.119120342089188
Mannua_Huetti.1129.nuc	0.0103	0.0829	0.124246079613993
Mannua_Huetti.1130.nuc	0.0030	0.0368	0.0815217391304348
Mannua_Huetti.1131.nuc	0.0239	0.1701	0.140505584950029
Mannua_Huetti.1132.nuc	0.0031	0.0618	0.0501618122977346
Mannua_Huetti.1134.nuc	0.0331	0.1451	0.228118538938663
Mannua_Huetti.1135.nuc	-0.0000	0.1059	0
Mannua_Huetti.1136.nuc	0.0394	0.0848	0.464622641509434
Mannua_Huetti.1138.nuc	0.0227	0.1033	0.219748305905131
Mannua_Huetti.1139.nuc	0.0352	0.1348	0.261127596439169
Mannua_Huetti.114.nuc	0.0157	0.0780	0.201282051282051
Mannua_Huetti.1140.nuc	0.0143	0.0796	0.17964824120603
Mannua_Huetti.1141.nuc	0.0201	0.1468	0.136920980926431
Mannua_Huetti.1142.nuc	-0.0000	0.1114	0
Mannua_Huetti.1143.nuc	0.0282	0.1486	0.189771197846568
Mannua_Huetti.1144.nuc	0.0146	0.0464	0.314655172413793
Mannua_Huetti.1145.nuc	0.0019	0.1226	0.0154975530179445
Mannua_Huetti.1146.nuc	0.0277	0.1347	0.205642167780252
Mannua_Huetti.1147.nuc	0.0054	0.0555	0.0972972972972973
Mannua_Huetti.1148.nuc	0.0328	0.0996	0.329317269076305
Mannua_Huetti.1149.nuc	0.0109	0.1291	0.0844306738962045
Mannua_Huetti.115.nuc	0.0455	0.1557	0.292228644829801
Mannua_Huetti.1150.nuc	0.0026	0.1315	0.0197718631178707
Mannua_Huetti.1151.nuc	0.0067	0.0596	0.11241610738255
Mannua_Huetti.1152.nuc	0.0027	0.0505	0.0534653465346535
Mannua_Huetti.1153.nuc	0.0213	0.0987	0.21580547112462
Mannua_Huetti.1154.nuc	0.0250	0.1095	0.228310502283105
Mannua_Huetti.1155.nuc	0.0015	0.1791	0.00837520938023451
Mannua_Huetti.1156.nuc	0.0101	0.1959	0.0515569167942828
Mannua_Huetti.1157.nuc	0.0069	0.0475	0.145263157894737
Mannua_Huetti.1158.nuc	0.0058	0.0581	0.0998278829604131
Mannua_Huetti.116.nuc	0.0110	0.0797	0.13801756587202
Mannua_Huetti.1160.nuc	0.0376	0.0670	0.561194029850746
Mannua_Huetti.1162.nuc	0.0168	0.1930	0.0870466321243523
Mannua_Huetti.1163.nuc	0.0109	0.0576	0.189236111111111
Mannua_Huetti.1164.nuc	0.0188	0.1164	0.161512027491409
Mannua_Huetti.1165.nuc	0.0264	0.1622	0.162762022194821
Mannua_Huetti.1166.nuc	0.0032	0.1179	0.0271416454622561
Mannua_Huetti.1167.nuc	0.0236	0.1021	0.231145935357493
Mannua_Huetti.1168.nuc	0.0237	0.1564	0.15153452685422
Mannua_Huetti.117.nuc	0.0161	0.1099	0.146496815286624
Mannua_Huetti.1171.nuc	0.0170	0.0972	0.174897119341564
Mannua_Huetti.1172.nuc	0.0160	0.1180	0.135593220338983
Mannua_Huetti.1173.nuc	0.0242	0.1088	0.222426470588235
Mannua_Huetti.1174.nuc	0.0273	0.1190	0.229411764705882
Mannua_Huetti.1177.nuc	0.0180	0.0920	0.195652173913043
Mannua_Huetti.1178.nuc	0.0238	0.0554	0.429602888086643
Mannua_Huetti.1179.nuc	0.0370	0.0906	0.408388520971302
Mannua_Huetti.118.nuc	0.0155	0.0980	0.158163265306122
Mannua_Huetti.1180.nuc	0.0179	0.1176	0.152210884353741
Mannua_Huetti.1181.nuc	-0.0000	0.0217	0
Mannua_Huetti.1182.nuc	0.0021	0.1090	0.0192660550458716
Mannua_Huetti.1183.nuc	0.0309	0.1020	0.302941176470588
Mannua_Huetti.1185.nuc	0.0335	0.1169	0.286569717707442
Mannua_Huetti.1186.nuc	0.0256	0.1151	0.22241529105126
Mannua_Huetti.1187.nuc	0.0085	0.1432	0.0593575418994413
Mannua_Huetti.1188.nuc	0.0096	0.0999	0.0960960960960961
Mannua_Huetti.1189.nuc	0.0016	0.1211	0.0132122213047069
Mannua_Huetti.119.nuc	0.0125	0.1891	0.0661025912215759
Mannua_Huetti.1190.nuc	0.0074	0.0742	0.0997304582210243
Mannua_Huetti.1191.nuc	0.0035	0.0592	0.0591216216216216
Mannua_Huetti.1192.nuc	0.0166	0.0904	0.183628318584071
Mannua_Huetti.1195.nuc	0.0064	0.0559	0.114490161001789
Mannua_Huetti.1196.nuc	0.0188	0.1744	0.107798165137615
Mannua_Huetti.1197.nuc	0.0082	0.0304	0.269736842105263
Mannua_Huetti.1198.nuc	-0.0000	0.0706	0
Mannua_Huetti.1199.nuc	0.0184	0.1649	0.111582777440873
Mannua_Huetti.120.nuc	0.0212	0.1127	0.188110026619343
Mannua_Huetti.1200.nuc	0.0032	0.0445	0.0719101123595506
Mannua_Huetti.1201.nuc	0.0088	0.1134	0.0776014109347443
Mannua_Huetti.1202.nuc	0.0103	0.1282	0.0803432137285491
Mannua_Huetti.1203.nuc	0.0095	0.1169	0.0812660393498717
Mannua_Huetti.1204.nuc	0.0084	0.0967	0.0868665977249224
Mannua_Huetti.1205.nuc	0.0358	0.2168	0.165129151291513
Mannua_Huetti.1206.nuc	0.0146	0.0424	0.344339622641509
Mannua_Huetti.1207.nuc	0.0147	0.0863	0.170336037079954
Mannua_Huetti.1209.nuc	0.0558	0.2088	0.267241379310345
Mannua_Huetti.1210.nuc	0.0117	0.0712	0.164325842696629
Mannua_Huetti.1211.nuc	0.0207	0.1611	0.128491620111732
Mannua_Huetti.1215.nuc	0.0114	0.0671	0.169895678092399
Mannua_Huetti.1216.nuc	0.0156	0.1358	0.114874815905744
Mannua_Huetti.1217.nuc	0.0389	0.1351	0.287934863064397
Mannua_Huetti.1218.nuc	0.0104	0.1202	0.086522462562396
Mannua_Huetti.1219.nuc	0.0223	0.1277	0.174628034455756
Mannua_Huetti.1220.nuc	0.0038	0.1279	0.0297107114933542
Mannua_Huetti.1221.nuc	0.0230	0.0766	0.300261096605744
Mannua_Huetti.1222.nuc	-0.0000	0.0425	0
Mannua_Huetti.1223.nuc	0.0269	0.1154	0.233102253032929
Mannua_Huetti.1224.nuc	0.0048	0.1282	0.0374414976599064
Mannua_Huetti.1226.nuc	0.0273	0.2735	0.0998171846435101
Mannua_Huetti.1227.nuc	0.0297	0.0831	0.357400722021661
Mannua_Huetti.1228.nuc	0.0014	0.0940	0.0148936170212766
Mannua_Huetti.1229.nuc	0.0181	0.2096	0.0863549618320611
Mannua_Huetti.123.nuc	0.0075	0.1488	0.0504032258064516
Mannua_Huetti.1230.nuc	0.0073	0.0704	0.103693181818182
Mannua_Huetti.1231.nuc	0.0135	0.0753	0.179282868525896
Mannua_Huetti.1236.nuc	0.0087	0.0409	0.212713936430318
Mannua_Huetti.1238.nuc	0.0400	0.1810	0.220994475138122
Mannua_Huetti.1239.nuc	0.0069	0.0976	0.0706967213114754
Mannua_Huetti.124.nuc	0.0144	0.1002	0.143712574850299
Mannua_Huetti.1240.nuc	0.0043	0.0649	0.0662557781201849
Mannua_Huetti.1241.nuc	0.0118	0.0833	0.141656662665066
Mannua_Huetti.1243.nuc	0.0136	0.1014	0.134122287968442
Mannua_Huetti.1244.nuc	0.0429	0.1996	0.214929859719439
Mannua_Huetti.1245.nuc	0.0046	0.1777	0.0258863252673044
Mannua_Huetti.1246.nuc	0.0012	0.0493	0.0243407707910751
Mannua_Huetti.1248.nuc	0.0020	0.1155	0.0173160173160173
Mannua_Huetti.1249.nuc	0.0027	0.0284	0.0950704225352113
Mannua_Huetti.125.nuc	0.0104	0.1231	0.0844841592201462
Mannua_Huetti.1254.nuc	0.0128	0.0705	0.181560283687943
Mannua_Huetti.1255.nuc	0.0186	0.1643	0.113207547169811
Mannua_Huetti.1256.nuc	0.0017	0.1192	0.014261744966443
Mannua_Huetti.1257.nuc	0.0140	0.0416	0.336538461538462
Mannua_Huetti.1258.nuc	0.0124	0.1080	0.114814814814815
Mannua_Huetti.1259.nuc	0.0058	0.0285	0.203508771929825
Mannua_Huetti.126.nuc	0.0105	0.1351	0.077720207253886
Mannua_Huetti.1260.nuc	0.0493	0.0756	0.652116402116402
Mannua_Huetti.1261.nuc	0.0119	0.1057	0.112582781456954
Mannua_Huetti.1262.nuc	0.0028	0.0830	0.0337349397590361
Mannua_Huetti.1263.nuc	0.0166	0.0742	0.223719676549865
Mannua_Huetti.1264.nuc	0.0183	0.1366	0.133967789165447
Mannua_Huetti.1265.nuc	0.0031	0.0971	0.0319258496395469
Mannua_Huetti.1266.nuc	0.0013	0.0943	0.0137857900318134
Mannua_Huetti.1267.nuc	0.0138	0.1589	0.0868470736312146
Mannua_Huetti.1268.nuc	0.0121	0.0581	0.208261617900172
Mannua_Huetti.127.nuc	0.0041	0.0416	0.0985576923076923
Mannua_Huetti.1270.nuc	0.0177	0.1116	0.158602150537634
Mannua_Huetti.1271.nuc	0.0750	0.1364	0.549853372434018
Mannua_Huetti.1272.nuc	0.0240	0.1618	0.148331273176761
Mannua_Huetti.1273.nuc	0.0335	0.0713	0.46984572230014
Mannua_Huetti.1274.nuc	0.0160	0.1240	0.129032258064516
Mannua_Huetti.1276.nuc	0.0388	0.2240	0.173214285714286
Mannua_Huetti.1277.nuc	-0.0000	0.0588	0
Mannua_Huetti.1279.nuc	0.0008	0.0592	0.0135135135135135
Mannua_Huetti.1280.nuc	-0.0000	0.1306	0
Mannua_Huetti.1281.nuc	0.0172	0.2106	0.0816714150047483
Mannua_Huetti.1282.nuc	0.0039	0.0648	0.0601851851851852
Mannua_Huetti.1283.nuc	0.0016	0.0885	0.0180790960451977
Mannua_Huetti.1285.nuc	0.0241	0.1726	0.139629200463499
Mannua_Huetti.129.nuc	0.0029	0.1093	0.0265324794144556
Mannua_Huetti.1290.nuc	0.0076	0.0575	0.132173913043478
Mannua_Huetti.1291.nuc	0.0107	0.0701	0.152639087018545
Mannua_Huetti.1292.nuc	0.0263	0.1279	0.205629397967162
Mannua_Huetti.1293.nuc	0.0165	0.0675	0.244444444444444
Mannua_Huetti.1294.nuc	0.0049	0.0631	0.0776545166402536
Mannua_Huetti.1295.nuc	0.0244	0.1383	0.176428054953001
Mannua_Huetti.1296.nuc	0.0402	0.3102	0.129593810444874
Mannua_Huetti.1297.nuc	0.0148	0.1096	0.135036496350365
Mannua_Huetti.1298.nuc	0.0028	0.0480	0.0583333333333333
Mannua_Huetti.1299.nuc	0.0094	0.0403	0.233250620347395
Mannua_Huetti.13.nuc	-0.0000	0.0730	0
Mannua_Huetti.130.nuc	0.0078	0.0958	0.081419624217119
Mannua_Huetti.1300.nuc	0.0153	0.0403	0.379652605459057
Mannua_Huetti.1301.nuc	0.0178	0.0899	0.197997775305895
Mannua_Huetti.1302.nuc	0.0048	0.1774	0.0270574971815107
Mannua_Huetti.1303.nuc	0.0149	0.1304	0.114263803680982
Mannua_Huetti.1304.nuc	0.0285	0.1447	0.196959225984796
Mannua_Huetti.1305.nuc	0.0238	0.1430	0.166433566433566
Mannua_Huetti.1306.nuc	0.1040	0.6601	0.157551886077867
Mannua_Huetti.1307.nuc	0.0449	0.0898	0.5
Mannua_Huetti.1308.nuc	0.0089	0.0944	0.0942796610169492
Mannua_Huetti.1309.nuc	0.0034	0.0805	0.0422360248447205
Mannua_Huetti.131.nuc	0.0053	0.0498	0.106425702811245
Mannua_Huetti.1310.nuc	0.0113	0.0510	0.22156862745098
Mannua_Huetti.1311.nuc	0.0414	0.1833	0.225859247135843
Mannua_Huetti.1312.nuc	0.0194	0.0916	0.2117903930131
Mannua_Huetti.1313.nuc	0.0033	0.0634	0.0520504731861199
Mannua_Huetti.1314.nuc	0.0086	0.1556	0.0552699228791774
Mannua_Huetti.1316.nuc	0.0066	0.0736	0.0896739130434783
Mannua_Huetti.1317.nuc	0.0310	0.0772	0.401554404145078
Mannua_Huetti.1318.nuc	0.0109	0.1632	0.0667892156862745
Mannua_Huetti.132.nuc	0.0097	0.2408	0.0402823920265781
Mannua_Huetti.1320.nuc	0.0067	0.0603	0.111111111111111
Mannua_Huetti.1321.nuc	0.0064	0.0316	0.20253164556962
Mannua_Huetti.1322.nuc	0.0305	0.0997	0.305917753259779
Mannua_Huetti.1326.nuc	0.0083	0.0845	0.0982248520710059
Mannua_Huetti.1327.nuc	0.0123	0.0565	0.217699115044248
Mannua_Huetti.1329.nuc	0.0073	0.1265	0.0577075098814229
Mannua_Huetti.133.nuc	0.0289	0.1085	0.266359447004608
Mannua_Huetti.1330.nuc	0.0245	0.1096	0.223540145985401
Mannua_Huetti.1331.nuc	0.0118	0.0833	0.141656662665066
Mannua_Huetti.1332.nuc	0.0455	0.2309	0.19705500216544
Mannua_Huetti.1333.nuc	0.0118	0.0511	0.23091976516634
Mannua_Huetti.1334.nuc	0.0217	0.0696	0.311781609195402
Mannua_Huetti.1335.nuc	0.0181	0.1438	0.12586926286509
Mannua_Huetti.1338.nuc	0.0175	0.1094	0.159963436928702
Mannua_Huetti.1339.nuc	0.0129	0.0659	0.195751138088012
Mannua_Huetti.134.nuc	0.0073	0.0845	0.0863905325443787
Mannua_Huetti.1340.nuc	0.0062	0.1034	0.0599613152804642
Mannua_Huetti.1341.nuc	0.0106	0.1800	0.0588888888888889
Mannua_Huetti.1343.nuc	0.0292	0.0716	0.407821229050279
Mannua_Huetti.1344.nuc	0.0147	0.2060	0.0713592233009709
Mannua_Huetti.1348.nuc	0.0106	0.1786	0.0593505039193729
Mannua_Huetti.1349.nuc	0.0332	0.1042	0.318618042226488
Mannua_Huetti.1351.nuc	0.0289	0.1450	0.199310344827586
Mannua_Huetti.1352.nuc	0.0090	0.1329	0.0677200902934537
Mannua_Huetti.1354.nuc	0.0090	0.1058	0.0850661625708885
Mannua_Huetti.1356.nuc	0.0056	0.0747	0.0749665327978581
Mannua_Huetti.1357.nuc	0.0238	0.0892	0.266816143497758
Mannua_Huetti.1358.nuc	0.0267	0.3489	0.0765262252794497
Mannua_Huetti.136.nuc	0.0133	0.1489	0.0893216924110141
Mannua_Huetti.1360.nuc	0.0230	0.1117	0.205908683974933
Mannua_Huetti.1361.nuc	0.0176	0.0472	0.372881355932203
Mannua_Huetti.1362.nuc	0.0082	0.0582	0.140893470790378
Mannua_Huetti.1365.nuc	0.0167	0.1025	0.162926829268293
Mannua_Huetti.1366.nuc	-0.0000	0.0416	0
Mannua_Huetti.1367.nuc	0.0179	0.0720	0.248611111111111
Mannua_Huetti.1368.nuc	0.0140	0.0633	0.221169036334913
Mannua_Huetti.1369.nuc	0.0072	0.2401	0.0299875052061641
Mannua_Huetti.137.nuc	0.0431	0.1085	0.397235023041475
Mannua_Huetti.1370.nuc	0.0087	0.0598	0.145484949832776
Mannua_Huetti.1371.nuc	0.0027	0.1248	0.0216346153846154
Mannua_Huetti.1372.nuc	0.0173	0.1722	0.100464576074332
Mannua_Huetti.1373.nuc	0.0463	0.1573	0.294342021614749
Mannua_Huetti.1374.nuc	-0.0000	0.0563	0
Mannua_Huetti.1375.nuc	0.0041	0.0571	0.0718038528896673
Mannua_Huetti.1376.nuc	0.0266	0.0920	0.289130434782609
Mannua_Huetti.1378.nuc	0.0201	0.1221	0.164619164619165
Mannua_Huetti.1379.nuc	0.0143	0.1570	0.0910828025477707
Mannua_Huetti.138.nuc	0.0077	0.0794	0.0969773299748111
Mannua_Huetti.1380.nuc	-0.0000	0.1298	0
Mannua_Huetti.1381.nuc	0.0091	0.0791	0.115044247787611
Mannua_Huetti.1382.nuc	0.0153	0.1099	0.139217470427661
Mannua_Huetti.1384.nuc	0.0062	0.0868	0.0714285714285714
Mannua_Huetti.1385.nuc	0.0105	0.0473	0.221987315010571
Mannua_Huetti.1386.nuc	0.0071	0.0965	0.0735751295336788
Mannua_Huetti.1387.nuc	0.0169	0.0749	0.225634178905207
Mannua_Huetti.139.nuc	0.0217	0.1508	0.143899204244032
Mannua_Huetti.1390.nuc	0.0017	0.0845	0.0201183431952663
Mannua_Huetti.1392.nuc	0.0341	0.1081	0.315448658649399
Mannua_Huetti.1393.nuc	0.0236	0.0893	0.264277715565509
Mannua_Huetti.1394.nuc	0.0189	0.1016	0.186023622047244
Mannua_Huetti.1395.nuc	0.0338	0.0403	0.838709677419355
Mannua_Huetti.1396.nuc	0.0071	0.1046	0.0678776290630975
Mannua_Huetti.1397.nuc	0.0736	0.2638	0.278999241849886
Mannua_Huetti.1398.nuc	0.0047	0.0415	0.113253012048193
Mannua_Huetti.14.nuc	0.0076	0.0326	0.233128834355828
Mannua_Huetti.140.nuc	0.0431	0.2120	0.203301886792453
Mannua_Huetti.1400.nuc	0.0093	0.0583	0.159519725557461
Mannua_Huetti.1401.nuc	0.0081	0.0934	0.0867237687366167
Mannua_Huetti.1402.nuc	0.0032	0.0640	0.05
Mannua_Huetti.1403.nuc	0.0195	0.1764	0.110544217687075
Mannua_Huetti.1404.nuc	0.0321	0.1476	0.217479674796748
Mannua_Huetti.1405.nuc	0.0080	0.0275	0.290909090909091
Mannua_Huetti.1408.nuc	0.0031	0.0534	0.0580524344569288
Mannua_Huetti.1409.nuc	0.0352	0.0472	0.745762711864407
Mannua_Huetti.141.nuc	0.0378	0.1254	0.301435406698565
Mannua_Huetti.1410.nuc	0.0179	0.1027	0.17429406037001
Mannua_Huetti.1411.nuc	0.0222	0.1608	0.138059701492537
Mannua_Huetti.1412.nuc	0.0174	0.1784	0.0975336322869955
Mannua_Huetti.1413.nuc	0.0033	0.0812	0.04064039408867
Mannua_Huetti.1414.nuc	0.0088	0.2294	0.038360941586748
Mannua_Huetti.1416.nuc	0.0149	0.2350	0.0634042553191489
Mannua_Huetti.1417.nuc	0.0133	0.0832	0.159855769230769
Mannua_Huetti.1418.nuc	0.0148	0.0932	0.158798283261803
Mannua_Huetti.1419.nuc	0.0098	0.1089	0.0899908172635445
Mannua_Huetti.142.nuc	0.0281	0.1052	0.267110266159696
Mannua_Huetti.1421.nuc	-0.0000	0.0473	0
Mannua_Huetti.1422.nuc	0.0129	0.1276	0.101097178683386
Mannua_Huetti.1423.nuc	0.0192	0.2033	0.0944417117560256
Mannua_Huetti.1424.nuc	0.0292	0.1518	0.19235836627141
Mannua_Huetti.1425.nuc	0.0460	0.1904	0.241596638655462
Mannua_Huetti.1427.nuc	0.0294	0.1015	0.289655172413793
Mannua_Huetti.143.nuc	0.0082	0.0220	0.372727272727273
Mannua_Huetti.1434.nuc	0.0075	0.1461	0.0513347022587269
Mannua_Huetti.1436.nuc	0.0035	0.1094	0.0319926873857404
Mannua_Huetti.1437.nuc	0.0095	0.1949	0.0487429451000513
Mannua_Huetti.1438.nuc	0.0103	0.1190	0.0865546218487395
Mannua_Huetti.144.nuc	0.0151	0.0730	0.206849315068493
Mannua_Huetti.1440.nuc	0.0061	0.0632	0.0965189873417722
Mannua_Huetti.1442.nuc	0.0135	0.1097	0.12306289881495
Mannua_Huetti.1443.nuc	0.0056	0.1400	0.04
Mannua_Huetti.1444.nuc	-0.0000	0.0969	0
Mannua_Huetti.1445.nuc	0.0052	0.0579	0.0898100172711572
Mannua_Huetti.1446.nuc	0.0149	0.1535	0.0970684039087948
Mannua_Huetti.1448.nuc	0.0239	0.0725	0.329655172413793
Mannua_Huetti.1449.nuc	0.0365	0.0986	0.370182555780933
Mannua_Huetti.145.nuc	0.0377	0.1532	0.246083550913838
Mannua_Huetti.1450.nuc	0.0120	0.0406	0.295566502463054
Mannua_Huetti.1451.nuc	0.0265	0.2201	0.120399818264425
Mannua_Huetti.1452.nuc	0.0088	0.0323	0.272445820433437
