an_ric	an_ric_dn	an_ric_ds	an_ric_dnds
Mannua_Ricinus.1120.nuc	0.0670	0.3537	0.189426067288663
Mannua_Ricinus.1121.nuc	0.0932	0.4407	0.211481733605627
Mannua_Ricinus.1125.nuc	0.0886	0.3204	0.276529338327091
Mannua_Ricinus.1126.nuc	0.0396	0.6705	0.0590604026845638
Mannua_Ricinus.1129.nuc	0.0604	0.3463	0.174415246895755
Mannua_Ricinus.113.nuc	0.0629	0.5815	0.10816852966466
Mannua_Ricinus.1130.nuc	0.0307	0.2899	0.105898585719214
Mannua_Ricinus.1132.nuc	0.0606	0.4736	0.127956081081081
Mannua_Ricinus.1135.nuc	0.0133	0.8112	0.0163954635108481
Mannua_Ricinus.1137.nuc	0.0515	0.4382	0.117526243724327
Mannua_Ricinus.1140.nuc	0.1174	0.2917	0.402468289338361
Mannua_Ricinus.1142.nuc	0.0229	1.1176	0.0204903364352183
Mannua_Ricinus.1143.nuc	0.1195	0.3324	0.359506618531889
Mannua_Ricinus.1144.nuc	0.1473	0.6478	0.227384995368941
Mannua_Ricinus.1145.nuc	0.0272	0.5538	0.0491152040447815
Mannua_Ricinus.1146.nuc	0.1089	0.5098	0.213613181639859
Mannua_Ricinus.1147.nuc	0.0366	0.3627	0.100909842845327
Mannua_Ricinus.1149.nuc	0.0696	0.4485	0.155183946488294
Mannua_Ricinus.1152.nuc	0.0902	0.4156	0.217035611164581
Mannua_Ricinus.1153.nuc	0.1018	0.5116	0.198983580922596
Mannua_Ricinus.1154.nuc	0.0917	0.3242	0.282850092535472
Mannua_Ricinus.1155.nuc	0.0195	0.7448	0.0261815252416756
Mannua_Ricinus.1157.nuc	0.0854	0.4431	0.192733017377567
Mannua_Ricinus.1158.nuc	0.0614	0.4660	0.131759656652361
Mannua_Ricinus.1161.nuc	0.1029	0.4762	0.216085678286434
Mannua_Ricinus.1166.nuc	0.0656	0.5298	0.123820309550774
Mannua_Ricinus.117.nuc	0.0378	0.4953	0.0763173834039976
Mannua_Ricinus.1170.nuc	0.1804	1.7468	0.103274559193955
Mannua_Ricinus.1171.nuc	0.0925	0.4056	0.228057199211045
Mannua_Ricinus.1173.nuc	0.1057	0.5474	0.19309462915601
Mannua_Ricinus.1175.nuc	0.0634	0.5964	0.106304493628437
Mannua_Ricinus.1179.nuc	0.1956	0.3912	0.5
Mannua_Ricinus.1181.nuc	0.0297	0.6841	0.0434147054524192
Mannua_Ricinus.1182.nuc	0.0844	0.5797	0.145592547869588
Mannua_Ricinus.1186.nuc	0.0941	0.5597	0.168125781668751
Mannua_Ricinus.1187.nuc	0.0815	0.4627	0.176140047547007
Mannua_Ricinus.1188.nuc	0.0772	0.4762	0.162116757664847
Mannua_Ricinus.1191.nuc	0.0276	0.5991	0.0460691036554832
Mannua_Ricinus.1192.nuc	0.1385	0.4849	0.285625902247886
Mannua_Ricinus.12.nuc	0.0931	0.4697	0.198211624441133
Mannua_Ricinus.120.nuc	0.0919	0.7674	0.119755016940318
Mannua_Ricinus.1200.nuc	0.0811	0.4007	0.20239580733716
Mannua_Ricinus.1201.nuc	0.0615	0.4995	0.123123123123123
Mannua_Ricinus.1206.nuc	0.0906	0.2894	0.313061506565308
Mannua_Ricinus.1207.nuc	0.0922	0.3702	0.249054565099946
Mannua_Ricinus.1208.nuc	0.0707	0.5143	0.137468403655454
Mannua_Ricinus.121.nuc	0.1002	0.5273	0.190024653897212
Mannua_Ricinus.1210.nuc	0.0699	0.4945	0.141354903943377
Mannua_Ricinus.1211.nuc	0.0845	0.5050	0.167326732673267
Mannua_Ricinus.1212.nuc	0.0611	0.7626	0.0801206399160766
Mannua_Ricinus.1215.nuc	0.0953	0.6823	0.139674629928184
Mannua_Ricinus.1217.nuc	0.0919	0.5043	0.182232797937735
Mannua_Ricinus.1219.nuc	0.1107	0.6358	0.174111355772255
Mannua_Ricinus.1221.nuc	0.0821	0.5806	0.141405442645539
Mannua_Ricinus.1222.nuc	-0.0000	0.3192	0
Mannua_Ricinus.1223.nuc	0.1300	0.5258	0.247242297451502
Mannua_Ricinus.1228.nuc	0.0510	0.4979	0.102430206868849
Mannua_Ricinus.1229.nuc	0.0583	0.5236	0.111344537815126
Mannua_Ricinus.123.nuc	0.1070	0.8476	0.126238791882964
Mannua_Ricinus.1231.nuc	0.2092	0.4777	0.437931756332426
Mannua_Ricinus.1233.nuc	0.0817	0.6981	0.117031943847586
Mannua_Ricinus.1237.nuc	0.0355	0.4255	0.0834312573443008
Mannua_Ricinus.1239.nuc	0.0349	0.5805	0.060120585701981
Mannua_Ricinus.1240.nuc	0.0765	0.5430	0.140883977900552
Mannua_Ricinus.1243.nuc	0.1099	0.4264	0.257739212007505
Mannua_Ricinus.1244.nuc	0.1296	0.5766	0.224765868886576
Mannua_Ricinus.1245.nuc	0.0626	0.6194	0.101065547303842
Mannua_Ricinus.1246.nuc	0.0128	0.9269	0.0138094724349984
Mannua_Ricinus.125.nuc	0.2482	1.3457	0.18443932525823
Mannua_Ricinus.1250.nuc	0.0022	0.3368	0.00653206650831354
Mannua_Ricinus.1253.nuc	0.0945	0.4793	0.19716252868767
Mannua_Ricinus.1254.nuc	0.0786	0.3933	0.199847444698703
Mannua_Ricinus.1256.nuc	0.0391	0.3772	0.103658536585366
Mannua_Ricinus.1257.nuc	0.1371	0.3622	0.378520154610712
Mannua_Ricinus.1259.nuc	0.1005	0.4211	0.238660650676799
Mannua_Ricinus.1260.nuc	0.1019	0.4166	0.244599135861738
Mannua_Ricinus.1262.nuc	0.0406	0.3437	0.118126272912424
Mannua_Ricinus.1266.nuc	0.0335	0.2965	0.112984822934233
Mannua_Ricinus.1267.nuc	0.0459	0.4738	0.0968763191219924
Mannua_Ricinus.1268.nuc	0.0891	0.3843	0.231850117096019
Mannua_Ricinus.127.nuc	0.0551	0.3247	0.169695103172159
Mannua_Ricinus.1273.nuc	0.1262	0.4687	0.269255387241306
Mannua_Ricinus.1274.nuc	0.0586	0.5690	0.10298769771529
Mannua_Ricinus.1275.nuc	0.0828	0.4144	0.19980694980695
Mannua_Ricinus.1277.nuc	0.0394	0.8424	0.0467711301044634
Mannua_Ricinus.1278.nuc	0.0674	0.7163	0.0940946530783191
Mannua_Ricinus.1279.nuc	0.0356	0.5617	0.0633790279508634
Mannua_Ricinus.128.nuc	0.1049	0.8733	0.120119088514829
Mannua_Ricinus.1283.nuc	0.0562	0.3662	0.153468050245767
Mannua_Ricinus.1284.nuc	0.0753	0.4563	0.165023011176857
Mannua_Ricinus.1286.nuc	0.0568	0.2984	0.190348525469169
Mannua_Ricinus.1289.nuc	0.0874	0.4359	0.200504702913512
Mannua_Ricinus.129.nuc	0.0191	0.4546	0.0420149582050154
Mannua_Ricinus.1290.nuc	0.0515	0.5186	0.0993058233706132
Mannua_Ricinus.1291.nuc	0.0524	0.4702	0.11144193960017
Mannua_Ricinus.1294.nuc	0.0678	0.4610	0.1470715835141
Mannua_Ricinus.1299.nuc	0.0720	0.3883	0.185423641514293
Mannua_Ricinus.13.nuc	0.0152	0.7784	0.0195272353545735
Mannua_Ricinus.1300.nuc	0.1070	0.4251	0.251705481063279
Mannua_Ricinus.1301.nuc	0.0515	0.3440	0.149709302325581
Mannua_Ricinus.1303.nuc	0.2098	0.9458	0.221822795517023
Mannua_Ricinus.1304.nuc	0.1103	0.4326	0.254969949144706
Mannua_Ricinus.1307.nuc	0.0878	0.3252	0.269987699876999
Mannua_Ricinus.131.nuc	0.0885	0.4564	0.193908851884312
Mannua_Ricinus.1311.nuc	0.1310	0.4014	0.326357747882412
Mannua_Ricinus.1314.nuc	0.0309	0.7934	0.0389463070330224
Mannua_Ricinus.1318.nuc	0.0536	0.4593	0.116699325059874
Mannua_Ricinus.132.nuc	0.1280	0.5542	0.230963551064598
Mannua_Ricinus.1321.nuc	0.0716	0.3931	0.182141948613584
Mannua_Ricinus.1326.nuc	0.0478	0.3658	0.130672498633133
Mannua_Ricinus.1329.nuc	0.0580	0.4253	0.136374324006584
Mannua_Ricinus.1332.nuc	0.2001	0.6652	0.300811785929044
Mannua_Ricinus.1334.nuc	0.1223	0.3645	0.335528120713306
Mannua_Ricinus.1338.nuc	0.0910	0.5932	0.153405259608901
Mannua_Ricinus.134.nuc	0.1151	0.4465	0.257782754759239
Mannua_Ricinus.1341.nuc	0.0544	0.8863	0.0613787656549701
Mannua_Ricinus.1344.nuc	0.1303	0.5942	0.219286435543588
Mannua_Ricinus.1345.nuc	0.1838	0.7095	0.259055673009161
Mannua_Ricinus.1349.nuc	0.0779	0.3335	0.233583208395802
Mannua_Ricinus.1350.nuc	0.1103	0.5680	0.19419014084507
Mannua_Ricinus.1352.nuc	0.1115	0.4642	0.240198190435157
Mannua_Ricinus.1356.nuc	0.0843	0.6362	0.132505501414649
Mannua_Ricinus.1359.nuc	0.0588	0.5577	0.105433028509952
Mannua_Ricinus.1362.nuc	0.0854	0.3710	0.230188679245283
Mannua_Ricinus.1363.nuc	0.0222	0.3453	0.0642919200695048
Mannua_Ricinus.1366.nuc	0.1290	0.5557	0.23213964369264
Mannua_Ricinus.1367.nuc	0.1074	0.4852	0.221352019785655
Mannua_Ricinus.1368.nuc	0.0569	0.4361	0.130474661774822
Mannua_Ricinus.1369.nuc	0.0697	0.5418	0.128645256552233
Mannua_Ricinus.137.nuc	0.1226	0.5681	0.215807076218976
Mannua_Ricinus.1370.nuc	0.0857	0.5469	0.156701407935637
Mannua_Ricinus.1371.nuc	0.0287	0.5882	0.0487929275756545
Mannua_Ricinus.1372.nuc	0.1096	0.4433	0.247236634333409
Mannua_Ricinus.1374.nuc	0.0132	0.6407	0.0206024660527548
Mannua_Ricinus.1376.nuc	0.1032	0.5154	0.20023282887078
Mannua_Ricinus.1378.nuc	0.0858	0.4597	0.186643463128127
Mannua_Ricinus.1379.nuc	0.0477	0.6394	0.0746011886143259
Mannua_Ricinus.138.nuc	0.0689	0.5114	0.134728197105984
Mannua_Ricinus.1380.nuc	0.0646	0.9761	0.0661817436738039
Mannua_Ricinus.1382.nuc	0.1071	0.6141	0.174401563263312
Mannua_Ricinus.1386.nuc	0.0544	0.7024	0.0774487471526196
Mannua_Ricinus.1389.nuc	0.0313	0.8256	0.0379118217054264
Mannua_Ricinus.139.nuc	0.0860	0.5084	0.169158143194335
Mannua_Ricinus.1392.nuc	0.1054	0.5666	0.186021884927639
Mannua_Ricinus.1393.nuc	0.2366	0.3511	0.673882084876104
Mannua_Ricinus.1394.nuc	0.0767	0.5596	0.137062187276626
Mannua_Ricinus.1396.nuc	0.0357	0.6265	0.0569832402234637
Mannua_Ricinus.140.nuc	0.1373	0.5900	0.23271186440678
Mannua_Ricinus.1401.nuc	0.0378	0.3855	0.0980544747081712
Mannua_Ricinus.1403.nuc	0.0972	0.5244	0.185354691075515
Mannua_Ricinus.1404.nuc	0.0801	0.4956	0.161622276029056
Mannua_Ricinus.1408.nuc	0.0727	0.4110	0.176885644768856
Mannua_Ricinus.1409.nuc	0.1449	0.5837	0.248243960938838
Mannua_Ricinus.1410.nuc	0.0921	0.5147	0.178939187876433
Mannua_Ricinus.1417.nuc	0.0725	0.4523	0.160291841697988
Mannua_Ricinus.1425.nuc	0.2120	0.6710	0.315946348733234
Mannua_Ricinus.1426.nuc	0.0359	0.6579	0.0545675634594923
Mannua_Ricinus.1427.nuc	0.1505	0.6330	0.237756714060032
Mannua_Ricinus.143.nuc	0.0682	0.4864	0.140213815789474
Mannua_Ricinus.1437.nuc	0.0538	0.6681	0.0805268672354438
Mannua_Ricinus.1438.nuc	0.0901	0.5376	0.167596726190476
Mannua_Ricinus.1439.nuc	0.1339	0.4363	0.306898922759569
Mannua_Ricinus.1440.nuc	0.0384	0.7392	0.0519480519480519
Mannua_Ricinus.1446.nuc	0.1089	0.4128	0.263808139534884
Mannua_Ricinus.1449.nuc	0.1426	0.5186	0.274971075973776
Mannua_Ricinus.1451.nuc	0.1445	1.2432	0.116232303732304
Mannua_Ricinus.1452.nuc	0.1175	0.3334	0.352429514097181
Mannua_Ricinus.1453.nuc	0.0856	1.0450	0.0819138755980861
Mannua_Ricinus.1456.nuc	0.0506	0.5444	0.0929463629684056
Mannua_Ricinus.1458.nuc	0.0555	0.5227	0.106179452841018
Mannua_Ricinus.1461.nuc	0.0560	0.4255	0.131609870740306
Mannua_Ricinus.1463.nuc	0.0776	0.6810	0.113950073421439
Mannua_Ricinus.1465.nuc	0.0995	0.5930	0.16779089376054
Mannua_Ricinus.1469.nuc	0.0365	0.4952	0.0737075928917609
Mannua_Ricinus.1470.nuc	0.0234	0.4176	0.0560344827586207
Mannua_Ricinus.1472.nuc	0.0815	0.4460	0.182735426008969
Mannua_Ricinus.1473.nuc	0.0354	0.3397	0.104209596702973
Mannua_Ricinus.1475.nuc	0.0406	0.4981	0.0815097370006023
Mannua_Ricinus.1479.nuc	0.1078	0.4276	0.252104770813845
Mannua_Ricinus.148.nuc	0.0431	0.6272	0.068718112244898
Mannua_Ricinus.1480.nuc	0.0880	0.5804	0.151619572708477
Mannua_Ricinus.1481.nuc	0.0507	0.5179	0.0978953465920062
Mannua_Ricinus.1487.nuc	0.0446	0.4162	0.107160019221528
Mannua_Ricinus.1489.nuc	0.1023	0.4016	0.254731075697211
Mannua_Ricinus.1494.nuc	0.1795	1.1619	0.154488338066959
Mannua_Ricinus.1495.nuc	0.1104	1.1172	0.0988184747583244
Mannua_Ricinus.1497.nuc	0.0285	0.3721	0.0765923138941145
Mannua_Ricinus.1498.nuc	0.0509	0.4300	0.118372093023256
Mannua_Ricinus.1499.nuc	0.0832	0.5554	0.149801944544472
Mannua_Ricinus.1500.nuc	0.1271	0.6464	0.196627475247525
Mannua_Ricinus.1503.nuc	0.0797	0.7018	0.113565118267313
Mannua_Ricinus.1508.nuc	0.0490	0.5317	0.0921572315215347
Mannua_Ricinus.1509.nuc	0.0726	0.3644	0.199231613611416
Mannua_Ricinus.1511.nuc	0.1390	0.6475	0.214671814671815
Mannua_Ricinus.1512.nuc	0.0964	0.3890	0.247814910025707
Mannua_Ricinus.1513.nuc	0.0645	0.6365	0.101335428122545
Mannua_Ricinus.1514.nuc	0.0892	0.3983	0.2239517951293
Mannua_Ricinus.1515.nuc	0.0907	0.7835	0.11576260370134
Mannua_Ricinus.1516.nuc	0.0897	0.7254	0.123655913978495
Mannua_Ricinus.1517.nuc	0.0657	0.6845	0.0959824689554419
Mannua_Ricinus.1518.nuc	0.0468	0.3278	0.142769981696156
Mannua_Ricinus.1519.nuc	0.1562	0.5515	0.283227561196736
Mannua_Ricinus.1520.nuc	0.0721	0.4376	0.164762340036563
Mannua_Ricinus.1521.nuc	0.0598	0.9696	0.0616749174917492
Mannua_Ricinus.1522.nuc	0.0190	0.4449	0.0427062261182288
Mannua_Ricinus.1523.nuc	0.0731	0.4241	0.172365008252771
Mannua_Ricinus.1524.nuc	0.1652	1.0205	0.16188143067124
Mannua_Ricinus.1525.nuc	0.0698	0.5460	0.127838827838828
Mannua_Ricinus.1526.nuc	0.0819	0.5458	0.150054965188714
Mannua_Ricinus.1529.nuc	0.1033	0.6451	0.160130212370175
Mannua_Ricinus.153.nuc	0.0825	2.2996	0.035875804487737
Mannua_Ricinus.1531.nuc	0.0895	0.4626	0.19347168179853
Mannua_Ricinus.1536.nuc	0.1214	1.0848	0.111910029498525
Mannua_Ricinus.1539.nuc	0.0456	0.5570	0.081867145421903
Mannua_Ricinus.1540.nuc	0.0326	0.5332	0.0611402850712678
Mannua_Ricinus.1541.nuc	0.1055	0.5806	0.181708577333793
Mannua_Ricinus.1542.nuc	0.0742	0.8294	0.089462261876055
Mannua_Ricinus.1543.nuc	0.0046	0.3946	0.0116573745565129
Mannua_Ricinus.1545.nuc	0.0664	0.4416	0.15036231884058
Mannua_Ricinus.1546.nuc	0.0817	0.5158	0.158394726638232
Mannua_Ricinus.1547.nuc	0.1937	0.6055	0.319900908340215
Mannua_Ricinus.1549.nuc	0.1392	0.9436	0.147520135650699
Mannua_Ricinus.1551.nuc	0.0744	0.2821	0.263736263736264
Mannua_Ricinus.1555.nuc	0.1586	0.3908	0.405834186284545
Mannua_Ricinus.1557.nuc	0.0779	0.5670	0.137389770723104
Mannua_Ricinus.1560.nuc	0.1212	0.5194	0.233346168656142
Mannua_Ricinus.1562.nuc	0.0986	0.4936	0.199756888168558
Mannua_Ricinus.1563.nuc	0.0252	0.4106	0.0613735996103263
Mannua_Ricinus.1564.nuc	0.0310	0.4663	0.0664808063478447
Mannua_Ricinus.1568.nuc	0.1300	0.5711	0.227630887760462
Mannua_Ricinus.1571.nuc	0.0108	0.3501	0.0308483290488432
Mannua_Ricinus.1573.nuc	0.1317	0.4470	0.294630872483222
Mannua_Ricinus.1576.nuc	0.0948	0.4340	0.218433179723502
Mannua_Ricinus.1577.nuc	0.1365	0.5380	0.253717472118959
Mannua_Ricinus.1578.nuc	0.1415	1.1873	0.119177966815464
Mannua_Ricinus.158.nuc	0.0381	0.6254	0.0609210105532459
Mannua_Ricinus.1583.nuc	0.2269	0.4130	0.549394673123487
Mannua_Ricinus.1586.nuc	0.0184	0.4011	0.0458738469209673
Mannua_Ricinus.1591.nuc	0.0607	0.9641	0.0629602738305155
Mannua_Ricinus.1592.nuc	0.0710	0.5014	0.14160351017152
Mannua_Ricinus.1594.nuc	0.0368	0.4909	0.0749643511916887
Mannua_Ricinus.1596.nuc	0.1025	0.4941	0.207447885043513
Mannua_Ricinus.1597.nuc	0.1156	0.4482	0.257920571173583
Mannua_Ricinus.16.nuc	0.1528	0.5671	0.269441015693881
Mannua_Ricinus.160.nuc	0.1025	0.4558	0.224879333040807
Mannua_Ricinus.1602.nuc	0.1171	0.5089	0.230104146197681
Mannua_Ricinus.1603.nuc	0.1212	0.6161	0.19672131147541
Mannua_Ricinus.1605.nuc	0.2633	1.3525	0.194676524953789
Mannua_Ricinus.1606.nuc	0.0834	0.4433	0.188134446198962
Mannua_Ricinus.1607.nuc	0.0569	0.6422	0.0886016817190906
Mannua_Ricinus.1608.nuc	0.1382	0.8169	0.169176153751989
Mannua_Ricinus.1609.nuc	0.0986	0.6139	0.160612477602215
Mannua_Ricinus.1610.nuc	0.0506	0.3568	0.141816143497758
Mannua_Ricinus.1611.nuc	0.0587	0.7544	0.0778101802757158
Mannua_Ricinus.1612.nuc	0.0710	0.3747	0.18948492127035
Mannua_Ricinus.1613.nuc	0.1593	0.5243	0.303833683005913
Mannua_Ricinus.1618.nuc	0.0856	1.2276	0.0697295536005213
Mannua_Ricinus.1619.nuc	0.1164	0.6752	0.17239336492891
Mannua_Ricinus.1626.nuc	0.0392	0.5283	0.0742002650009464
Mannua_Ricinus.1627.nuc	0.1079	0.6198	0.174088415617941
Mannua_Ricinus.163.nuc	0.0181	0.4658	0.0388578789179906
Mannua_Ricinus.1632.nuc	0.0551	0.4399	0.125255739940896
Mannua_Ricinus.1633.nuc	0.0192	0.4181	0.0459220282229132
Mannua_Ricinus.1636.nuc	0.0742	0.4870	0.152361396303901
Mannua_Ricinus.1638.nuc	0.0732	0.9156	0.0799475753604194
Mannua_Ricinus.1639.nuc	0.1486	0.6519	0.22794907194355
Mannua_Ricinus.164.nuc	0.0378	0.5186	0.0728885460856151
Mannua_Ricinus.1640.nuc	0.0880	0.4427	0.198780212333409
Mannua_Ricinus.1642.nuc	0.0673	0.3250	0.207076923076923
Mannua_Ricinus.1643.nuc	0.0581	0.4409	0.131775912905421
Mannua_Ricinus.1646.nuc	0.0421	0.4450	0.0946067415730337
Mannua_Ricinus.1652.nuc	0.0763	0.3923	0.194494009686464
Mannua_Ricinus.1655.nuc	0.0328	0.5292	0.0619803476946334
Mannua_Ricinus.1656.nuc	0.0153	0.2437	0.062782109150595
Mannua_Ricinus.1657.nuc	0.1215	0.4319	0.281315119240565
Mannua_Ricinus.1662.nuc	0.2254	0.5097	0.442220914263292
Mannua_Ricinus.1663.nuc	0.0618	0.6692	0.0923490735206216
Mannua_Ricinus.1664.nuc	0.0632	0.5297	0.119312818576553
Mannua_Ricinus.1665.nuc	0.1447	0.5157	0.280589490013574
Mannua_Ricinus.1666.nuc	0.0607	0.4040	0.150247524752475
Mannua_Ricinus.1669.nuc	0.0567	0.5430	0.104419889502762
Mannua_Ricinus.1670.nuc	0.0542	0.9280	0.0584051724137931
Mannua_Ricinus.1674.nuc	0.0714	0.4572	0.156167979002625
Mannua_Ricinus.1675.nuc	0.0374	0.3106	0.120412105602061
Mannua_Ricinus.1678.nuc	0.1217	0.6953	0.175032360132317
Mannua_Ricinus.1681.nuc	0.0957	0.4489	0.213187792381377
Mannua_Ricinus.1684.nuc	0.0717	0.7025	0.102064056939502
Mannua_Ricinus.1685.nuc	0.0943	1.0593	0.0890210516378741
Mannua_Ricinus.1687.nuc	0.0786	0.4231	0.185771685180808
Mannua_Ricinus.1689.nuc	0.1228	0.5443	0.225610876354951
Mannua_Ricinus.1691.nuc	0.0269	0.3720	0.0723118279569892
Mannua_Ricinus.1693.nuc	0.0401	0.5379	0.0745491727086819
Mannua_Ricinus.1694.nuc	0.0416	0.4659	0.0892895471131144
Mannua_Ricinus.1695.nuc	0.0876	0.7780	0.112596401028278
Mannua_Ricinus.1697.nuc	0.0917	0.3993	0.229651890808916
Mannua_Ricinus.17.nuc	0.0825	0.5119	0.161164289900371
Mannua_Ricinus.170.nuc	0.0969	0.6794	0.142625846335001
Mannua_Ricinus.1700.nuc	0.0925	0.4704	0.196641156462585
Mannua_Ricinus.1702.nuc	0.0322	0.5631	0.057183448765761
Mannua_Ricinus.1703.nuc	0.0542	0.3608	0.150221729490022
Mannua_Ricinus.1704.nuc	0.1086	0.5803	0.187144580389454
Mannua_Ricinus.1705.nuc	0.1026	0.5747	0.178527927614408
Mannua_Ricinus.1707.nuc	0.0781	0.7319	0.106708566744091
Mannua_Ricinus.171.nuc	0.1436	0.7271	0.19749690551506
Mannua_Ricinus.1710.nuc	0.1034	0.7448	0.138829215896885
Mannua_Ricinus.1711.nuc	0.0796	0.5478	0.14530850675429
Mannua_Ricinus.1714.nuc	0.0938	0.5329	0.176018014636892
Mannua_Ricinus.1716.nuc	0.0809	0.5590	0.144722719141324
Mannua_Ricinus.1718.nuc	0.0525	0.4297	0.12217826390505
Mannua_Ricinus.1720.nuc	0.0342	1.2600	0.0271428571428571
Mannua_Ricinus.1724.nuc	0.1486	0.5311	0.279796648465449
Mannua_Ricinus.1727.nuc	0.0342	0.3310	0.103323262839879
Mannua_Ricinus.1728.nuc	0.0684	0.4563	0.149901380670611
Mannua_Ricinus.1730.nuc	0.0929	0.3885	0.239124839124839
Mannua_Ricinus.1731.nuc	0.1095	0.4642	0.235889702714347
Mannua_Ricinus.1733.nuc	0.0280	0.6446	0.0434377908780639
Mannua_Ricinus.1734.nuc	0.1522	0.6573	0.231553324205081
Mannua_Ricinus.1735.nuc	0.0345	0.6842	0.0504238526746565
Mannua_Ricinus.1737.nuc	0.1819	0.4366	0.416628492899679
Mannua_Ricinus.1739.nuc	0.0783	0.6503	0.120405966477011
Mannua_Ricinus.1740.nuc	0.0123	0.5706	0.0215562565720294
Mannua_Ricinus.1743.nuc	0.0493	0.3085	0.159805510534846
Mannua_Ricinus.1744.nuc	0.1016	0.7564	0.134320465362242
Mannua_Ricinus.1746.nuc	0.1536	0.6202	0.247662044501774
Mannua_Ricinus.1747.nuc	0.0301	1.4420	0.020873786407767
Mannua_Ricinus.175.nuc	0.1422	0.7689	0.184939523995318
