an_hu	gene
Mannua_Huetti.1058.nuc comp11860_c0_seq1_m.5755
Mannua_Huetti.1059.nuc comp11861_c0_seq1_m.5757
Mannua_Huetti.106.nuc comp10220_c0_seq1_m.4634
Mannua_Huetti.1060.nuc comp11863_c0_seq1_m.29466
Mannua_Huetti.1061.nuc comp11863_c1_seq1_m.29467
Mannua_Huetti.1062.nuc comp11864_c0_seq1_m.5759
Mannua_Huetti.1063.nuc comp11866_c0_seq1_m.37591
Mannua_Huetti.1064.nuc comp11867_c0_seq1_m.5762
Mannua_Huetti.1065.nuc comp11868_c0_seq1_m.34144
Mannua_Huetti.1066.nuc comp11869_c0_seq1_m.26296
Mannua_Huetti.1067.nuc comp11870_c0_seq1_m.5763
Mannua_Huetti.1068.nuc comp11872_c0_seq1_m.5766
Mannua_Huetti.1069.nuc comp11874_c0_seq1_m.5767
Mannua_Huetti.107.nuc comp102217_c0_seq1_m.12883
Mannua_Huetti.1070.nuc comp11875_c0_seq6_m.34299
Mannua_Huetti.1071.nuc comp11876_c0_seq1_m.32222
Mannua_Huetti.1072.nuc comp11877_c0_seq1_m.26345
Mannua_Huetti.1073.nuc comp11878_c0_seq2_m.38504
Mannua_Huetti.1074.nuc comp11881_c0_seq1_m.5769
Mannua_Huetti.1075.nuc comp11882_c0_seq1_m.5770
Mannua_Huetti.1076.nuc comp11884_c0_seq1_m.16399
Mannua_Huetti.1077.nuc comp11885_c0_seq1_m.5773
Mannua_Huetti.1078.nuc comp11886_c1_seq1_m.22233
Mannua_Huetti.1079.nuc comp11887_c0_seq1_m.26570
Mannua_Huetti.108.nuc comp10221_c0_seq1_m.32765
Mannua_Huetti.1080.nuc comp11889_c0_seq1_m.5776
Mannua_Huetti.1081.nuc comp11892_c0_seq1_m.29262
Mannua_Huetti.1082.nuc comp11893_c0_seq1_m.5780
Mannua_Huetti.1083.nuc comp11894_c0_seq1_m.5781
Mannua_Huetti.1084.nuc comp11895_c0_seq1_m.5782
Mannua_Huetti.1085.nuc comp11898_c0_seq1_m.5783
Mannua_Huetti.1086.nuc comp11899_c0_seq1_m.5784
Mannua_Huetti.1087.nuc comp11901_c0_seq1_m.5785
Mannua_Huetti.1088.nuc comp11902_c0_seq1_m.5787
Mannua_Huetti.1089.nuc comp11903_c0_seq1_m.5788
Mannua_Huetti.109.nuc comp10223_c0_seq2_m.29540
Mannua_Huetti.1090.nuc comp11904_c0_seq1_m.34936
Mannua_Huetti.1091.nuc comp11905_c0_seq1_m.5789
Mannua_Huetti.1092.nuc comp11906_c0_seq1_m.5790
Mannua_Huetti.1093.nuc comp11907_c0_seq1_m.5791
Mannua_Huetti.1094.nuc comp11909_c0_seq1_m.25938
Mannua_Huetti.1095.nuc comp11909_c0_seq2_m.25940
Mannua_Huetti.1096.nuc comp11914_c1_seq1_m.35472
Mannua_Huetti.1097.nuc comp11915_c0_seq1_m.35519
Mannua_Huetti.1098.nuc comp11920_c0_seq1_m.5799
Mannua_Huetti.1099.nuc comp11921_c0_seq1_m.36912
Mannua_Huetti.11.nuc comp10021_c0_seq1_m.35121
Mannua_Huetti.110.nuc comp10225_c0_seq1_m.4635
Mannua_Huetti.1100.nuc comp11922_c0_seq1_m.37454
Mannua_Huetti.1101.nuc comp11923_c0_seq2_m.29510
Mannua_Huetti.1102.nuc comp11924_c0_seq1_m.5800
Mannua_Huetti.1103.nuc comp11926_c0_seq2_m.20180
Mannua_Huetti.1104.nuc comp11927_c0_seq1_m.5801
Mannua_Huetti.1105.nuc comp11929_c0_seq1_m.5803
Mannua_Huetti.1106.nuc comp11931_c0_seq1_m.25445
Mannua_Huetti.1107.nuc comp11932_c0_seq1_m.5804
Mannua_Huetti.1108.nuc comp11933_c1_seq1_m.29067
Mannua_Huetti.1109.nuc comp11935_c0_seq3_m.17688
Mannua_Huetti.111.nuc comp10228_c0_seq1_m.38094
Mannua_Huetti.1110.nuc comp11936_c0_seq1_m.5805
Mannua_Huetti.1111.nuc comp11937_c0_seq1_m.37413
Mannua_Huetti.1112.nuc comp11938_c0_seq1_m.37461
Mannua_Huetti.1113.nuc comp11939_c0_seq1_m.34796
Mannua_Huetti.1114.nuc comp11942_c0_seq1_m.5808
Mannua_Huetti.1115.nuc comp11943_c0_seq1_m.5809
Mannua_Huetti.1116.nuc comp11944_c0_seq2_m.37672
Mannua_Huetti.1117.nuc comp11945_c0_seq1_m.5811
Mannua_Huetti.1118.nuc comp11946_c0_seq1_m.5813
Mannua_Huetti.1119.nuc comp11950_c0_seq1_m.21005
Mannua_Huetti.112.nuc comp10231_c0_seq1_m.17292
Mannua_Huetti.1120.nuc comp11952_c0_seq1_m.5815
Mannua_Huetti.1121.nuc comp11954_c0_seq2_m.29070
Mannua_Huetti.1122.nuc comp11956_c0_seq1_m.5819
Mannua_Huetti.1123.nuc comp11957_c0_seq2_m.33339
Mannua_Huetti.1124.nuc comp11958_c0_seq1_m.5821
Mannua_Huetti.1125.nuc comp11959_c0_seq1_m.5822
Mannua_Huetti.1126.nuc comp11961_c0_seq1_m.34446
Mannua_Huetti.1127.nuc comp11963_c0_seq1_m.5824
Mannua_Huetti.1128.nuc comp11968_c0_seq1_m.25114
Mannua_Huetti.1129.nuc comp11971_c0_seq1_m.27135
Mannua_Huetti.113.nuc comp10232_c0_seq1_m.4639
Mannua_Huetti.1130.nuc comp11972_c0_seq1_m.5829
Mannua_Huetti.1131.nuc comp11973_c0_seq1_m.16229
Mannua_Huetti.1132.nuc comp11975_c0_seq1_m.5830
Mannua_Huetti.1133.nuc comp11977_c0_seq1_m.5832
Mannua_Huetti.1134.nuc comp11978_c0_seq1_m.5834
Mannua_Huetti.1135.nuc comp11979_c0_seq1_m.32973
Mannua_Huetti.1136.nuc comp11979_c0_seq5_m.32985
Mannua_Huetti.1137.nuc comp1197_c0_seq1_m.32112
Mannua_Huetti.1138.nuc comp11981_c0_seq2_m.29562
Mannua_Huetti.1139.nuc comp11982_c0_seq1_m.5835
Mannua_Huetti.114.nuc comp10233_c1_seq1_m.23937
Mannua_Huetti.1140.nuc comp11983_c0_seq1_m.5836
Mannua_Huetti.1141.nuc comp11984_c0_seq1_m.5837
Mannua_Huetti.1142.nuc comp11986_c0_seq1_m.5839
Mannua_Huetti.1143.nuc comp11987_c0_seq1_m.5840
Mannua_Huetti.1144.nuc comp11993_c0_seq1_m.25209
Mannua_Huetti.1145.nuc comp11995_c0_seq1_m.5842
Mannua_Huetti.1146.nuc comp11998_c0_seq1_m.5846
Mannua_Huetti.1147.nuc comp11999_c0_seq1_m.38075
Mannua_Huetti.1148.nuc comp12001_c0_seq1_m.5850
Mannua_Huetti.1149.nuc comp12002_c0_seq1_m.26363
Mannua_Huetti.115.nuc comp102342_c0_seq1_m.12890
Mannua_Huetti.1150.nuc comp12007_c0_seq1_m.5853
Mannua_Huetti.1151.nuc comp12008_c0_seq1_m.5855
Mannua_Huetti.1152.nuc comp12010_c0_seq1_m.5856
Mannua_Huetti.1153.nuc comp12011_c0_seq1_m.5857
Mannua_Huetti.1154.nuc comp12012_c0_seq1_m.5858
Mannua_Huetti.1155.nuc comp12013_c1_seq1_m.32254
Mannua_Huetti.1156.nuc comp12014_c0_seq1_m.5859
Mannua_Huetti.1157.nuc comp12015_c0_seq1_m.5860
Mannua_Huetti.1158.nuc comp12016_c0_seq1_m.5862
Mannua_Huetti.1159.nuc comp12018_c0_seq3_m.19458
Mannua_Huetti.116.nuc comp10236_c0_seq2_m.20680
Mannua_Huetti.1160.nuc comp12019_c0_seq1_m.36441
Mannua_Huetti.1161.nuc comp12020_c0_seq1_m.5863
Mannua_Huetti.1162.nuc comp12021_c0_seq1_m.5864
Mannua_Huetti.1163.nuc comp12023_c0_seq1_m.5866
Mannua_Huetti.1164.nuc comp12026_c0_seq1_m.5869
Mannua_Huetti.1165.nuc comp1202_c0_seq1_m.315
Mannua_Huetti.1166.nuc comp12030_c0_seq1_m.5870
Mannua_Huetti.1167.nuc comp12031_c0_seq1_m.17593
Mannua_Huetti.1168.nuc comp12032_c0_seq1_m.5871
Mannua_Huetti.1169.nuc comp12034_c0_seq1_m.5872
Mannua_Huetti.117.nuc comp10238_c0_seq1_m.4642
Mannua_Huetti.1170.nuc comp12035_c0_seq1_m.5873
Mannua_Huetti.1171.nuc comp12037_c0_seq1_m.34159
Mannua_Huetti.1172.nuc comp12039_c0_seq1_m.5878
Mannua_Huetti.1173.nuc comp12043_c0_seq1_m.5880
Mannua_Huetti.1174.nuc comp12044_c0_seq1_m.5881
Mannua_Huetti.1175.nuc comp12046_c0_seq1_m.5884
Mannua_Huetti.1176.nuc comp12047_c0_seq1_m.5886
Mannua_Huetti.1177.nuc comp12049_c0_seq1_m.5889
Mannua_Huetti.1178.nuc comp12050_c0_seq1_m.24487
Mannua_Huetti.1179.nuc comp12051_c0_seq1_m.36010
Mannua_Huetti.118.nuc comp10239_c0_seq1_m.4643
Mannua_Huetti.1180.nuc comp12052_c0_seq3_m.30692
Mannua_Huetti.1181.nuc comp12054_c0_seq1_m.5891
Mannua_Huetti.1182.nuc comp12056_c0_seq1_m.5893
Mannua_Huetti.1183.nuc comp12057_c0_seq1_m.5894
Mannua_Huetti.1184.nuc comp12059_c0_seq1_m.32337
Mannua_Huetti.1185.nuc comp12060_c0_seq1_m.18273
Mannua_Huetti.1186.nuc comp12061_c0_seq1_m.5897
Mannua_Huetti.1187.nuc comp12062_c0_seq1_m.19787
Mannua_Huetti.1188.nuc comp12063_c0_seq2_m.31384
Mannua_Huetti.1189.nuc comp12065_c0_seq1_m.5899
Mannua_Huetti.119.nuc comp10240_c0_seq1_m.4645
Mannua_Huetti.1190.nuc comp12066_c0_seq2_m.34609
Mannua_Huetti.1191.nuc comp12067_c0_seq1_m.5900
Mannua_Huetti.1192.nuc comp12069_c0_seq1_m.23982
Mannua_Huetti.1193.nuc comp12073_c0_seq1_m.22489
Mannua_Huetti.1194.nuc comp12075_c1_seq2_m.33950
Mannua_Huetti.1195.nuc comp12076_c0_seq1_m.5903
Mannua_Huetti.1196.nuc comp12077_c0_seq1_m.5904
Mannua_Huetti.1197.nuc comp12078_c0_seq1_m.38937
Mannua_Huetti.1198.nuc comp12079_c0_seq5_m.26418
Mannua_Huetti.1199.nuc comp12080_c0_seq1_m.5906
Mannua_Huetti.12.nuc comp10022_c0_seq3_m.38768
Mannua_Huetti.120.nuc comp10243_c0_seq1_m.37385
Mannua_Huetti.1200.nuc comp12081_c0_seq1_m.19352
Mannua_Huetti.1201.nuc comp12084_c0_seq1_m.5908
Mannua_Huetti.1202.nuc comp12086_c0_seq1_m.5909
Mannua_Huetti.1203.nuc comp12088_c0_seq1_m.5913
Mannua_Huetti.1204.nuc comp12090_c0_seq1_m.5916
Mannua_Huetti.1205.nuc comp12092_c0_seq1_m.5917
Mannua_Huetti.1206.nuc comp12093_c0_seq1_m.5918
Mannua_Huetti.1207.nuc comp12094_c0_seq1_m.5919
Mannua_Huetti.1208.nuc comp12098_c0_seq2_m.23751
Mannua_Huetti.1209.nuc comp12099_c0_seq3_m.31691
Mannua_Huetti.121.nuc comp10246_c0_seq1_m.4649
Mannua_Huetti.1210.nuc comp12102_c0_seq1_m.5922
Mannua_Huetti.1211.nuc comp12105_c0_seq1_m.37145
Mannua_Huetti.1212.nuc comp12106_c0_seq1_m.5927
Mannua_Huetti.1213.nuc comp12107_c0_seq1_m.5929
Mannua_Huetti.1214.nuc comp12108_c0_seq1_m.5930
Mannua_Huetti.1215.nuc comp12112_c0_seq1_m.5933
Mannua_Huetti.1216.nuc comp12115_c0_seq1_m.5936
Mannua_Huetti.1217.nuc comp12117_c0_seq3_m.38484
Mannua_Huetti.1218.nuc comp12118_c0_seq1_m.18310
Mannua_Huetti.1219.nuc comp12120_c0_seq1_m.5939
Mannua_Huetti.122.nuc comp10248_c0_seq1_m.4650
Mannua_Huetti.1220.nuc comp12122_c0_seq1_m.5942
Mannua_Huetti.1221.nuc comp12124_c0_seq1_m.5944
Mannua_Huetti.1222.nuc comp12125_c0_seq1_m.5946
Mannua_Huetti.1223.nuc comp12127_c0_seq2_m.34205
Mannua_Huetti.1224.nuc comp12129_c0_seq1_m.5947
Mannua_Huetti.1225.nuc comp12132_c0_seq1_m.17213
Mannua_Huetti.1226.nuc comp12133_c0_seq1_m.5948
Mannua_Huetti.1227.nuc comp12135_c0_seq1_m.25205
Mannua_Huetti.1228.nuc comp12136_c0_seq1_m.18373
Mannua_Huetti.1229.nuc comp12137_c0_seq1_m.5950
Mannua_Huetti.123.nuc comp10249_c0_seq1_m.4651
Mannua_Huetti.1230.nuc comp12139_c0_seq1_m.5953
Mannua_Huetti.1231.nuc comp12143_c0_seq1_m.5955
Mannua_Huetti.1232.nuc comp12144_c0_seq2_m.38878
Mannua_Huetti.1233.nuc comp12146_c0_seq1_m.32323
Mannua_Huetti.1234.nuc comp121472_c0_seq1_m.13400
Mannua_Huetti.1235.nuc comp12147_c0_seq1_m.5957
Mannua_Huetti.1236.nuc comp12148_c0_seq1_m.5958
Mannua_Huetti.1237.nuc comp12149_c0_seq1_m.5960
Mannua_Huetti.1238.nuc comp12150_c0_seq2_m.18318
Mannua_Huetti.1239.nuc comp12151_c0_seq1_m.5962
Mannua_Huetti.124.nuc comp102500_c0_seq1_m.12900
Mannua_Huetti.1240.nuc comp12152_c0_seq1_m.5964
Mannua_Huetti.1241.nuc comp12153_c0_seq1_m.18905
Mannua_Huetti.1242.nuc comp12155_c0_seq1_m.5967
Mannua_Huetti.1243.nuc comp12156_c0_seq1_m.5968
Mannua_Huetti.1244.nuc comp12157_c1_seq1_m.19764
Mannua_Huetti.1245.nuc comp12162_c0_seq1_m.5973
Mannua_Huetti.1246.nuc comp12163_c0_seq1_m.5974
Mannua_Huetti.1247.nuc comp12164_c0_seq1_m.5977
Mannua_Huetti.1248.nuc comp12165_c0_seq1_m.30679
Mannua_Huetti.1249.nuc comp12166_c0_seq1_m.37405
Mannua_Huetti.125.nuc comp10250_c0_seq1_m.4652
Mannua_Huetti.1250.nuc comp12167_c0_seq1_m.5978
Mannua_Huetti.1251.nuc comp12169_c0_seq2_m.27050
Mannua_Huetti.1252.nuc comp12170_c0_seq6_m.31195
Mannua_Huetti.1253.nuc comp12171_c0_seq1_m.22221
Mannua_Huetti.1254.nuc comp12172_c0_seq1_m.29463
Mannua_Huetti.1255.nuc comp12175_c0_seq1_m.5981
Mannua_Huetti.1256.nuc comp12176_c0_seq3_m.19105
Mannua_Huetti.1257.nuc comp12178_c0_seq1_m.36184
Mannua_Huetti.1258.nuc comp12180_c0_seq1_m.5982
Mannua_Huetti.1259.nuc comp12181_c0_seq2_m.17952
Mannua_Huetti.126.nuc comp102513_c0_seq1_m.12901
Mannua_Huetti.1260.nuc comp12184_c0_seq2_m.16935
Mannua_Huetti.1261.nuc comp12189_c0_seq1_m.5987
Mannua_Huetti.1262.nuc comp12190_c0_seq1_m.5989
Mannua_Huetti.1263.nuc comp12191_c1_seq1_m.29484
Mannua_Huetti.1264.nuc comp12192_c0_seq1_m.5990
Mannua_Huetti.1265.nuc comp121935_c0_seq1_m.13403
Mannua_Huetti.1266.nuc comp12194_c0_seq1_m.30364
Mannua_Huetti.1267.nuc comp12195_c0_seq1_m.5992
Mannua_Huetti.1268.nuc comp12197_c0_seq1_m.5993
Mannua_Huetti.1269.nuc comp12200_c0_seq1_m.5994
Mannua_Huetti.127.nuc comp10251_c1_seq1_m.29462
Mannua_Huetti.1270.nuc comp12202_c0_seq1_m.5996
Mannua_Huetti.1271.nuc comp12204_c0_seq2_m.34024
Mannua_Huetti.1272.nuc comp12205_c0_seq1_m.5998
Mannua_Huetti.1273.nuc comp12207_c0_seq1_m.22201
Mannua_Huetti.1274.nuc comp12208_c0_seq2_m.22825
Mannua_Huetti.1275.nuc comp12209_c0_seq1_m.6000
Mannua_Huetti.1276.nuc comp12211_c0_seq1_m.6001
Mannua_Huetti.1277.nuc comp12213_c0_seq1_m.6003
Mannua_Huetti.1278.nuc comp12214_c0_seq1_m.34241
Mannua_Huetti.1279.nuc comp12216_c0_seq1_m.6006
Mannua_Huetti.128.nuc comp10254_c1_seq1_m.27370
Mannua_Huetti.1280.nuc comp12217_c0_seq1_m.32437
Mannua_Huetti.1281.nuc comp12218_c0_seq1_m.6008
Mannua_Huetti.1282.nuc comp12220_c0_seq1_m.6009
Mannua_Huetti.1283.nuc comp12221_c0_seq4_m.35023
Mannua_Huetti.1284.nuc comp12222_c0_seq1_m.6011
Mannua_Huetti.1285.nuc comp12223_c0_seq1_m.18754
Mannua_Huetti.1286.nuc comp12224_c0_seq2_m.37094
Mannua_Huetti.1287.nuc comp12225_c0_seq1_m.6012
Mannua_Huetti.1288.nuc comp12228_c0_seq1_m.26646
Mannua_Huetti.1289.nuc comp12229_c0_seq1_m.33731
Mannua_Huetti.129.nuc comp10256_c0_seq1_m.4653
Mannua_Huetti.1290.nuc comp12231_c0_seq2_m.36278
Mannua_Huetti.1291.nuc comp12233_c0_seq1_m.6017
Mannua_Huetti.1292.nuc comp12234_c0_seq1_m.6018
Mannua_Huetti.1293.nuc comp12235_c0_seq1_m.34019
Mannua_Huetti.1294.nuc comp12238_c0_seq1_m.18898
Mannua_Huetti.1295.nuc comp12239_c0_seq1_m.6019
Mannua_Huetti.1296.nuc comp12240_c0_seq1_m.24278
Mannua_Huetti.1297.nuc comp12240_c0_seq2_m.24279
Mannua_Huetti.1298.nuc comp12241_c0_seq1_m.37129
Mannua_Huetti.1299.nuc comp12243_c0_seq1_m.6020
Mannua_Huetti.13.nuc comp10029_c0_seq1_m.4516
Mannua_Huetti.130.nuc comp10257_c0_seq1_m.34426
Mannua_Huetti.1300.nuc comp12244_c0_seq1_m.6021
Mannua_Huetti.1301.nuc comp12247_c0_seq1_m.18088
Mannua_Huetti.1302.nuc comp12249_c0_seq1_m.6022
Mannua_Huetti.1303.nuc comp12250_c0_seq1_m.6024
Mannua_Huetti.1304.nuc comp12251_c0_seq1_m.6025
Mannua_Huetti.1305.nuc comp12252_c0_seq1_m.6026
Mannua_Huetti.1306.nuc comp12254_c0_seq1_m.6027
Mannua_Huetti.1307.nuc comp12255_c0_seq1_m.6028
Mannua_Huetti.1308.nuc comp12256_c0_seq1_m.6029
Mannua_Huetti.1309.nuc comp12257_c0_seq1_m.6030
Mannua_Huetti.131.nuc comp10258_c0_seq1_m.4654
Mannua_Huetti.1310.nuc comp12258_c0_seq1_m.28766
Mannua_Huetti.1311.nuc comp12260_c0_seq1_m.6034
Mannua_Huetti.1312.nuc comp12261_c0_seq1_m.33747
Mannua_Huetti.1313.nuc comp12262_c0_seq1_m.16701
Mannua_Huetti.1314.nuc comp12264_c0_seq1_m.6035
Mannua_Huetti.1315.nuc comp12265_c0_seq1_m.16020
Mannua_Huetti.1316.nuc comp12265_c0_seq2_m.16021
Mannua_Huetti.1317.nuc comp12267_c0_seq1_m.26493
Mannua_Huetti.1318.nuc comp12268_c0_seq1_m.34195
Mannua_Huetti.1319.nuc comp12270_c0_seq1_m.6038
Mannua_Huetti.132.nuc comp10260_c0_seq1_m.4657
Mannua_Huetti.1320.nuc comp12271_c0_seq1_m.6039
Mannua_Huetti.1321.nuc comp12275_c0_seq1_m.29897
Mannua_Huetti.1322.nuc comp12276_c0_seq1_m.37230
Mannua_Huetti.1323.nuc comp12277_c0_seq1_m.32667
Mannua_Huetti.1324.nuc comp12281_c0_seq1_m.6046
Mannua_Huetti.1325.nuc comp12285_c0_seq1_m.6048
Mannua_Huetti.1326.nuc comp12286_c0_seq1_m.6054
Mannua_Huetti.1327.nuc comp12287_c0_seq1_m.23511
Mannua_Huetti.1328.nuc comp12295_c0_seq1_m.6062
Mannua_Huetti.1329.nuc comp12297_c0_seq1_m.6063
Mannua_Huetti.133.nuc comp10264_c0_seq1_m.4662
Mannua_Huetti.1330.nuc comp12299_c0_seq1_m.6065
Mannua_Huetti.1331.nuc comp12300_c0_seq1_m.6066
Mannua_Huetti.1332.nuc comp12301_c0_seq2_m.20785
Mannua_Huetti.1333.nuc comp12302_c0_seq1_m.29663
Mannua_Huetti.1334.nuc comp12303_c0_seq1_m.16540
Mannua_Huetti.1335.nuc comp12305_c1_seq2_m.29526
Mannua_Huetti.1336.nuc comp12306_c0_seq1_m.6069
Mannua_Huetti.1337.nuc comp12307_c0_seq1_m.6070
Mannua_Huetti.1338.nuc comp12308_c0_seq1_m.6071
Mannua_Huetti.1339.nuc comp12312_c0_seq1_m.6074
Mannua_Huetti.134.nuc comp10268_c0_seq2_m.23602
Mannua_Huetti.1340.nuc comp12313_c0_seq1_m.6076
Mannua_Huetti.1341.nuc comp12318_c0_seq1_m.6080
Mannua_Huetti.1342.nuc comp12319_c0_seq1_m.6081
Mannua_Huetti.1343.nuc comp12321_c0_seq1_m.32224
Mannua_Huetti.1344.nuc comp12322_c0_seq1_m.6082
Mannua_Huetti.1345.nuc comp12324_c0_seq1_m.6083
Mannua_Huetti.1346.nuc comp12326_c0_seq1_m.6084
Mannua_Huetti.1347.nuc comp12327_c0_seq1_m.15560
Mannua_Huetti.1348.nuc comp12328_c0_seq1_m.6085
Mannua_Huetti.1349.nuc comp12329_c0_seq1_m.18240
Mannua_Huetti.135.nuc comp10269_c0_seq1_m.4669
Mannua_Huetti.1350.nuc comp1232_c0_seq1_m.322
Mannua_Huetti.1351.nuc comp12332_c0_seq1_m.31340
Mannua_Huetti.1352.nuc comp12336_c0_seq1_m.24911
Mannua_Huetti.1353.nuc comp12337_c0_seq1_m.6091
Mannua_Huetti.1354.nuc comp12338_c0_seq1_m.6092
Mannua_Huetti.1355.nuc comp12339_c0_seq1_m.17894
Mannua_Huetti.1356.nuc comp12340_c0_seq1_m.37584
Mannua_Huetti.1357.nuc comp12343_c0_seq1_m.6095
Mannua_Huetti.1358.nuc comp12344_c0_seq1_m.6096
Mannua_Huetti.1359.nuc comp12345_c0_seq2_m.19196
Mannua_Huetti.136.nuc comp10270_c0_seq1_m.4670
Mannua_Huetti.1360.nuc comp12347_c2_seq1_m.38145
Mannua_Huetti.1361.nuc comp12347_c4_seq2_m.38151
Mannua_Huetti.1362.nuc comp12348_c0_seq1_m.17799
Mannua_Huetti.1363.nuc comp12349_c0_seq1_m.6098
Mannua_Huetti.1364.nuc comp12350_c0_seq1_m.6099
Mannua_Huetti.1365.nuc comp12350_c0_seq1_m.6100
Mannua_Huetti.1366.nuc comp12351_c0_seq1_m.6101
Mannua_Huetti.1367.nuc comp12352_c0_seq1_m.6102
Mannua_Huetti.1368.nuc comp12356_c0_seq1_m.6105
Mannua_Huetti.1369.nuc comp12357_c0_seq2_m.15341
Mannua_Huetti.137.nuc comp10272_c0_seq1_m.4671
Mannua_Huetti.1370.nuc comp12359_c0_seq1_m.6106
Mannua_Huetti.1371.nuc comp12360_c0_seq1_m.17391
Mannua_Huetti.1372.nuc comp12361_c0_seq1_m.6107
Mannua_Huetti.1373.nuc comp12362_c0_seq1_m.6109
Mannua_Huetti.1374.nuc comp12364_c0_seq1_m.6111
Mannua_Huetti.1375.nuc comp12365_c0_seq1_m.31164
Mannua_Huetti.1376.nuc comp12365_c0_seq1_m.31165
Mannua_Huetti.1377.nuc comp12366_c0_seq1_m.6112
Mannua_Huetti.1378.nuc comp12367_c0_seq1_m.6113
Mannua_Huetti.1379.nuc comp12368_c0_seq1_m.6114
Mannua_Huetti.138.nuc comp10273_c0_seq2_m.16997
Mannua_Huetti.1380.nuc comp123692_c0_seq1_m.13442
