CHROM	sites	length	PI
comp10058_c0_seq1_m.4531	6	996	0.00602409638554217
comp100591_c0_seq1_m.12852	5	825	0.00606060606060606
comp10059_c0_seq1_m.4532	2	669	0.00298953662182362
comp100608_c0_seq1_m.12853	5	1242	0.00402576489533011
comp10060_c0_seq1_m.4533	11	1338	0.00822122571001495
comp10061_c0_seq1_m.15859	0	696	0
comp10063_c0_seq1_m.4535	1	1251	0.000799360511590727
comp10064_c0_seq1_m.4536	3	675	0.00444444444444444
comp10066_c0_seq1_m.4537	0	585	0
comp10067_c0_seq1_m.4538	16	2859	0.0055963623644631
comp10070_c0_seq1_m.38542	4	1587	0.00252047889098929
comp10071_c0_seq1_m.19809	1	1626	0.000615006150061501
comp10072_c0_seq1_m.4543	4	558	0.00716845878136201
comp10073_c0_seq1_m.17643	0	618	0
comp10074_c0_seq1_m.31089	2	516	0.00387596899224806
comp10074_c1_seq1_m.31090	0	408	0
comp10078_c0_seq1_m.4544	0	2283	0
comp10079_c0_seq1_m.4545	1	1233	0.0008110300081103
comp10080_c0_seq1_m.4547	23	2124	0.0108286252354049
comp10083_c0_seq1_m.4548	15	1740	0.00862068965517241
comp10084_c0_seq1_m.4549	10	1434	0.00697350069735007
comp100855_c0_seq1_m.12857	0	528	0
comp10085_c0_seq1_m.19678	0	354	0
comp10086_c0_seq1_m.37609	1	462	0.00216450216450216
comp10086_c1_seq1_m.37610	2	1674	0.001194743130227
comp10086_c1_seq1_m.37612	0	300	0
comp10087_c0_seq1_m.4550	4	1044	0.00383141762452107
comp10089_c0_seq1_m.4551	1	645	0.00155038759689922
comp1008_c0_seq1_m.272	4	540	0.00740740740740741
comp10091_c0_seq1_m.4553	0	1104	0
comp10092_c0_seq1_m.34118	1	2847	0.000351246926589392
comp10093_c0_seq1_m.4555	13	1275	0.0101960784313725
comp10094_c0_seq1_m.4556	0	993	0
comp10096_c0_seq1_m.4558	3	762	0.00393700787401575
comp10097_c0_seq1_m.39275	3	822	0.00364963503649635
comp100_c0_seq1_m.19	3	795	0.00377358490566038
comp10100_c0_seq1_m.4560	0	822	0
comp10101_c0_seq1_m.4561	0	2283	0
comp10102_c0_seq1_m.17939	1	378	0.00264550264550265
comp10103_c0_seq1_m.4562	1	456	0.00219298245614035
comp10104_c0_seq2_m.19799	0	648	0
comp10105_c0_seq1_m.4563	1	729	0.00137174211248285
comp10105_c0_seq1_m.4564	0	324	0
comp10107_c0_seq1_m.4565	1	642	0.00155763239875389
comp10108_c0_seq1_m.4566	0	450	0
comp10110_c0_seq2_m.16116	0	2331	0
comp10111_c0_seq1_m.23410	0	549	0
comp10111_c0_seq2_m.23411	2	417	0.00479616306954436
comp10115_c0_seq1_m.4569	13	876	0.0148401826484018
comp10116_c0_seq1_m.4571	6	1563	0.00383877159309021
comp10117_c0_seq1_m.4573	1	1029	0.000971817298347911
comp1011_c0_seq1_m.273	3	1215	0.00246913580246914
comp10126_c0_seq1_m.4575	5	687	0.00727802037845706
comp10127_c0_seq1_m.4577	54	798	0.0676691729323308
comp10132_c0_seq1_m.37030	6	627	0.00956937799043062
comp10133_c0_seq1_m.4580	3	450	0.00666666666666667
comp10135_c0_seq1_m.4581	2	1527	0.00130975769482646
comp10136_c0_seq1_m.33791	3	384	0.0078125
comp10136_c0_seq1_m.33792	1	321	0.00311526479750779
comp10137_c0_seq1_m.4582	10	453	0.022075055187638
comp10139_c0_seq1_m.18885	0	1095	0
comp101403_c0_seq1_m.12858	0	543	0
comp10140_c0_seq1_m.4583	4	621	0.00644122383252818
comp10141_c0_seq1_m.28939	3	735	0.00408163265306122
comp10141_c1_seq1_m.28940	4	564	0.00709219858156028
comp10144_c0_seq2_m.30387	0	2313	0
comp10145_c0_seq1_m.4584	17	2025	0.00839506172839506
comp10146_c0_seq1_m.27687	5	594	0.00841750841750842
comp10148_c0_seq1_m.4587	13	714	0.0182072829131653
comp10149_c0_seq1_m.4588	2	843	0.00237247924080664
comp10150_c0_seq1_m.4589	3	678	0.00442477876106195
comp10152_c0_seq1_m.25339	0	1326	0
comp10153_c0_seq1_m.31093	2	822	0.0024330900243309
comp10155_c0_seq1_m.4590	0	330	0
comp10158_c0_seq1_m.4591	0	1227	0
comp10159_c0_seq1_m.4593	0	684	0
comp10161_c0_seq1_m.4595	10	723	0.0138312586445367
comp10161_c0_seq1_m.4596	0	375	0
comp10162_c0_seq1_m.4598	14	774	0.0180878552971576
comp10162_c0_seq1_m.4599	3	462	0.00649350649350649
comp10163_c0_seq1_m.4602	3	567	0.00529100529100529
comp10164_c0_seq1_m.27153	1	738	0.0013550135501355
comp10164_c1_seq1_m.27154	3	348	0.00862068965517241
comp10168_c0_seq1_m.4603	1	1143	0.000874890638670166
comp10171_c0_seq1_m.18611	2	1743	0.00114744693057946
comp10172_c0_seq1_m.4607	0	324	0
comp10173_c1_seq1_m.35918	1	348	0.0028735632183908
comp10176_c0_seq1_m.4608	7	1344	0.00520833333333333
comp10176_c0_seq1_m.4609	10	537	0.0186219739292365
comp10178_c0_seq1_m.4612	72	834	0.0863309352517986
comp10180_c0_seq3_m.26370	7	903	0.00775193798449612
comp10186_c0_seq1_m.4614	4	924	0.00432900432900433
comp10187_c0_seq1_m.4615	1	624	0.0016025641025641
comp10189_c0_seq1_m.4617	16	333	0.048048048048048
comp1018_c0_seq1_m.274	5	516	0.00968992248062015
comp10190_c0_seq1_m.35408	5	453	0.011037527593819
comp10191_c0_seq1_m.4618	12	744	0.0161290322580645
comp10192_c0_seq1_m.4619	12	1509	0.00795228628230616
comp10196_c0_seq1_m.4620	5	3033	0.00164853280580284
comp10197_c0_seq1_m.4622	11	1122	0.00980392156862745
comp101993_c0_seq1_m.12862	1	324	0.00308641975308642
comp10199_c0_seq1_m.24243	0	924	0
comp101_c0_seq1_m.21	11	864	0.0127314814814815
comp102006_c0_seq1_m.12863	4	1005	0.00398009950248756
comp10201_c0_seq2_m.18350	0	2802	0
comp102025_c0_seq1_m.12865	2	744	0.00268817204301075
comp10202_c0_seq1_m.28447	5	570	0.0087719298245614
comp10203_c0_seq1_m.4623	0	1077	0
comp102045_c0_seq1_m.12866	5	663	0.00754147812971342
comp10204_c0_seq1_m.4624	5	648	0.00771604938271605
comp10205_c0_seq1_m.4625	0	567	0
comp10208_c0_seq1_m.4627	5	1212	0.00412541254125413
comp102093_c0_seq1_m.12868	0	504	0
comp102097_c0_seq1_m.12869	14	543	0.0257826887661142
comp1020_c0_seq1_m.276	1	345	0.00289855072463768
comp10210_c0_seq1_m.4628	1	804	0.00124378109452736
comp102113_c0_seq1_m.12870	1	531	0.00188323917137476
comp10211_c0_seq1_m.4629	11	492	0.0223577235772358
comp10212_c0_seq1_m.4631	0	1326	0
comp102131_c0_seq1_m.12873	12	720	0.0166666666666667
comp10213_c0_seq1_m.4632	21	1221	0.0171990171990172
comp10214_c0_seq1_m.19944	16	1947	0.00821777092963534
comp10215_c1_seq1_m.31277	9	1005	0.00895522388059702
comp102163_c0_seq1_m.12877	2	897	0.00222965440356745
comp10216_c0_seq1_m.28263	8	465	0.0172043010752688
comp102185_c0_seq1_m.12880	6	582	0.0103092783505155
comp10219_c0_seq1_m.4633	0	537	0
comp1021_c0_seq1_m.277	0	573	0
comp10220_c0_seq1_m.4634	5	1647	0.00303582270795386
comp102213_c0_seq1_m.12882	10	315	0.0317460317460317
comp102217_c0_seq1_m.12883	6	633	0.00947867298578199
comp10222_c0_seq1_m.21759	1	717	0.00139470013947001
comp10222_c1_seq1_m.21760	2	822	0.0024330900243309
comp10223_c0_seq2_m.29540	3	636	0.00471698113207547
comp102254_c0_seq1_m.12884	0	1494	0
comp102258_c0_seq1_m.12885	0	405	0
comp10225_c0_seq1_m.4635	1	960	0.00104166666666667
comp10226_c0_seq1_m.4636	4	1698	0.00235571260306243
comp102270_c0_seq1_m.12886	3	450	0.00666666666666667
comp10228_c0_seq1_m.38094	14	1389	0.0100791936645068
comp10228_c0_seq2_m.38095	0	822	0
comp10229_c0_seq1_m.4638	3	336	0.00892857142857143
comp10231_c0_seq1_m.17292	9	603	0.0149253731343284
comp10232_c0_seq1_m.4639	3	1032	0.00290697674418605
comp10232_c0_seq1_m.4640	0	342	0
comp10233_c0_seq1_m.23935	0	1317	0
comp10233_c1_seq1_m.23937	1	2223	0.000449842555105713
comp10233_c1_seq2_m.23938	6	456	0.0131578947368421
comp102340_c0_seq1_m.12889	8	321	0.0249221183800623
comp102342_c0_seq1_m.12890	12	1833	0.00654664484451719
comp102343_c0_seq1_m.12891	1	399	0.0025062656641604
comp102348_c0_seq1_m.12892	1	414	0.00241545893719807
comp10234_c0_seq1_m.20824	0	864	0
comp10235_c0_seq1_m.31441	4	621	0.00644122383252818
comp10235_c1_seq1_m.31442	13	1506	0.00863213811420983
comp102367_c0_seq1_m.12893	0	924	0
comp10236_c0_seq2_m.20680	3	612	0.00490196078431373
comp10237_c0_seq1_m.4641	0	783	0
comp102385_c0_seq1_m.12894	1	1014	0.000986193293885602
comp10238_c0_seq1_m.4642	3	726	0.00413223140495868
comp10239_c0_seq1_m.4643	1	525	0.0019047619047619
comp102408_c0_seq1_m.12897	0	483	0
comp10241_c0_seq1_m.4647	4	486	0.00823045267489712
comp10244_c0_seq1_m.23262	8	3309	0.0024176488365065
comp10245_c0_seq1_m.4648	3	516	0.00581395348837209
comp10246_c0_seq1_m.4649	0	1182	0
comp10248_c0_seq1_m.4650	18	954	0.0188679245283019
comp102496_c0_seq1_m.12899	5	1230	0.0040650406504065
comp10249_c0_seq1_m.4651	6	657	0.0091324200913242
comp10250_c0_seq1_m.4652	3	492	0.00609756097560976
comp10251_c1_seq1_m.29462	0	1332	0
comp10254_c1_seq1_m.27370	7	1221	0.00573300573300573
comp102552_c0_seq1_m.12903	3	441	0.00680272108843537
comp102555_c0_seq1_m.12904	0	558	0
comp10256_c0_seq1_m.4653	34	1890	0.017989417989418
comp10258_c0_seq1_m.4654	13	2823	0.00460503010981226
comp102591_c0_seq1_m.12905	16	552	0.0289855072463768
comp10259_c0_seq1_m.4656	4	846	0.00472813238770686
comp102600_c0_seq1_m.12906	0	612	0
comp10260_c0_seq1_m.4657	16	1311	0.0122044241037376
comp10260_c0_seq1_m.4658	1	393	0.00254452926208651
comp10261_c0_seq1_m.32815	0	420	0
comp10261_c0_seq1_m.32816	0	351	0
comp102625_c0_seq1_m.12908	8	975	0.00820512820512821
comp102628_c0_seq1_m.12909	4	477	0.00838574423480084
comp10262_c0_seq1_m.4659	10	1416	0.00706214689265537
comp102649_c0_seq1_m.12910	0	357	0
comp10264_c0_seq1_m.4662	6	1167	0.0051413881748072
comp10264_c0_seq1_m.4663	0	375	0
comp10265_c0_seq1_m.4664	11	627	0.0175438596491228
comp102667_c0_seq1_m.12912	2	336	0.00595238095238095
comp10266_c0_seq1_m.4665	1	2121	0.000471475719000471
comp102682_c0_seq1_m.12914	7	435	0.0160919540229885
comp10268_c0_seq2_m.23602	0	1569	0
comp102696_c0_seq1_m.12918	5	954	0.00524109014675052
comp10269_c0_seq1_m.4669	11	1266	0.00868878357030016
comp10270_c0_seq1_m.4670	0	1086	0
comp102716_c0_seq1_m.12920	9	378	0.0238095238095238
comp10271_c0_seq1_m.17534	68	1266	0.0537124802527646
comp102721_c0_seq1_m.12921	4	474	0.00843881856540084
comp10272_c0_seq1_m.4671	5	645	0.00775193798449612
comp10273_c0_seq2_m.16997	77	1971	0.039066463723998
comp10273_c0_seq2_m.16998	8	969	0.00825593395252838
comp10273_c0_seq2_m.16999	6	324	0.0185185185185185
comp10275_c1_seq1_m.26649	3	561	0.0053475935828877
comp102771_c0_seq1_m.12923	1	603	0.00165837479270315
comp10277_c1_seq1_m.38142	11	624	0.0176282051282051
comp102787_c0_seq1_m.12925	8	591	0.0135363790186125
comp10278_c0_seq1_m.17393	3	1245	0.00240963855421687
comp10279_c0_seq1_m.23310	2	1617	0.00123685837971552
comp102804_c0_seq1_m.12926	0	438	0
comp10280_c0_seq1_m.4672	5	675	0.00740740740740741
comp10281_c0_seq1_m.4674	2	930	0.0021505376344086
comp10282_c0_seq1_m.37420	0	1254	0
comp10284_c0_seq1_m.4675	0	1236	0
comp102859_c0_seq1_m.12928	3	372	0.00806451612903226
comp10285_c0_seq1_m.4676	4	495	0.00808080808080808
comp102877_c0_seq1_m.12929	8	726	0.0110192837465565
comp10287_c0_seq1_m.4677	22	684	0.0321637426900585
comp1028_c0_seq1_m.279	14	528	0.0265151515151515
comp102900_c0_seq1_m.12930	14	402	0.0348258706467662
comp10291_c0_seq2_m.37325	35	1977	0.0177035912999494
comp10292_c0_seq1_m.4679	2	1944	0.00102880658436214
comp102938_c0_seq1_m.12931	1	834	0.00119904076738609
comp10293_c0_seq1_m.4681	2	1830	0.00109289617486339
comp10294_c0_seq1_m.35124	5	444	0.0112612612612613
comp10296_c0_seq1_m.4682	0	1050	0
comp10297_c0_seq1_m.4683	6	477	0.0125786163522013
comp10298_c0_seq1_m.4684	11	1011	0.0108803165182987
comp1029_c0_seq1_m.280	3	318	0.00943396226415094
comp10300_c0_seq1_m.38524	13	861	0.0150987224157956
comp103018_c0_seq1_m.12932	0	1014	0
comp10301_c0_seq1_m.4685	5	2145	0.00233100233100233
comp10302_c0_seq1_m.4688	13	1365	0.00952380952380952
comp10302_c0_seq1_m.4689	4	891	0.00448933782267116
comp10303_c1_seq1_m.17287	14	348	0.0402298850574713
comp10303_c1_seq2_m.17288	10	453	0.022075055187638
comp10304_c0_seq1_m.4692	3	1359	0.0022075055187638
comp10304_c0_seq1_m.4693	1	549	0.00182149362477231
comp10305_c0_seq2_m.17396	1	900	0.00111111111111111
comp103066_c0_seq1_m.12934	0	501	0
comp10306_c0_seq1_m.4694	3	684	0.0043859649122807
comp103096_c0_seq1_m.12937	0	1017	0
comp10309_c0_seq1_m.4695	11	1074	0.0102420856610801
comp10310_c0_seq1_m.27076	1	783	0.00127713920817369
comp10311_c0_seq1_m.4696	6	1464	0.00409836065573771
comp10312_c0_seq1_m.4697	7	813	0.00861008610086101
comp10314_c0_seq1_m.4698	4	516	0.00775193798449612
comp103150_c0_seq1_m.12938	0	861	0
comp10315_c0_seq1_m.29494	4	555	0.00720720720720721
comp10316_c0_seq2_m.32841	1	2001	0.000499750124937531
comp10317_c0_seq1_m.27180	0	1095	0
comp10317_c0_seq2_m.27182	0	1557	0
comp10318_c0_seq1_m.4699	2	477	0.00419287211740042
comp103190_c0_seq1_m.12942	8	711	0.0112517580872011
comp10319_c0_seq1_m.4700	0	960	0
comp10321_c0_seq1_m.4702	0	663	0
comp103229_c0_seq1_m.12943	2	417	0.00479616306954436
comp103238_c0_seq1_m.12946	3	777	0.00386100386100386
comp10323_c0_seq1_m.23185	0	1509	0
comp10324_c0_seq1_m.4703	13	630	0.0206349206349206
comp10325_c0_seq1_m.16294	1	738	0.0013550135501355
comp10325_c0_seq2_m.16295	10	543	0.0184162062615101
comp103277_c0_seq1_m.12949	0	318	0
comp10327_c0_seq1_m.4705	17	957	0.0177638453500522
comp10328_c0_seq1_m.4706	0	663	0
comp103297_c0_seq1_m.12950	0	501	0
comp10330_c0_seq1_m.4708	11	732	0.0150273224043716
comp10331_c0_seq1_m.25469	5	369	0.013550135501355
comp10333_c0_seq1_m.4711	4	1020	0.00392156862745098
comp103346_c0_seq1_m.12951	11	702	0.0156695156695157
comp10334_c0_seq1_m.4713	11	774	0.0142118863049096
comp103355_c0_seq1_m.12952	3	573	0.00523560209424084
comp10335_c1_seq1_m.37741	0	369	0
comp10335_c1_seq2_m.37743	4	309	0.0129449838187702
comp10337_c0_seq1_m.4714	16	984	0.016260162601626
comp10338_c0_seq1_m.4715	0	939	0
comp10339_c0_seq1_m.17978	29	1503	0.019294743845642
comp10340_c0_seq1_m.30003	0	360	0
comp10340_c0_seq2_m.30004	6	759	0.00790513833992095
comp10342_c0_seq1_m.4718	7	315	0.0222222222222222
comp103434_c0_seq1_m.12955	4	732	0.00546448087431694
comp10343_c0_seq2_m.37790	1	1356	0.000737463126843658
comp103460_c0_seq1_m.12956	1	951	0.0010515247108307
comp10346_c0_seq1_m.4719	8	1035	0.00772946859903382
comp10347_c0_seq1_m.4720	4	657	0.0060882800608828
comp10348_c0_seq1_m.4721	6	1041	0.00576368876080692
comp103521_c0_seq1_m.12957	3	1329	0.00225733634311512
comp10354_c0_seq1_m.34403	7	1155	0.00606060606060606
comp103550_c0_seq1_m.12958	0	414	0
comp103555_c0_seq1_m.12959	3	777	0.00386100386100386
comp10355_c0_seq2_m.17884	10	729	0.0137174211248285
comp103562_c0_seq1_m.12960	12	741	0.0161943319838057
comp10356_c0_seq1_m.32387	17	2568	0.00661993769470405
comp10358_c0_seq2_m.33287	2	756	0.00264550264550265
comp10359_c0_seq1_m.4723	8	1596	0.0050125313283208
comp10361_c0_seq1_m.4724	8	1659	0.00482218203737191
comp103620_c0_seq1_m.12961	24	699	0.0343347639484979
comp10362_c0_seq1_m.4726	1	1950	0.000512820512820513
comp10362_c0_seq1_m.4727	1	906	0.0011037527593819
comp10364_c0_seq1_m.4729	6	597	0.0100502512562814
comp103655_c0_seq1_m.12962	0	399	0
comp10366_c0_seq1_m.4730	0	324	0
comp10367_c0_seq1_m.4731	20	330	0.0606060606060606
comp10369_c0_seq2_m.34602	31	1485	0.0208754208754209
comp10370_c0_seq1_m.4732	18	1209	0.0148883374689826
comp10371_c0_seq1_m.4733	4	543	0.00736648250460405
comp10372_c0_seq1_m.22298	1	3279	0.000304971027752364
comp10373_c0_seq1_m.22539	8	411	0.0194647201946472
comp10373_c0_seq1_m.22540	0	357	0
comp103747_c0_seq1_m.12965	5	1176	0.00425170068027211
comp10374_c0_seq1_m.4734	0	390	0
comp103758_c0_seq1_m.12966	1	480	0.00208333333333333
comp103758_c0_seq1_m.12967	0	351	0
comp10375_c0_seq1_m.28738	4	1101	0.0036330608537693
comp103763_c0_seq1_m.12968	5	513	0.00974658869395711
comp103765_c0_seq1_m.12969	3	303	0.0099009900990099
comp10376_c0_seq2_m.16239	0	390	0
comp103772_c0_seq1_m.12970	6	483	0.0124223602484472
comp10377_c0_seq1_m.4735	15	1104	0.0135869565217391
comp103782_c0_seq1_m.12971	0	468	0
comp10378_c0_seq1_m.4736	6	972	0.00617283950617284
comp10380_c0_seq1_m.4737	6	600	0.01
comp10382_c0_seq1_m.4739	1	360	0.00277777777777778
comp10383_c0_seq1_m.4741	1	357	0.00280112044817927
comp103882_c0_seq1_m.12975	0	345	0
comp10388_c0_seq1_m.4744	16	2046	0.00782013685239492
comp10390_c0_seq1_m.4745	6	726	0.00826446280991736
comp10391_c0_seq1_m.22487	27	360	0.075
comp103922_c0_seq1_m.12976	2	315	0.00634920634920635
comp10392_c0_seq1_m.4746	0	324	0
comp103939_c0_seq1_m.12977	1	831	0.00120336943441637
comp10393_c0_seq1_m.4748	7	1038	0.00674373795761079
comp10394_c0_seq1_m.32957	0	1932	0
comp10396_c0_seq1_m.27157	0	1200	0
comp10398_c0_seq1_m.4750	1	726	0.00137741046831956
comp10399_c0_seq1_m.4751	79	1557	0.0507385998715479
comp103_c0_seq1_m.20714	0	384	0
comp104025_c0_seq1_m.12981	0	522	0
comp104025_c0_seq1_m.12982	0	348	0
comp104030_c0_seq1_m.12983	0	438	0
comp10403_c0_seq2_m.37522	0	1842	0
comp10405_c0_seq2_m.17229	1	1323	0.000755857898715042
comp10406_c0_seq1_m.37029	10	798	0.012531328320802
comp10406_c2_seq1_m.37028	11	999	0.011011011011011
comp10407_c0_seq1_m.4753	0	390	0
comp10408_c0_seq1_m.23323	1	2844	0.000351617440225035
comp10411_c0_seq1_m.4754	19	330	0.0575757575757576
comp104133_c0_seq1_m.12986	0	528	0
comp10413_c0_seq1_m.4755	4	774	0.00516795865633075
comp10414_c0_seq1_m.4756	11	612	0.0179738562091503
comp104158_c0_seq1_m.12988	0	516	0
comp104176_c0_seq1_m.12989	2	474	0.00421940928270042
comp10418_c0_seq1_m.4757	3	1563	0.00191938579654511
comp10419_c0_seq1_m.4758	2	876	0.00228310502283105
comp10419_c0_seq1_m.4759	1	336	0.00297619047619048
comp10420_c0_seq1_m.23157	0	351	0
comp10422_c0_seq1_m.4761	2	2121	0.000942951438000943
comp104232_c0_seq1_m.12990	0	582	0
comp10423_c0_seq1_m.4762	2	510	0.00392156862745098
comp10424_c0_seq1_m.4763	0	1035	0
comp10425_c0_seq1_m.38113	1	2229	0.000448631673396142
comp104277_c0_seq1_m.12991	31	327	0.0948012232415902
comp10427_c0_seq1_m.29269	1	363	0.00275482093663912
comp10428_c0_seq2_m.23893	0	534	0
comp10429_c0_seq1_m.4764	1	435	0.00229885057471264
comp10429_c0_seq1_m.4765	4	369	0.010840108401084
comp10430_c0_seq1_m.4766	48	864	0.0555555555555556
comp104317_c0_seq1_m.12996	2	333	0.00600600600600601
comp10432_c0_seq1_m.4769	0	768	0
comp10433_c0_seq1_m.4770	17	450	0.0377777777777778
comp104341_c0_seq1_m.12997	0	456	0
comp104346_c0_seq1_m.12998	0	867	0
comp10434_c0_seq1_m.4771	7	609	0.0114942528735632
comp10435_c0_seq1_m.4772	3	885	0.00338983050847458
comp10436_c0_seq1_m.37239	3	957	0.00313479623824451
comp10437_c0_seq1_m.4773	1	1179	0.000848176420695505
comp10438_c0_seq1_m.4775	16	765	0.0209150326797386
comp10438_c0_seq1_m.4776	4	396	0.0101010101010101
comp10439_c0_seq1_m.4777	0	1644	0
comp104408_c0_seq1_m.12999	1	1140	0.00087719298245614
comp10440_c0_seq1_m.18069	3	1155	0.0025974025974026
comp10440_c0_seq2_m.18070	0	1086	0
comp10440_c0_seq3_m.18071	1	945	0.00105820105820106
comp104423_c0_seq1_m.13000	16	759	0.0210803689064559
comp10442_c0_seq1_m.4778	1	384	0.00260416666666667
comp10444_c0_seq1_m.4779	1	432	0.00231481481481481
comp10445_c0_seq1_m.4781	5	558	0.00896057347670251
comp10446_c0_seq1_m.4782	3	309	0.00970873786407767
comp10447_c0_seq2_m.16550	32	342	0.0935672514619883
comp10448_c0_seq1_m.4783	2	762	0.0026246719160105
comp10449_c0_seq1_m.4784	1	1755	0.00056980056980057
comp10451_c0_seq1_m.4785	3	564	0.00531914893617021
comp10452_c0_seq1_m.4786	3	465	0.00645161290322581
comp10453_c0_seq1_m.30388	6	1275	0.00470588235294118
comp10454_c0_seq1_m.22597	2	549	0.00364298724954463
comp10455_c0_seq1_m.4787	3	462	0.00649350649350649
comp10455_c0_seq1_m.4788	2	369	0.00542005420054201
comp10456_c0_seq1_m.16718	6	1794	0.00334448160535117
comp10456_c0_seq2_m.16720	0	1764	0
comp10457_c0_seq1_m.4789	1	450	0.00222222222222222
comp104588_c0_seq1_m.13003	4	558	0.00716845878136201
comp10458_c0_seq1_m.24569	3	1881	0.00159489633173844
comp10459_c0_seq1_m.22563	0	609	0
comp104610_c0_seq1_m.13004	11	1182	0.00930626057529611
comp10461_c0_seq1_m.4791	1	354	0.00282485875706215
comp10462_c0_seq1_m.4792	10	1566	0.00638569604086846
comp10464_c0_seq1_m.4794	7	1494	0.00468540829986613
comp104654_c0_seq1_m.13007	10	366	0.0273224043715847
comp10465_c0_seq1_m.4795	0	1485	0
comp10466_c0_seq1_m.32378	0	978	0
comp10466_c1_seq2_m.32381	0	633	0
comp10466_c1_seq3_m.32382	0	486	0
comp10467_c0_seq1_m.4796	0	1308	0
comp104688_c0_seq1_m.13009	1	417	0.00239808153477218
comp10468_c0_seq1_m.4797	12	486	0.0246913580246914
comp10470_c0_seq1_m.4798	0	624	0
comp10471_c0_seq1_m.34418	6	1260	0.00476190476190476
comp10473_c0_seq1_m.4800	0	321	0
comp10474_c0_seq1_m.4801	7	1815	0.00385674931129477
comp10475_c0_seq1_m.4802	30	1956	0.0153374233128834
comp10476_c0_seq1_m.4803	4	750	0.00533333333333333
comp10476_c0_seq1_m.4804	0	327	0
comp10477_c0_seq1_m.4805	1	1029	0.000971817298347911
comp10478_c0_seq6_m.23440	0	819	0
comp10479_c0_seq1_m.4807	2	1098	0.00182149362477231
comp104804_c0_seq1_m.13011	3	1443	0.00207900207900208
comp10480_c0_seq1_m.4808	3	2349	0.00127713920817369
comp10481_c0_seq1_m.20568	9	696	0.0129310344827586
comp10481_c0_seq2_m.20569	0	402	0
